Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3455165922641754,2.332512378692627,77.58024597167969,-0.6115890322037506,-1.3449490528562207,-95.37663028275924,1.2764657,6.869659,7.285589,14.121132,-12.971893,-5.6015253,2.5444057,-5.9111876,-20.397644,11.341437,-12.003491,4.2220325,-1.9381467,-0.19510435,2.0207953,-7.473274,17.697435,-57.211662,72.444786,-8.152975,0.38071245,6.731784,-3.6839378,-11.67152,32.42441,65.28246,-1.5772538,1.9077375,-2.8218503
1,0.35055413842201233,2.338749647140503,77.58096313476562,-0.6124616945435447,-1.3465194518083332,-95.3635861053863,1.2689427,6.8668866,7.265264,14.126744,-12.962154,-5.6048646,2.549898,-5.916864,-20.41897,11.340919,-11.999552,4.197776,-1.9397664,-0.19071661,2.0153677,-7.4773645,17.699524,-57.21431,72.446915,-8.171615,0.37671784,6.7274275,-3.6899714,-11.67156,32.42656,65.295044,-1.5870495,1.8968459,-2.8228803
2,0.349336177110672,2.3440279960632324,77.5811996459961,-0.6159381423219981,-1.3479254755586034,-95.3464704904788,1.257396,6.866607,7.2399216,14.137998,-12.954409,-5.6092625,2.5610516,-5.9186196,-20.446007,11.330652,-11.990921,4.1715097,-1.945724,-0.1833108,2.0069096,-7.4780135,17.715889,-57.23509,72.43791,-8.214081,0.37006807,6.7215223,-3.7019887,-11.671156,32.43867,65.3227,-1.5889411,1.8766966,-2.8270764
3,0.35227206349372864,2.344024658203125,77.58303833007812,-0.6172916900396394,-1.3491727734477843,-95.3325180274251,1.2479713,6.864294,7.218404,14.146112,-12.945852,-5.6118574,2.567387,-5.9231296,-20.468014,11.327384,-11.985986,4.1489124,-1.9488934,-0.17832947,2.0009353,-7.4827075,17.72013,-57.24194,72.438896,-8.236667,0.36645734,6.7157826,-3.7100787,-11.671055,32.4422,65.33841,-1.597684,1.8653511,-2.8260653
4,0.34795281291007996,2.34584903717041,77.58342742919922,-0.61587619258042,-1.3499497141972374,-95.32266670594359,1.238657,6.860881,7.2013345,14.154174,-12.938562,-5.6105604,2.5688982,-5.928641,-20.482525,11.326523,-11.982215,4.135039,-1.947562,-0.17712615,1.9952435,-7.488084,17.72264,-57.246117,72.443275,-8.242341,0.36878,6.709787,-3.7181041,-11.671047,32.44426,65.34699,-1.6042621,1.8667773,-2.8160255
5,0.3499126136302948,2.3539981842041016,77.58329772949219,-0.6135839377897487,-1.3476082573886519,-95.31600283603342,1.2210082,6.8565774,7.184999,14.171986,-12.9356165,-5.60308,2.563244,-5.9342875,-20.490038,11.324192,-11.977677,4.1339197,-1.941298,-0.18077551,1.9913765,-7.4952965,17.73999,-57.26015,72.43247,-8.240262,0.38327464,6.698922,-3.737444,-11.670802,32.445988,65.35237,-1.6000084,1.8891004,-2.7830875
6,0.34927231073379517,2.354768753051758,77.58441162109375,-0.6077008517106646,-1.3456178212888499,-95.3151223267163,1.2064056,6.8498135,7.1740522,14.18594,-12.931222,-5.5911293,2.5526273,-5.9423685,-20.488407,11.324927,-11.974677,4.1421237,-1.9333787,-0.18650533,1.9861307,-7.502061,17.74218,-57.259983,72.43678,-8.214454,0.40160972,6.688869,-3.7490444,-11.6708555,32.444817,65.34595,-1.6002338,1.9245958,-2.7425323
7,0.35683774948120117,2.37105393409729,77.58319091796875,-0.6023058226809566,-1.3418044152809678,-95.3128670246405,1.1874219,6.8436713,7.163863,14.204293,-12.931018,-5.578417,2.5383728,-5.9501777,-20.48646,11.329695,-11.974185,4.1528735,-1.9248334,-0.19582407,1.9860829,-7.515134,17.750832,-57.25409,72.43664,-8.174758,0.4251019,6.675411,-3.7697952,-11.671213,32.43639,65.33579,-1.6029189,1.9664305,-2.692904
8,0.35699373483657837,2.3720433712005615,77.5878677368164,-0.6002789582560248,-1.3435857105623354,-95.30614626588921,1.1776024,6.840408,7.155739,14.2161875,-12.93286,-5.569125,2.536126,-5.953604,-20.489239,11.330036,-11.973782,4.1597066,-1.9225496,-0.1994797,1.9900103,-7.522082,17.761879,-57.250595,72.43094,-8.142947,0.4410029,6.666213,-3.7815921,-11.671622,32.428345,65.3315,-1.6194735,1.9820371,-2.6677
9,0.35298988223075867,2.3659796714782715,77.58560180664062,-0.6039045758158624,-1.3511861292634038,-95.29094413990964,1.1756896,6.8425803,7.1499534,14.224555,-12.941796,-5.5636435,2.548926,-5.949803,-20.500492,11.325079,-11.974064,4.1606307,-1.9257749,-0.20044835,1.9951805,-7.5228844,17.783485,-57.25822,72.41977,-8.12377,0.44822767,6.6618137,-3.7812784,-11.6712265,32.425262,65.33377,-1.6471018,1.9614733,-2.6725237
10,0.35178786516189575,2.367823839187622,77.5831069946289,-0.6093295531042092,-1.3628425063544656,-95.27070158321088,1.180267,6.847706,7.146745,14.228653,-12.955211,-5.5599766,2.571241,-5.9417534,-20.516249,11.317685,-11.97562,4.1593547,-1.9339842,-0.19724149,1.9992774,-7.51921,17.801058,-57.27163,72.40944,-8.109531,0.45315987,6.662814,-3.7714944,-11.66962,32.425037,65.34102,-1.6858652,1.9188589,-2.698096
11,0.3513427972793579,2.373983860015869,77.58651733398438,-0.6161006317348666,-1.3751498448599329,-95.25043910349267,1.1864127,6.852677,7.143479,14.230886,-12.967156,-5.5587163,2.5946457,-5.933512,-20.532154,11.309879,-11.977044,4.157261,-1.9424968,-0.19570823,2.004677,-7.5146422,17.826757,-57.29025,72.39439,-8.100606,0.45345923,6.6612725,-3.7609174,-11.665419,32.42345,65.34915,-1.7237414,1.875166,-2.7277508
