Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0688590258359909,-2.4692351818084717,78.49581909179688,0.43499051616037826,-4.449937057321886,88.40613003291007,9.509258,6.5556,9.652351,8.122985,-10.159645,-7.5733705,11.913322,-6.2396445,-20.97428,7.0477943,-14.107547,5.564157,-0.51895756,-1.225332,10.546334,0.35697916,15.55576,-37.921715,59.361794,16.093204,3.9197347,9.051922,-7.9687653,-6.351488,23.329077,68.10571,-21.932543,10.022401,-5.9933605
1,-0.07035533338785172,-2.469048023223877,78.49630737304688,0.4372871911839582,-4.45743074101935,88.40205392063321,9.51271,6.557216,9.668066,8.136736,-10.16763,-7.553395,11.92081,-6.238183,-20.954775,7.0485888,-14.106238,5.5548186,-0.5103581,-1.231493,10.55293,0.3739428,15.588111,-37.920067,59.342735,16.121536,3.8901796,9.036266,-7.981003,-6.341987,23.33247,68.105576,-21.93822,10.053191,-5.967779
2,-0.06809461116790771,-2.469958782196045,78.49634552001953,0.4401647945222448,-4.4645422530254635,88.39756014438836,9.514409,6.558982,9.684969,8.153035,-10.17634,-7.531013,11.927178,-6.236764,-20.93324,7.0496626,-14.104127,5.5441537,-0.4991781,-1.2345389,10.557498,0.37944603,15.606668,-37.921112,59.341232,16.15183,3.8577428,9.020252,-7.988763,-6.337347,23.335016,68.101166,-21.942823,10.086603,-5.941036
3,-0.060918375849723816,-2.466667890548706,78.49655151367188,0.4424751890845237,-4.4723885438738495,88.3938874237084,9.5190325,6.560836,9.699367,8.164949,-10.18367,-7.5134416,11.935202,-6.2349253,-20.915892,7.05026,-14.103071,5.5362406,-0.48826256,-1.2353002,10.562055,0.38140425,15.616899,-37.922436,59.347702,16.180935,3.8292856,9.008679,-7.995136,-6.3352485,23.336853,68.09816,-21.947756,10.113678,-5.9148517
4,-0.06726853549480438,-2.4704902172088623,78.49563598632812,0.4427466581725141,-4.4822330895740645,88.39174513457742,9.529935,6.5631433,9.707971,8.169455,-10.19017,-7.5080476,11.945977,-6.2330008,-20.908525,7.051174,-14.104223,5.5352407,-0.48040965,-1.2439266,10.576163,0.41039446,15.664349,-37.918148,59.30977,16.202246,3.8063762,8.9994,-8.005322,-6.32709,23.34082,68.09279,-21.949873,10.128531,-5.887621
5,-0.07215622067451477,-2.4742014408111572,78.49598693847656,0.44020521630095627,-4.496862476740882,88.39050435455438,9.553705,6.5666146,9.709536,8.160256,-10.194992,-7.5210323,11.963683,-6.2294874,-20.915394,7.049453,-14.107548,5.547552,-0.4765897,-1.2549698,10.598897,0.4527809,15.725376,-37.902584,59.256916,16.22254,3.789407,9.002588,-8.017904,-6.319051,23.347702,68.09013,-21.95037,10.121548,-5.8572617
6,-0.07259048521518707,-2.473843574523926,78.49304962158203,0.43604939905427126,-4.514726358661544,88.38977769578483,9.584998,6.570941,9.706196,8.143711,-10.199452,-7.547031,11.985393,-6.2255683,-20.932028,7.0478945,-14.1135235,5.569245,-0.47133362,-1.2615548,10.62306,0.48207295,15.7646885,-37.885746,59.232136,16.24311,3.7753413,9.0186,-8.028371,-6.3155675,23.353527,68.09038,-21.949436,10.100132,-5.8245015
7,-0.06212542578577995,-2.47143292427063,78.4935531616211,0.43203000514909934,-4.530785644216463,88.39185850271481,9.613965,6.5750256,9.698258,8.126514,-10.202798,-7.576014,12.005987,-6.2218924,-20.953209,7.0459666,-14.119325,5.588956,-0.46634898,-1.2666068,10.643869,0.49826404,15.791905,-37.872173,59.22911,16.258905,3.7660906,9.033195,-8.03603,-6.31405,23.3586,68.09085,-21.946455,10.074208,-5.7952123
8,-0.06096039339900017,-2.468413829803467,78.4946060180664,0.42778003823313526,-4.539514472753306,88.39935154850401,9.629551,6.5769343,9.686114,8.113843,-10.202322,-7.5978045,12.019397,-6.2199574,-20.97384,7.0452237,-14.123683,5.595262,-0.4644348,-1.2671813,10.654067,0.50440794,15.8014765,-37.867535,59.240925,16.268295,3.7712538,9.036695,-8.043587,-6.3140373,23.363066,68.09508,-21.942484,10.055979,-5.777318
9,-0.06537178158760071,-2.4679760932922363,78.49813079833984,0.4265529303589702,-4.537614161596799,88.41570853528442,9.626746,6.5752425,9.665963,8.105415,-10.194655,-7.611133,12.023309,-6.2208896,-20.994623,7.0452366,-14.12531,5.5788836,-0.48413852,-1.2714963,10.659344,0.52968866,15.830779,-37.851917,59.218906,16.267786,3.7950852,9.01102,-8.058029,-6.3146987,23.38472,68.09691,-21.930773,10.045564,-5.772154
