Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-3.079899787902832,-0.849798858165741,78.09103393554688,-0.13806308160989383,-18.419767016939005,9.915254165746376,19.589024,1.9536475,-7.482541,11.390246,-15.672018,-3.3816571,29.475264,-8.494096,-30.50471,5.744081,-8.414763,10.39038,-3.8996494,-2.977906,13.126645,-53.74949,25.469711,-30.814888,50.512146,-43.548492,-3.7559972,2.368758,-61.267387,-6.853835,21.39456,71.30882,6.092629,-15.489973,-17.751785
1,-3.067676067352295,-0.8620690703392029,78.09126281738281,-0.13742448764481077,-18.409513015525516,9.927731804502242,19.586462,1.9672327,-7.4775534,11.3863735,-15.684082,-3.3892977,29.477386,-8.478315,-30.508482,5.7401066,-8.433829,10.37062,-3.927234,-2.988501,13.108512,-53.693714,25.504465,-30.750278,50.458595,-43.50636,-3.7447171,2.3546007,-61.287777,-6.81705,21.389528,71.33877,6.0693173,-15.481326,-17.74206
2,-3.054128646850586,-0.8757112622261047,78.0906753540039,-0.137425518698449,-18.3980420479974,9.940465486677342,19.57987,1.9815509,-7.471494,11.390468,-15.700745,-3.396978,29.47776,-8.462176,-30.511133,5.7390823,-8.45475,10.349349,-3.952597,-3.0032015,13.093412,-53.628956,25.520287,-30.657385,50.40491,-43.42375,-3.7329104,2.3393433,-61.292988,-6.790283,21.379707,71.345795,6.043234,-15.469167,-17.727308
3,-3.0406622886657715,-0.8904700875282288,78.0923843383789,-0.1360234689736414,-18.387179255576847,9.952433775795937,19.580286,1.9946858,-7.46747,11.38106,-15.709422,-3.4046776,29.47945,-8.449002,-30.515385,5.738991,-8.4757595,10.33127,-3.9624884,-3.0125449,13.07465,-53.60649,25.527136,-30.615591,50.385967,-43.38794,-3.7258565,2.3272316,-61.29286,-6.776488,21.373486,71.35653,6.0299263,-15.460796,-17.716898
4,-3.0221500396728516,-0.9052169322967529,78.09255981445312,-0.13350879198914528,-18.376321346496926,9.964637972682908,19.576376,2.004766,-7.4713078,11.378775,-15.7191925,-3.4128802,29.481438,-8.43657,-30.524944,5.7375684,-8.494076,10.320052,-3.9718509,-3.0160198,13.050696,-53.598743,25.537512,-30.594522,50.375854,-43.38334,-3.7189658,2.3214808,-61.309757,-6.7605987,21.37938,71.39381,6.034464,-15.461787,-17.715832
5,-3.005540132522583,-0.9175646305084229,78.09065246582031,-0.12758169929187724,-18.363918520873078,9.976615494649856,19.57305,2.010026,-7.4861345,11.375132,-15.725282,-3.4218135,29.486513,-8.429102,-30.542606,5.734056,-8.508283,10.320639,-3.985662,-3.0396917,13.028361,-53.578655,25.545828,-30.55602,50.356384,-43.35147,-3.712179,2.3337705,-61.315594,-6.74392,21.393557,71.40956,6.0738406,-15.472908,-17.723463
6,-2.98990535736084,-0.9329310655593872,78.08948516845703,-0.1195891904622619,-18.352132524339744,9.988482817359097,19.568695,2.0117915,-7.5087733,11.373629,-15.730265,-3.431298,29.493698,-8.425083,-30.565805,5.7292123,-8.519747,10.329506,-3.9872699,-3.0800393,13.008352,-53.56823,25.545933,-30.535961,50.339745,-43.316803,-3.7086291,2.3617127,-61.312542,-6.7408237,21.398767,71.41163,6.1361737,-15.492502,-17.73287
7,-2.9784674644470215,-0.9435297250747681,78.08670806884766,-0.11216496432964776,-18.340196819197203,10.000978942737591,19.56535,2.0135334,-7.5341525,11.36834,-15.731509,-3.4409928,29.500422,-8.421436,-30.59064,5.725083,-8.53153,10.338997,-3.9912195,-3.1146467,12.985693,-53.557034,25.545105,-30.511341,50.32129,-43.285244,-3.7019358,2.3897538,-61.31308,-6.7383966,21.411915,71.42159,6.2031198,-15.514853,-17.745045
8,-2.9634201526641846,-0.9541033506393433,78.08458709716797,-0.10786433902803035,-18.326101616751505,10.013420971250245,19.55641,2.018713,-7.55608,11.370425,-15.734726,-3.4507987,29.504725,-8.41235,-30.611912,5.7180266,-8.543184,10.340881,-4.0026116,-3.1303856,12.96139,-53.541233,25.5427,-30.46896,50.302353,-43.258377,-3.6939492,2.405268,-61.32462,-6.734187,21.447311,71.4458,6.265242,-15.5329,-17.759676
9,-2.9506747722625732,-0.9670896530151367,78.08219146728516,-0.10825427696538369,-18.31077239308486,10.025690613922416,19.544622,2.028652,-7.573189,11.3740425,-15.735442,-3.4587154,29.502033,-8.397396,-30.627766,5.7169166,-8.560726,10.331652,-4.0264206,-3.1278834,12.936261,-53.508904,25.535793,-30.391676,50.276985,-43.220562,-3.6842227,2.4077919,-61.34999,-6.7246194,21.513916,71.48541,6.328598,-15.54441,-17.775368
10,-2.9365780353546143,-0.9830991625785828,78.08162689208984,-0.1115836777909558,-18.293773824502495,10.038372410572158,19.529877,2.0413687,-7.589073,11.379925,-15.734274,-3.4655578,29.497358,-8.378515,-30.641638,5.7131696,-8.577832,10.315906,-4.0334578,-3.14043,12.91083,-53.5115,25.532127,-30.367378,50.272934,-43.21371,-3.675941,2.409215,-61.36587,-6.720489,21.544537,71.51739,6.376588,-15.554326,-17.783522
11,-2.91933536529541,-0.999958336353302,78.08123779296875,-0.11565053369068286,-18.277532589967304,10.051590815707007,19.513805,2.0550802,-7.6040106,11.388345,-15.735363,-3.4752083,29.492735,-8.358717,-30.65475,5.7093835,-8.595526,10.298694,-4.0485225,-3.1623893,12.890726,-53.486446,25.52191,-30.302294,50.249107,-43.159702,-3.6668167,2.4115195,-61.374096,-6.7163754,21.576199,71.53099,6.41909,-15.563144,-17.791872
12,-2.9051623344421387,-1.0147799253463745,78.08203125,-0.11764154537624485,-18.263057885156407,10.064449094013456,19.504944,2.0684226,-7.6172876,11.38738,-15.736883,-3.4912863,29.491007,-8.341412,-30.667988,5.707934,-8.614869,10.284843,-4.0527205,-3.1700552,12.865958,-53.49889,25.51762,-30.29353,50.251404,-43.166023,-3.6622968,2.4068477,-61.39104,-6.7151394,21.602718,71.568855,6.439365,-15.574867,-17.809965
13,-2.8942172527313232,-1.0281054973602295,78.08071899414062,-0.11761898041773,-18.25383115035377,10.078989908778519,19.5064,2.0820258,-7.63015,11.372994,-15.739778,-3.5200367,29.495903,-8.326564,-30.68217,5.7052984,-8.635432,10.273189,-4.058885,-3.1937437,12.847208,-53.50379,25.514406,-30.2845,50.24606,-43.15438,-3.663359,2.406211,-61.397545,-6.71499,21.619116,71.589745,6.4436088,-15.592701,-17.837502
14,-2.8835103511810303,-1.042022466659546,78.0791015625,-0.11607483488562625,-18.246520563003536,10.094671746404527,19.511667,2.0956624,-7.642555,11.356631,-15.747232,-3.5576174,29.505852,-8.312884,-30.696781,5.70016,-8.656108,10.262172,-4.0703993,-3.2162025,12.8336,-53.49109,25.505083,-30.250828,50.2261,-43.118176,-3.665627,2.4028304,-61.40971,-6.7148237,21.644659,71.616325,6.4410663,-15.618957,-17.874424
15,-2.8702449798583984,-1.0548062324523926,78.07664489746094,-0.11398615711837685,-18.239339652913532,10.108549749253203,19.519585,2.1090176,-7.6523786,11.332787,-15.751006,-3.5932965,29.513235,-8.300189,-30.710789,5.6973796,-8.675184,10.255202,-4.0752387,-3.2401445,12.817093,-53.494755,25.501925,-30.244572,50.217014,-43.10501,-3.669793,2.399456,-61.415077,-6.715219,21.654163,71.63514,6.422095,-15.636227,-17.907415
16,-2.8553085327148438,-1.066602349281311,78.07536315917969,-0.10974341158561379,-18.23025352470586,10.11756498435288,19.525179,2.1191716,-7.6582828,11.313702,-15.7530155,-3.6160266,29.519096,-8.291411,-30.723927,5.6935697,-8.686864,10.256579,-4.074751,-3.2607753,12.804179,-53.503136,25.497232,-30.236135,50.209877,-43.092327,-3.6738176,2.3976536,-61.431545,-6.7161684,21.673233,71.66238,6.4154177,-15.646029,-17.93387
17,-2.838585376739502,-1.0781347751617432,78.07388305664062,-0.10465185618077377,-18.21772550821812,10.120097795710368,19.518696,2.1258821,-7.6581426,11.311153,-15.756786,-3.6188624,29.517956,-8.284582,-30.737192,5.6905217,-8.68725,10.271725,-4.072704,-3.2778153,12.791858,-53.508022,25.484625,-30.207132,50.20236,-43.063152,-3.6782372,2.4009588,-61.448154,-6.718826,21.705925,71.67391,6.4231477,-15.627834,-17.94378
