Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.403742551803589,-0.5100517272949219,78.10444641113281,0.2670094812638644,-3.390884627149382,173.01983962033276,7.3060317,2.914694,6.0415125,7.499941,-13.808024,-4.052207,2.4487233,-5.9954348,-6.8599224,13.77963,-11.347994,6.262183,-0.4747853,-0.3231396,10.184759,4.6968193,6.731863,-10.333845,62.295372,1.2563263,3.3915715,11.998714,-4.161811,-8.256688,29.116026,66.67883,-21.361074,0.5589321,-12.23644
1,2.415153741836548,-0.5214391946792603,78.11668395996094,0.22887087204617051,-3.4150447521494915,173.0357618456429,7.303689,2.952159,6.021417,7.532078,-13.804501,-4.0364637,2.5487478,-5.948179,-6.8880177,13.609054,-11.266376,6.2389016,-0.501058,-0.28146246,10.243689,4.6843653,6.7280607,-10.354393,62.289444,1.2935017,3.3884504,12.007623,-4.186239,-8.255679,29.129448,66.6761,-21.375946,0.5452587,-12.268701
2,2.4212658405303955,-0.5321705937385559,78.12826538085938,0.19108024528238893,-3.4407163420244555,173.05208386765977,7.3021097,2.9894032,6.00095,7.566835,-13.802188,-4.0187182,2.6507032,-5.901344,-6.91572,13.438218,-11.184916,6.2161984,-0.5232514,-0.23706599,10.300437,4.6719346,6.7233577,-10.393384,62.285675,1.3194625,3.385565,12.022889,-4.2123685,-8.255161,29.149775,66.68129,-21.384697,0.53287256,-12.305246
3,2.4330170154571533,-0.5436479449272156,78.1392593383789,0.1510286895338579,-3.464351443242881,173.06828048840336,7.300222,3.029163,5.9804378,7.5963755,-13.797507,-4.0053015,2.7535882,-5.851394,-6.945287,13.26018,-11.099153,6.1917367,-0.541808,-0.18863295,10.353333,4.660835,6.717158,-10.442728,62.282455,1.3377466,3.3839455,12.039326,-4.233242,-8.255874,29.165592,66.681915,-21.385576,0.520871,-12.341057
4,2.442631959915161,-0.5494998693466187,78.15397644042969,0.10598677798715941,-3.4830703295613934,173.08382821825435,7.2962914,3.0747461,5.959958,7.6182413,-13.790792,-4.0024977,2.8586998,-5.7944465,-6.979254,13.06467,-11.003047,6.16298,-0.56700015,-0.13985258,10.409247,4.6501575,6.7144947,-10.472472,62.27398,1.3603886,3.3846292,12.046627,-4.2523546,-8.257301,29.172972,66.66559,-21.37716,0.5087575,-12.368965
5,2.455965757369995,-0.5583083033561707,78.16665649414062,0.05281891530891367,-3.497275596738417,173.09783029499877,7.2820587,3.130755,5.9395833,7.65312,-13.796191,-4.019071,2.9675732,-5.7274427,-7.018314,12.850114,-10.896074,6.127678,-0.59407663,-0.08391453,10.462193,4.6441545,6.713122,-10.495042,62.259514,1.3693794,3.389202,12.047576,-4.264074,-8.258621,29.174816,66.63047,-21.336023,0.4937506,-12.390203
6,2.4710848331451416,-0.5702128410339355,78.18244934082031,-0.004965743109745963,-3.5080551919645067,173.11057378547153,7.266031,3.192417,5.919741,7.6842775,-13.803171,-4.0490513,3.0770466,-5.6550913,-7.060405,12.6257925,-10.783373,6.0876694,-0.6235714,-0.024969017,10.512887,4.6420474,6.712312,-10.509898,62.2403,1.3721988,3.3965666,12.043045,-4.272101,-8.259932,29.17256,66.58351,-21.274183,0.47680965,-12.406528
7,2.484290361404419,-0.5801578760147095,78.19810485839844,-0.06747843976109567,-3.5142340655622464,173.12528593745566,7.2395415,3.2602844,5.897159,7.723696,-13.812009,-4.0780473,3.1925287,-5.5755177,-7.1079125,12.375439,-10.655317,6.0455093,-0.65276456,0.039684612,10.5650625,4.633668,6.711547,-10.536672,62.22561,1.3731635,3.4049761,12.040174,-4.281815,-8.264034,29.160408,66.53401,-21.218674,0.46481922,-12.420696
8,2.4973127841949463,-0.5867345929145813,78.21733093261719,-0.12909698336303646,-3.5117906465420634,173.14308984816367,7.1948757,3.328282,5.8712254,7.7735085,-13.816744,-4.090617,3.3025749,-5.4950013,-7.15889,12.112174,-10.51728,6.005026,-0.6903403,0.10097757,10.618326,4.6170697,6.713225,-10.569794,62.219715,1.3889695,3.4124227,12.040687,-4.2965684,-8.2685995,29.14192,66.488045,-21.202011,0.46521533,-12.434791
9,2.515932321548462,-0.5952488780021667,78.23656463623047,-0.1899460583438443,-3.496514928597104,173.16579156502485,7.122309,3.3970206,5.8390512,7.842842,-13.818599,-4.080262,3.4074101,-5.4122705,-7.2163897,11.82468,-10.362442,5.9682374,-0.73548925,0.1587072,10.669442,4.5880547,6.718708,-10.613432,62.226334,1.4202415,3.4190037,12.04672,-4.3187895,-8.272089,29.113977,66.451,-21.233347,0.48533764,-12.448268
10,2.5328469276428223,-0.6001117825508118,78.25948333740234,-0.25165866042705387,-3.470905296827674,173.19205383492692,7.028424,3.4678864,5.802119,7.9250946,-13.817526,-4.0558696,3.5088046,-5.3266625,-7.2794814,11.515859,-10.193114,5.9330683,-0.7852993,0.2145856,10.718879,4.5522294,6.728529,-10.666039,62.238934,1.4610835,3.425764,12.055659,-4.3471565,-8.27384,29.075321,66.41971,-21.296885,0.51916385,-12.459866
11,2.552579164505005,-0.6031538248062134,78.28021240234375,-0.3150109588992551,-3.4436553401833523,173.21970333585577,6.9281497,3.5417414,5.7642984,8.014494,-13.817597,-4.0259094,3.6116498,-5.237878,-7.3442297,11.198257,-10.017854,5.896127,-0.83243454,0.26846224,10.773483,4.508268,6.7460585,-10.741575,62.25909,1.5025561,3.4322958,12.067309,-4.3769174,-8.273903,29.025574,66.38881,-21.380903,0.5547692,-12.474098
