Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.0139222145080566,0.19189685583114624,77.94229125976562,-3.149503875144609,1.2622854095855853,-161.24220438331258,-4.7362804,27.853657,30.09332,43.78456,-21.422235,1.0547283,-7.1144457,2.7903402,-23.165659,11.874682,-8.567868,-6.405193,-9.680601,-2.035814,7.600577,-9.4136095,21.644812,-45.2651,65.74423,-4.6919003,2.762386,5.852224,8.737029,-63.891266,13.73057,-10.250217,20.943867,26.24836,5.7658243
1,1.996731162071228,0.3025921881198883,77.93167114257812,-3.2063746858236213,1.2640311076536548,-160.82516763527917,-4.6520786,27.264826,29.598732,44.29422,-21.514566,0.6252835,-7.1057425,2.8308058,-23.544855,11.970383,-8.705068,-6.691654,-9.643796,-1.9895364,7.5942955,-9.42005,21.658762,-45.378708,66.04966,-4.8947277,2.7828355,5.6399865,8.808141,-63.91696,13.723767,-10.390022,21.099808,26.235147,5.702791
2,1.971640944480896,0.41164273023605347,77.91500091552734,-3.2642180307168176,1.26387788680434,-160.40844998191528,-4.571549,26.672337,29.09726,44.815464,-21.61868,0.17759961,-7.091353,2.8739774,-23.923948,12.060677,-8.842058,-6.978098,-9.617264,-1.9497353,7.5911417,-9.429338,21.666546,-45.463356,66.37303,-5.0866566,2.800748,5.419726,8.843874,-63.92104,13.746646,-10.512635,21.246136,26.222324,5.64285
3,1.9513076543807983,0.517924427986145,77.90219116210938,-3.3182384019307043,1.2686457059030647,-159.98987753374422,-4.4880533,26.07817,28.620087,45.333603,-21.720913,-0.24428752,-7.0843177,2.9110682,-24.302458,12.156023,-8.981162,-7.2637463,-9.573381,-1.9173554,7.5654016,-9.439512,21.682196,-45.61391,66.69241,-5.3026586,2.8259048,5.21732,8.856367,-63.914776,13.798149,-10.596917,21.389948,26.20787,5.580838
4,1.9418917894363403,0.6247084140777588,77.88983917236328,-3.3632436524156617,1.2843815673433536,-159.56732384336522,-4.3950343,25.4849,28.196463,45.83374,-21.806944,-0.59580636,-7.0981092,2.9324167,-24.680113,12.268676,-9.125492,-7.5479903,-9.549671,-1.8963181,7.5309834,-9.432809,21.698177,-45.74975,66.99046,-5.471002,2.863772,5.0558248,8.856451,-63.894238,13.846446,-10.68983,21.485975,26.200983,5.542413
5,1.9248446226119995,0.7438479661941528,77.87776184082031,-3.393840709190985,1.3169489759643487,-159.14243236854637,-4.2996693,24.887442,27.825924,46.315857,-21.867317,-0.85960513,-7.147031,2.9304068,-25.052223,12.413436,-9.2803955,-7.8374667,-9.52805,-1.895985,7.4711227,-9.413818,21.721071,-45.924576,67.26887,-5.6065793,2.9240022,4.9517074,8.837753,-63.846405,13.89768,-10.765793,21.516357,26.203688,5.5337853
6,1.9047342538833618,0.8386270999908447,77.8701400756836,-3.4140031377854765,1.3613001849614983,-158.71528163066526,-4.202062,24.287195,27.493086,46.784607,-21.908749,-1.0606749,-7.2245555,2.9091291,-25.421104,12.590742,-9.446825,-8.130193,-9.512166,-1.9124706,7.3978567,-9.386884,21.748922,-46.115845,67.534225,-5.7094593,2.999205,4.88894,8.819106,-63.773594,13.937276,-10.845383,21.491793,26.215988,5.549221
7,1.8795623779296875,0.9271113872528076,77.86487579345703,-3.4316928032072043,1.4078749203879004,-158.28346443210464,-4.0830073,23.69581,27.208685,47.226902,-21.937017,-1.2156765,-7.297284,2.8846087,-25.793535,12.753779,-9.607503,-8.413228,-9.482351,-1.9540135,7.3179016,-9.363,21.794844,-46.33271,67.78722,-5.8035493,3.0770602,4.8428106,8.793263,-63.63676,13.970456,-10.896489,21.427494,26.227365,5.5835285
8,1.8702147006988525,1.0479891300201416,77.85107421875,-3.4570554276926333,1.4478283534087057,-157.84424045550168,-3.926311,23.126987,26.980284,47.63277,-21.960098,-1.3434397,-7.3448315,2.8684793,-26.178646,12.884482,-9.75505,-8.673104,-9.455381,-1.9893079,7.247487,-9.335768,21.8421,-46.527737,68.02157,-5.89466,3.139211,4.7886972,8.771518,-63.497692,13.99485,-10.946013,21.388033,26.227022,5.613909
9,1.8563807010650635,1.1559982299804688,77.83897399902344,-3.4928328434532183,1.4759228805222044,-157.39722674560596,-3.7156932,22.588776,26.831694,47.997734,-21.97553,-1.4355302,-7.350685,2.8667912,-26.577597,12.963177,-9.881815,-8.899939,-9.424697,-2.0130177,7.190435,-9.306711,21.890093,-46.718094,68.232605,-5.9932513,3.1842523,4.7230287,8.759524,-63.360226,14.005753,-10.988661,21.385515,26.212421,5.6440997
10,1.8401824235916138,1.246039628982544,77.82740020751953,-3.5340970553427336,1.4979891429461074,-156.94375795211715,-3.4641445,22.073015,26.749273,48.325676,-21.97903,-1.485728,-7.331483,2.872413,-26.986553,13.00848,-9.9944315,-9.102945,-9.392047,-2.0299659,7.1406326,-9.274777,21.93844,-46.90886,68.42332,-6.0911303,3.218533,4.657856,8.762732,-63.22483,13.997514,-11.032419,21.401682,26.18888,5.6781654
11,1.8124693632125854,1.3375283479690552,77.8172836303711,-3.578943893032212,1.5221200696729948,-156.48401272873076,-3.199188,21.568789,26.686663,48.618923,-21.975765,-1.5148174,-7.308452,2.880637,-27.405146,13.042731,-10.100318,-9.296939,-9.36151,-2.0437336,7.09185,-9.239972,21.987324,-47.075954,68.593636,-6.180006,3.2468796,4.59281,8.779413,-63.090733,13.973346,-11.08634,21.432625,26.157032,5.7000747
12,1.794499397277832,1.4287137985229492,77.80912780761719,-3.6252308539881017,1.556321511009835,-156.01776726490536,-2.9467185,21.064922,26.598417,48.877903,-21.969976,-1.5437219,-7.3020744,2.8868244,-27.833036,13.086577,-10.205583,-9.497016,-9.339615,-2.0577877,7.036842,-9.198859,22.037886,-47.192677,68.74115,-6.2512703,3.2740178,4.5275726,8.804405,-62.956184,13.941923,-11.158784,21.47525,26.117834,5.6928678
13,1.773717999458313,1.5337514877319336,77.79622650146484,-3.6728656646341697,1.6030821255790497,-155.54353587777015,-2.7097173,20.563763,26.483496,49.107338,-21.964876,-1.570562,-7.3204966,2.888803,-28.274857,13.153751,-10.318008,-9.713011,-9.332872,-2.0709798,6.97257,-9.145931,22.089905,-47.236256,68.86189,-6.2952046,3.3009439,4.4539094,8.8292465,-62.824345,13.911399,-11.248931,21.541143,26.063297,5.637492
14,1.760632038116455,1.6237655878067017,77.78567504882812,-3.7227340825082895,1.6578454855466724,-155.06199123756537,-2.4740927,20.069563,26.3628,49.303055,-21.956173,-1.5864431,-7.3513784,2.8890724,-28.72904,13.22969,-10.431644,-9.935111,-9.336544,-2.0864685,6.9024215,-9.081236,22.149302,-47.22483,68.95423,-6.318083,3.3257396,4.374502,8.849034,-62.68481,13.883831,-11.345876,21.622524,25.995888,5.5493593
15,1.7426880598068237,1.711552381515503,77.7735824584961,-3.773704257507398,1.7187623391727715,-154.5759656382217,-2.2428725,19.574907,26.223742,49.46071,-21.941347,-1.601908,-7.3866673,2.8901434,-29.186527,13.297798,-10.536433,-10.148513,-9.346735,-2.1029687,6.8292785,-9.0107355,22.214138,-47.1886,69.02437,-6.3364496,3.3476539,4.305687,8.861432,-62.544846,13.862934,-11.447989,21.703703,25.930454,5.4580464
