Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.29831454157829285,3.654172897338867,75.39742279052734,-0.7750855453165849,-18.52799692866526,-92.97333702742637,8.869674,13.615188,5.185073,29.173204,-19.063526,-13.243621,9.563233,-10.865407,-13.201974,31.770111,-21.43789,7.2628326,-0.6975095,-0.59249026,11.952032,-12.456329,19.969173,-7.5601687,64.0365,-10.8321,0.42780495,-4.557069,-10.54571,-18.338442,6.4424686,67.189896,16.819265,-6.3847446,1.8610926
1,0.3078058063983917,3.640854835510254,75.38994598388672,-0.7837252202910173,-18.539725637654204,-92.98655553357496,8.903017,13.633434,5.2205534,29.183413,-19.095552,-13.230754,9.584102,-10.849454,-13.175012,31.770643,-21.442358,7.2589264,-0.71511316,-0.58280283,11.943955,-12.430399,19.975824,-7.5810657,64.01954,-10.935371,0.43106678,-4.5332036,-10.548887,-18.33736,6.435306,67.18074,16.868713,-6.3901057,1.8331462
2,0.3081347644329071,3.6267473697662354,75.38750457763672,-0.7935234166430652,-18.55065497526154,-92.99870516170252,8.935123,13.65208,5.2561355,29.193932,-19.127913,-13.216476,9.603911,-10.832428,-13.147667,31.771307,-21.446327,7.254038,-0.7212432,-0.57527673,11.93208,-12.42614,19.984386,-7.6233582,64.02534,-11.0505905,0.42979056,-4.506648,-10.5427265,-18.333952,6.4154687,67.16993,16.920315,-6.3977356,1.8048215
3,0.3077951967716217,3.612318992614746,75.3849868774414,-0.8010884473563799,-18.56322088222352,-93.01311769181716,8.969746,13.670003,5.291572,29.203773,-19.159685,-13.205044,9.625263,-10.817586,-13.121041,31.772655,-21.45171,7.251073,-0.7320529,-0.56523526,11.922179,-12.416281,19.988207,-7.651374,64.026665,-11.147955,0.433546,-4.483455,-10.543434,-18.331211,6.402133,67.16376,16.964287,-6.402487,1.7773468
4,0.30967965722084045,3.5944149494171143,75.3847885131836,-0.806657423590974,-18.580212433931205,-93.03300359451404,9.011764,13.686078,5.327429,29.21002,-19.188961,-13.201174,9.650233,-10.8052435,-13.096451,31.773066,-21.459146,7.252589,-0.7308033,-0.5563191,11.913241,-12.4154215,19.993088,-7.6886034,64.03338,-11.224953,0.45053136,-4.468013,-10.536427,-18.326052,6.38158,67.15489,16.988565,-6.399594,1.7538898
5,0.3132634460926056,3.5841166973114014,75.37971496582031,-0.8085838802104758,-18.602901986879345,-93.061753480619,9.064504,13.700878,5.3653154,29.210648,-19.215504,-13.209727,9.679676,-10.795515,-13.075634,31.772629,-21.469576,7.2611575,-0.73518556,-0.54414874,11.909427,-12.410713,19.994928,-7.7004213,64.03692,-11.254755,0.48733792,-4.4694552,-10.537904,-18.323593,6.375899,67.15149,16.990612,-6.3854613,1.7380309
6,0.31387344002723694,3.5691802501678467,75.37704467773438,-0.8086004097777661,-18.63313163645744,-93.09803451123155,9.130782,13.715656,5.406596,29.204763,-19.239542,-13.22737,9.717203,-10.786862,-13.055834,31.768782,-21.481129,7.274535,-0.72713655,-0.53056794,11.911655,-12.403749,19.998762,-7.7225795,64.029465,-11.267296,0.54371667,-4.4779944,-10.5378,-18.318039,6.365827,67.15027,16.974567,-6.36272,1.7249606
7,0.31727293133735657,3.553717613220215,75.37479400634766,-0.806193692223196,-18.66238900644742,-93.13474404657131,9.194467,13.7268,5.4444165,29.200102,-19.262035,-13.244965,9.7522745,-10.78195,-13.03708,31.76798,-21.494846,7.288891,-0.7191824,-0.5203699,11.911431,-12.3984375,20.00276,-7.737388,64.026344,-11.2663555,0.5995944,-4.48905,-10.534476,-18.3112,6.354852,67.14552,16.947975,-6.3380656,1.7123954
8,0.3207509517669678,3.5372297763824463,75.37210845947266,-0.8006041597297501,-18.687514308634867,-93.16668342107057,9.249024,13.732,5.474787,29.198957,-19.282602,-13.25398,9.780875,-10.781406,-13.017857,31.773788,-21.510513,7.300111,-0.71464723,-0.51700515,11.905872,-12.390159,20.006376,-7.7412667,64.0249,-11.266787,0.64201105,-4.493383,-10.529461,-18.302305,6.3390913,67.13614,16.915462,-6.3167143,1.6939018
9,0.32492944598197937,3.5221617221832275,75.36962890625,-0.7935661459823956,-18.706043780975122,-93.1903464375928,9.289305,13.728508,5.492607,29.20293,-19.299652,-13.248618,9.800415,-10.787708,-12.997652,31.788036,-21.528265,7.307047,-0.71647155,-0.51964444,11.892045,-12.377378,20.006594,-7.7291756,64.02571,-11.2719,0.66669303,-4.4867673,-10.522465,-18.296051,6.320898,67.11966,16.882662,-6.2977824,1.6679575
10,0.329301655292511,3.5073935985565186,75.36717987060547,-0.7812465419837173,-18.72073325309207,-93.21008750268767,9.320976,13.71831,5.501687,29.209726,-19.313808,-13.234793,9.813823,-10.800474,-12.977137,31.809494,-21.548536,7.311998,-0.72004277,-0.5281159,11.874047,-12.359686,20.0041,-7.70259,64.024086,-11.271032,0.68183225,-4.4738145,-10.510305,-18.28859,6.293907,67.09424,16.83963,-6.2792296,1.6369203
11,0.32912707328796387,3.4954402446746826,75.36463165283203,-0.7690611321658939,-18.734868126972316,-93.22940509120943,9.351261,13.706917,5.510781,29.217607,-19.328135,-13.220836,9.8256,-10.814173,-12.956203,31.83307,-21.57004,7.315699,-0.7249621,-0.53693974,11.857813,-12.337154,19.998213,-7.6659665,64.017494,-11.261697,0.6908977,-4.4602,-10.494989,-18.278952,6.2628026,67.06197,16.786226,-6.263099,1.6039466
12,0.33169013261795044,3.481130599975586,75.36180877685547,-0.75841637138428,-18.751534065532518,-93.25237091863292,9.38597,13.700042,5.528338,29.227905,-19.346931,-13.215262,9.839576,-10.824516,-12.934287,31.855509,-21.59216,7.319087,-0.72913617,-0.5403361,11.840005,-12.319207,19.992943,-7.644415,64.02041,-11.258501,0.69654185,-4.4526353,-10.483513,-18.272514,6.247559,67.039604,16.739841,-6.2516193,1.575653
13,0.3370090425014496,3.467404365539551,75.35592651367188,-0.749827176287123,-18.77137018535208,-93.28176903586845,9.42771,13.699309,5.5593767,29.239641,-19.371,-13.223385,9.8564825,-10.831444,-12.910149,31.876057,-21.615974,7.323902,-0.73146975,-0.5383522,11.82309,-12.301672,19.985214,-7.6316857,64.026985,-11.25329,0.7004866,-4.451791,-10.472409,-18.264875,6.246477,67.02213,16.68815,-6.249035,1.5491601
14,0.3393738567829132,3.4480507373809814,75.35052490234375,-0.7432634659523868,-18.79083239505434,-93.31200872956288,9.468034,13.702425,5.595114,29.256052,-19.39913,-13.239835,9.873687,-10.83686,-12.887188,31.894983,-21.64038,7.3292365,-0.7305592,-0.53427505,11.807882,-12.294587,19.983253,-7.6329956,64.03985,-11.253022,0.70257866,-4.457933,-10.468316,-18.263536,6.250978,67.01326,16.639584,-6.252443,1.5319494
15,0.34639883041381836,3.431663751602173,75.34259033203125,-0.7348145444476443,-18.815481657768878,-93.34726301211235,9.51832,13.705987,5.638366,29.269373,-19.428621,-13.2565,9.893015,-10.841916,-12.859262,31.91807,-21.666271,7.331878,-0.7325894,-0.52541786,11.785627,-12.273164,19.976765,-7.6402535,64.05617,-11.259047,0.6961584,-4.46359,-10.449256,-18.260239,6.274883,66.99641,16.596775,-6.2542987,1.5063152
16,0.34979358315467834,3.4225800037384033,75.33297729492188,-0.729653582851188,-18.839075122644253,-93.37522129258791,9.562055,13.711049,5.6721973,29.286985,-19.459887,-13.265133,9.912024,-10.846025,-12.836948,31.94362,-21.6904,7.328545,-0.736809,-0.5161315,11.77102,-12.2610855,19.973728,-7.643238,64.07385,-11.260627,0.6837273,-4.474622,-10.44371,-18.259243,6.282279,66.98908,16.572912,-6.248869,1.4961463
17,0.35050204396247864,3.412341594696045,75.32566833496094,-0.7289410664251822,-18.86233878175736,-93.3954075587216,9.600513,13.718143,5.69657,29.308008,-19.494001,-13.261144,9.929714,-10.847964,-12.820197,31.974354,-21.71189,7.313892,-0.7485879,-0.5034859,11.759751,-12.250167,19.971823,-7.6446075,64.0917,-11.265068,0.66082186,-4.4886155,-10.443074,-18.258541,6.282445,66.985916,16.580214,-6.233176,1.496325
18,0.3554900288581848,3.3958957195281982,75.32161712646484,-0.7287291895124844,-18.890305107042668,-93.4151188831308,9.64353,13.727426,5.7205615,29.330648,-19.531618,-13.249982,9.949854,-10.848965,-12.802523,32.01105,-21.733074,7.291185,-0.76078117,-0.4862254,11.75032,-12.227875,19.968021,-7.648071,64.11106,-11.271984,0.61649907,-4.5077896,-10.442827,-18.256962,6.2764,66.98465,16.604687,-6.205365,1.5032951
19,0.3564518988132477,3.3833916187286377,75.31730651855469,-0.7295599213105796,-18.916966411577867,-93.43075161559923,9.682782,13.735716,5.7395906,29.353867,-19.567987,-13.237642,9.970046,-10.850847,-12.787802,32.04694,-21.753824,7.2699924,-0.77095115,-0.4697959,11.742636,-12.214986,19.96238,-7.651413,64.13151,-11.270934,0.57936615,-4.5231943,-10.4404745,-18.254328,6.2606544,66.98156,16.628937,-6.1795316,1.5128608
20,0.3606891632080078,3.371774673461914,75.31266784667969,-0.7276232546258401,-18.94237984205816,-93.44517745045857,9.721898,13.739807,5.75635,29.372524,-19.598372,-13.230578,9.99271,-10.853544,-12.773732,32.075176,-21.774105,7.2596993,-0.779992,-0.45855102,11.73313,-12.207887,19.95798,-7.649673,64.1532,-11.258894,0.5594785,-4.532645,-10.43564,-18.251978,6.249965,66.9751,16.642847,-6.1603785,1.519404
21,0.3620966374874115,3.362023115158081,75.30645751953125,-0.7202169852969117,-18.96758733098263,-93.45923997034475,9.763175,13.736934,5.771635,29.384777,-19.620996,-13.230863,10.018782,-10.861598,-12.757647,32.096226,-21.795225,7.2683234,-0.78289974,-0.45608628,11.723194,-12.208904,19.952501,-7.637928,64.17687,-11.223888,0.5613167,-4.5317507,-10.414374,-18.248909,6.239404,66.94775,16.639992,-6.146984,1.5208523
