Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.14164993166923523,2.0859663486480713,79.05802917480469,0.5565759907278193,0.06097329695696746,-88.03675221971163,1.1981517,2.1082573,15.804635,7.834068,-8.982907,-0.7487953,1.20909,-3.4944797,-18.253197,8.373806,-7.858504,1.5079888,-0.8740064,-0.047119964,8.006014,0.6309473,11.519284,-30.935429,62.885212,11.27537,-0.72865087,9.596231,-7.065268,-11.639693,43.183723,67.060165,0.85926056,-2.3845549,-3.9690568
1,-0.14181964099407196,2.090507745742798,79.0576400756836,0.5500406447033797,0.07249510283260102,-88.045110612902,1.1785202,2.1189964,15.813828,7.844688,-8.992244,-0.7584208,1.1928374,-3.4835703,-18.244204,8.366314,-7.850041,1.5076674,-0.82579035,-0.06309973,8.036432,0.73481375,11.505645,-30.339886,62.83983,11.341944,-0.68228686,9.729125,-7.060413,-11.6285305,43.070183,67.034195,0.8845458,-2.4050195,-4.006902
2,-0.14278678596019745,2.0940253734588623,79.05675506591797,0.5430973642902297,0.08430901646681074,-88.05326150084292,1.1578436,2.1309,15.82316,7.856345,-9.002515,-0.76911455,1.1777061,-3.4709406,-18.235428,8.355512,-7.8400807,1.5069927,-0.79921734,-0.07565542,8.064979,0.8304795,11.472949,-29.714941,62.82017,11.440457,-0.6393636,9.860716,-7.0579953,-11.620343,42.980503,67.00537,0.91617215,-2.4237301,-4.047522
3,-0.14178821444511414,2.098891258239746,79.055419921875,0.5371983939371419,0.09539508008464047,-88.061759132961,1.1385726,2.141336,15.832202,7.8671274,-9.011314,-0.7775868,1.1634917,-3.4598022,-18.226473,8.345203,-7.8301,1.5068327,-0.79355633,-0.08472252,8.092533,0.9307193,11.419585,-29.057648,62.80341,11.509705,-0.5989538,9.9944935,-7.0677896,-11.612694,42.91998,66.98525,0.9497554,-2.4400973,-4.084474
4,-0.14342330396175385,2.1041643619537354,79.05341339111328,0.533279242707021,0.10475726313961616,-88.07093065760198,1.1198385,2.149668,15.840711,7.882872,-9.020653,-0.78067714,1.1501354,-3.4520082,-18.216682,8.338494,-7.821848,1.5076548,-0.8215882,-0.08364425,8.113101,1.0358644,11.321048,-28.353992,62.797276,11.489764,-0.5628765,10.138273,-7.0973935,-11.602024,42.914635,66.98823,0.98590934,-2.451417,-4.11554
5,-0.14246851205825806,2.107205867767334,79.05318450927734,0.532871295456154,0.11231753916479986,-88.08111214521378,1.1015216,2.153626,15.847749,7.904132,-9.028863,-0.7748784,1.1378895,-3.4501333,-18.205957,8.335617,-7.8149757,1.5108235,-0.818821,-0.08413392,8.12784,1.1307487,11.20612,-27.68091,62.791054,11.301665,-0.5210751,10.309162,-7.1073656,-11.59475,42.8845,66.98381,1.0002477,-2.457287,-4.136071
6,-0.13922704756259918,2.109621286392212,79.05634307861328,0.5348303051307187,0.11847777331935373,-88.09198347152206,1.0841433,2.1543887,15.853888,7.9279685,-9.035496,-0.76285005,1.125563,-3.4523628,-18.194393,8.337397,-7.810051,1.5154873,-0.8097793,-0.08523651,8.141677,1.2273345,11.080412,-27.007362,62.77442,11.000839,-0.47708902,10.496273,-7.1148043,-11.592343,42.86068,66.97659,1.0099508,-2.4589837,-4.1488595
7,-0.13669267296791077,2.109999179840088,79.05716705322266,0.5365742732902689,0.1235566855824619,-88.10313506369391,1.0687568,2.1547718,15.860508,7.9513755,-9.04227,-0.75026727,1.1149652,-3.4549637,-18.18267,8.339262,-7.805584,1.5193826,-0.80050653,-0.08309107,8.152329,1.324853,10.947149,-26.350946,62.751656,10.661451,-0.44443333,10.670754,-7.119679,-11.593687,42.845924,66.96883,1.0141121,-2.4585016,-4.1574473
8,-0.13552413880825043,2.1109886169433594,79.05661010742188,0.5367422652519476,0.12785681615791328,-88.1141763422802,1.0581751,2.1572642,15.869263,7.967856,-9.049234,-0.7429055,1.1061114,-3.4544446,-18.171215,8.34071,-7.801866,1.5201224,-0.79214126,-0.07460506,8.15749,1.4202565,10.811764,-25.736544,62.72722,10.354691,-0.4356271,10.8035555,-7.1183624,-11.597413,42.83317,66.962234,1.005803,-2.4581146,-4.165277
9,-0.1321999430656433,2.1100196838378906,79.0573501586914,0.5320651518858965,0.13149321022674335,-88.12559835403407,1.0526384,2.1640122,15.88196,7.975542,-9.056488,-0.74402106,1.0987515,-3.4486365,-18.159689,8.341322,-7.7988515,1.5151746,-0.78309697,-0.059283797,8.156777,1.5175307,10.678252,-25.161385,62.69526,10.085416,-0.46054113,10.885866,-7.116459,-11.603362,42.831078,66.96152,0.9881705,-2.4593394,-4.172485
10,-0.1307775378227234,2.109823226928711,79.05574798583984,0.5248822131648428,0.1342416289239698,-88.13729367515491,1.0516362,2.1728559,15.897217,7.977027,-9.064071,-0.74998885,1.0925913,-3.4399776,-18.147964,8.342651,-7.796953,1.506376,-0.7739102,-0.04014823,8.152034,1.6195241,10.547836,-24.615803,62.65102,9.818895,-0.50972736,10.932612,-7.1120725,-11.611293,42.836555,66.96312,0.95875007,-2.4607584,-4.1774564
11,-0.12891194224357605,2.107609272003174,79.05554962158203,0.5176149283508841,0.13609924309007296,-88.14828334787484,1.0529776,2.1810722,15.912236,7.9758873,-9.070695,-0.7562309,1.0883865,-3.4314775,-18.136894,8.343223,-7.7953773,1.498102,-0.7583743,-0.024249041,8.146684,1.7256466,10.434086,-24.12366,62.589268,9.565177,-0.56549454,10.948404,-7.101295,-11.619168,42.836514,66.9596,0.9284168,-2.4609473,-4.1807003
12,-0.1268690526485443,2.107175827026367,79.05534362792969,0.5136432277440789,0.1369604954481384,-88.15766986650729,1.0545353,2.1858373,15.92422,7.9764414,-9.076036,-0.7579823,1.0855678,-3.426897,-18.127403,8.343846,-7.793597,1.494812,-0.7566945,-0.0037054867,8.136995,1.8228257,10.308296,-23.67589,62.541363,9.348745,-0.61250466,10.944365,-7.094558,-11.628198,42.847626,66.9658,0.9101852,-2.4577289,-4.1845927
13,-0.12133675813674927,2.106639862060547,79.05656433105469,0.5142662454923072,0.1369256196363834,-88.16490513492727,1.055119,2.184867,15.9322,7.9810357,-9.079925,-0.7532066,1.0850018,-3.4281676,-18.119566,8.34298,-7.790908,1.4996132,-0.74890435,0.01271977,8.125838,1.9122251,10.189939,-23.299076,62.49419,9.156352,-0.6462472,10.914045,-7.080438,-11.63637,42.845524,66.969696,0.9029821,-2.4496439,-4.1876335
14,-0.1198602020740509,2.1060290336608887,79.05748748779297,0.517482787675071,0.13606964959982873,-88.17078824607422,1.0583664,2.1793282,15.937829,7.98186,-9.079969,-0.7446068,1.0851818,-3.433833,-18.112837,8.343145,-7.7886343,1.5095019,-0.73564047,0.022015234,8.114263,2.0039554,10.089842,-22.984285,62.43342,8.982016,-0.6748036,10.853696,-7.062548,-11.643355,42.836323,66.97112,0.9039689,-2.4373822,-4.1894393
15,-0.12067943811416626,2.1056971549987793,79.05596160888672,0.5216458381778055,0.1340244823315246,-88.17545370702882,1.0604895,2.1742709,15.941944,7.9874916,-9.082502,-0.734951,1.0874987,-3.4395232,-18.107424,8.342528,-7.786444,1.5196867,-0.7301488,0.03689061,8.099553,2.0884092,9.985797,-22.719086,62.38041,8.84458,-0.69986826,10.778381,-7.0440497,-11.649924,42.829754,66.978455,0.907674,-2.4259524,-4.19211
16,-0.11769746243953705,2.104451894760132,79.05587005615234,0.5215215875521761,0.13071071413570617,-88.17936227610352,1.0605274,2.1735077,15.945437,8.000449,-9.09085,-0.7270326,1.0908347,-3.4421384,-18.10334,8.34344,-7.7857,1.5252556,-0.71699,0.048552178,8.086886,2.1740155,9.911123,-22.529488,62.311348,8.742747,-0.7205895,10.694994,-7.019381,-11.654452,42.808952,66.98073,0.91150856,-2.4197977,-4.196109
17,-0.11353213340044022,2.102876663208008,79.05782318115234,0.5173565237335837,0.12562788588879154,-88.18255419670811,1.0571071,2.1792552,15.94928,8.024518,-9.108692,-0.7201012,1.0957775,-3.4397573,-18.100254,8.346627,-7.7871265,1.5228956,-0.7111407,0.06688722,8.072807,2.2571578,9.8455925,-22.401005,62.23869,8.701494,-0.73522455,10.595087,-6.9949284,-11.65825,42.786724,66.98848,0.9159503,-2.4213846,-4.2018213
