Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.908177375793457,0.08015219122171402,77.98545837402344,-1.3542564896047553,2.1527795079773444,-174.58156871823104,-7.5069385,2.9833758,-2.4378514,17.850185,-14.957876,-2.3729987,2.268356,-3.4875624,-25.418697,6.8139315,-11.341496,3.3057437,-2.9048808,2.6668735,5.6192875,-2.7361636,21.871563,-48.13786,57.4455,6.6001687,-1.8602449,-6.054761,3.5926118,-16.537624,30.032764,61.6481,-19.32647,-3.6008422,2.476051
1,1.9140254259109497,0.07817159593105316,77.98589324951172,-1.3705358305289004,2.1936367549158406,-174.6060762662672,-7.5923553,3.0053697,-2.419311,17.926561,-14.985204,-2.3738434,2.209256,-3.4680955,-25.399172,6.813159,-11.324381,3.2809284,-2.9047556,2.68525,5.6218424,-2.7375479,21.883413,-48.1317,57.43244,6.6047797,-1.8591865,-6.061772,3.56853,-16.540861,30.02737,61.637638,-19.302097,-3.6033566,2.4865973
2,1.923856496810913,0.07530878484249115,77.98551940917969,-1.3871972450265873,2.2332135767182084,-174.6290063179177,-7.673093,3.027324,-2.4024308,17.996304,-15.009893,-2.3751338,2.152376,-3.4481618,-25.381092,6.811771,-11.308097,3.2568061,-2.9062688,2.7032666,5.6312585,-2.724662,21.920597,-48.117992,57.38588,6.6100025,-1.8568963,-6.0714173,3.5504904,-16.553202,30.017761,61.611862,-19.276571,-3.6059828,2.5026166
3,1.9326961040496826,0.0716598704457283,77.98501586914062,-1.4054396562013625,2.2751761649991185,-174.65505189896874,-7.760715,3.0516396,-2.3829796,18.074335,-15.037168,-2.3754764,2.0907874,-3.4264517,-25.360518,6.811142,-11.2894,3.2322571,-2.9061716,2.724146,5.6377544,-2.7234595,21.939707,-48.10905,57.362297,6.6155143,-1.8555484,-6.0798044,3.5267925,-16.560904,30.009666,61.59521,-19.25627,-3.6095643,2.5119631
4,1.9429458379745483,0.06879910081624985,77.98494720458984,-1.4263984563459797,2.3227294790288595,-174.68888600069178,-7.8659143,3.0807989,-2.3566635,18.17357,-15.071387,-2.373559,2.018061,-3.4013865,-25.333532,6.8104258,-11.263694,3.2062347,-2.9050806,2.7491038,5.647209,-2.7293043,21.954567,-48.100216,57.34533,6.6217585,-1.8551102,-6.089547,3.494124,-16.568333,29.998636,61.581966,-19.25502,-3.61692,2.5087078
5,1.9564013481140137,0.06285525113344193,77.98468780517578,-1.452376988903244,2.376906528814692,-174.72957325196987,-7.9936066,3.1160383,-2.3252163,18.301321,-15.113842,-2.3676367,1.934124,-3.3710723,-25.301802,6.8090625,-11.23119,3.1805186,-2.9041343,2.7823806,5.6597238,-2.7400198,21.963331,-48.09128,57.32956,6.632586,-1.8528023,-6.099904,3.4534163,-16.573895,29.985817,61.57226,-19.282928,-3.6292233,2.4864557
6,1.9738236665725708,0.06040225178003311,77.98029327392578,-1.4814512404046267,2.434736701650223,-174.7748659033019,-8.149199,3.1564832,-2.2915752,18.47643,-15.180086,-2.3608875,1.8163555,-3.3489263,-25.265762,6.869638,-11.227023,3.1543117,-2.9022908,2.8230937,5.6855702,-2.7487266,21.983526,-48.074657,57.290104,6.650051,-1.8497541,-6.114355,3.4103138,-16.589365,29.961327,61.548786,-19.336119,-3.647183,2.4556627
7,1.9944883584976196,0.059959523379802704,77.9697494506836,-1.5091841289645207,2.4959149528804283,-174.82849310598752,-8.334972,3.1994576,-2.2506528,18.706442,-15.272083,-2.3559494,1.6722275,-3.3343194,-25.221176,6.9726176,-11.239417,3.1241589,-2.9005141,2.8612196,5.709515,-2.7650864,21.993565,-48.06263,57.26863,6.660752,-1.8475682,-6.127509,3.3566418,-16.598629,29.941933,61.53543,-19.388752,-3.6641672,2.4173813
8,2.014949321746826,0.0572180449962616,77.95870971679688,-1.5348046662696502,2.5602721061874747,-174.89431592528712,-8.534425,3.2453005,-2.197327,18.95893,-15.373651,-2.3546152,1.5212144,-3.3184395,-25.164612,7.072891,-11.242555,3.0870833,-2.8946865,2.8952684,5.7395616,-2.7850606,22.006445,-48.051525,57.245686,6.6596966,-1.8454193,-6.1415334,3.300482,-16.611263,29.918959,61.50908,-19.426254,-3.675757,2.3834443
9,2.03407621383667,0.05804317817091942,77.94496154785156,-1.55879460300815,2.628134864861648,-174.9761809227583,-8.750001,3.2967093,-2.1287754,19.238173,-15.486639,-2.3579016,1.3596619,-3.300126,-25.093128,7.1722393,-11.237759,3.0423818,-2.8812866,2.9238577,5.773822,-2.811463,22.018082,-48.04191,57.228985,6.6394053,-1.8429601,-6.1545753,3.236034,-16.622139,29.897945,61.478672,-19.42755,-3.6826887,2.354755
