Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.318760395050049,0.6258567571640015,77.16157531738281,-0.13395848261568155,-3.648530949019902,-174.77328705064568,7.923315,3.969282,6.0071483,8.688886,-15.979977,-2.5709338,9.218651,-6.4928675,-22.92243,6.880953,-10.422997,7.564628,-2.5195835,-0.07802113,11.427149,2.1476161,10.818589,-26.048183,63.066547,4.666824,2.3129792,18.087276,-1.3609958,-7.5024,21.985712,66.96583,-13.282247,-2.1434076,-11.321546
1,2.324592113494873,0.6334806084632874,77.16513061523438,-0.14033466620768711,-3.5959561545629164,-174.78046951840025,7.8695803,3.9867756,6.0105505,8.661467,-15.967701,-2.603555,9.148783,-6.4735293,-22.892555,6.881377,-10.432536,7.561061,-2.5390904,-0.07522989,11.400809,2.1465914,10.825153,-26.04015,63.052177,4.6775208,2.3101313,18.085508,-1.3607018,-7.498918,21.971077,66.80416,-13.373841,-2.1667135,-11.321565
2,2.335566997528076,0.6431255340576172,77.16785430908203,-0.14667937111796103,-3.5490081000951896,-174.7887191811865,7.820766,4.004396,6.015653,8.637428,-15.957341,-2.630708,9.086307,-6.45557,-22.863117,6.881078,-10.441456,7.5613194,-2.5527601,-0.07155098,11.378969,2.1446826,10.83213,-26.029419,63.03864,4.684524,2.3035939,18.08323,-1.3621796,-7.496434,21.95258,66.65915,-13.46096,-2.1908655,-11.320719
3,2.3482792377471924,0.6514461040496826,77.17090606689453,-0.15545628334858075,-3.4913008857738044,-174.7945064738813,7.764046,4.0238733,6.017408,8.602324,-15.940489,-2.6692464,9.010304,-6.433811,-22.833124,6.8818107,-10.451477,7.5527196,-2.5665455,-0.070330635,11.357398,2.1333728,10.846866,-26.021719,63.023567,4.70849,2.303238,18.075174,-1.3460891,-7.494613,21.914045,66.45747,-13.574424,-2.2135105,-11.315942
4,2.362325668334961,0.6590859889984131,77.17282104492188,-0.16990272059533235,-3.407866984926135,-174.79401883440758,7.684716,4.047711,6.0104213,8.547033,-15.911104,-2.7359686,8.903357,-6.402201,-22.803259,6.8825207,-10.463156,7.523476,-2.5919116,-0.062665924,11.3173895,2.1115746,10.871521,-26.055576,63.012684,4.7363653,2.3188384,18.064703,-1.325669,-7.4959,21.867256,66.183044,-13.710992,-2.2419887,-11.307433
5,2.3803467750549316,0.6663705110549927,77.17457580566406,-0.19410866383963307,-3.291957162555213,-174.78613053963372,7.5819893,4.081988,5.9942193,8.455944,-15.861893,-2.8514423,8.757172,-6.3552957,-22.770788,6.8850107,-10.479248,7.463733,-2.6413085,-0.044061568,11.250225,2.0709605,10.896549,-26.12954,63.027603,4.7823644,2.3592691,18.057913,-1.3041321,-7.500641,21.824392,65.83657,-13.877622,-2.2674184,-11.29436
6,2.3971877098083496,0.6731224060058594,77.17782592773438,-0.22936466899415947,-3.152893280647218,-174.77133407100567,7.4614153,4.128243,5.9698224,8.340765,-15.798705,-3.0010667,8.584134,-6.2946305,-22.73743,6.887778,-10.4987955,7.3804593,-2.7184823,-0.013470316,11.163622,2.0162053,10.917277,-26.218412,63.066807,4.849258,2.415218,18.051962,-1.2927593,-7.5071793,21.789099,65.44873,-14.067293,-2.2918713,-11.2774105
7,2.418013095855713,0.6796013712882996,77.18230438232422,-0.27082795315939895,-2.9984111937969278,-174.75302205008168,7.3195386,4.178813,5.938751,8.23034,-15.734503,-3.14866,8.392901,-6.2282896,-22.70614,6.8910465,-10.520365,7.2866673,-2.7463622,0.024694383,11.074347,1.9356964,10.961568,-26.394623,63.09527,4.888795,2.477165,18.039278,-1.2123326,-7.5271215,21.685362,64.92542,-14.283353,-2.3275423,-11.25715
8,2.442734956741333,0.6833429932594299,77.17913055419922,-0.3319258820819527,-2.8293384679950653,-174.7219258688694,6.8712163,4.275044,5.8682146,8.730942,-15.984761,-3.2615113,8.18193,-6.1458006,-22.69332,6.90764,-10.550404,7.194424,-2.8016279,0.08227157,10.983573,1.8733236,11.020851,-26.545517,63.08001,4.928391,2.52237,18.00395,-1.1164788,-7.560027,21.579065,64.30473,-14.501952,-2.387739,-11.240472
9,2.4691689014434814,0.6907380819320679,77.16341400146484,-0.3823478396806794,-2.6443897673206633,-174.68520804866935,6.3119125,4.361333,5.7741675,9.42068,-16.320164,-3.3236485,7.904447,-6.0968795,-22.688766,7.033418,-10.634166,7.1022286,-2.8871272,0.12860316,10.887701,1.8195548,11.081023,-26.665045,63.048244,4.96446,2.5425227,17.944092,-1.0119503,-7.5995584,21.47809,63.591995,-14.725637,-2.4754941,-11.234932
10,2.499014377593994,0.6971184611320496,77.14618682861328,-0.43009438083302887,-2.4431757990417307,-174.64189158968838,5.6865697,4.442579,5.660561,10.202009,-16.696768,-3.3517919,7.6112757,-6.0504923,-22.6947,7.151611,-10.711137,7.004836,-3.0027666,0.1720848,10.777623,1.7560271,11.124641,-26.763512,63.035122,5.0044084,2.5470223,17.87077,-0.90986,-7.631204,21.384144,62.815342,-14.9593,-2.5817726,-11.2418995
11,2.520974636077881,0.6997078061103821,77.12800598144531,-0.47372489458795014,-2.2470451191442096,-174.60203561038173,5.063627,4.518485,5.5520988,10.999123,-17.086937,-3.3593194,7.1803136,-6.072825,-22.68364,7.603681,-10.971734,6.919932,-3.1106281,0.21131665,10.6757765,1.6915485,11.169713,-26.852333,62.994667,5.047957,2.5489624,17.789988,-0.78172565,-7.667903,21.279753,61.95025,-15.194875,-2.7051725,-11.254145
