Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.15200842916965485,1.536791205406189,78.68522644042969,0.028621422900484673,4.691342990288539,-85.59845882012168,-3.687741,4.8962502,4.5927157,6.7706385,-8.456542,-5.483894,-1.8860954,-5.446447,-9.892452,6.847314,-9.114317,4.2073674,-0.71386504,0.5131688,-3.6299622,34.86021,92.26904,63.480778,81.31819,7.957934,10.090848,-8.8197565,57.45165,-87.06618,-71.364235,78.46706,-9.499433,7.855314,13.074785
1,-0.14829926192760468,1.5355676412582397,78.68490600585938,0.026734349954418903,4.6827063384106635,-85.61963244591331,-3.6776738,4.899187,4.6053395,6.770452,-8.452928,-5.486775,-1.8870044,-5.440454,-9.86938,6.846924,-9.099486,4.187382,-0.68900645,0.5670303,-3.5734897,34.838993,92.23577,63.46205,81.35608,7.947485,10.08288,-8.836425,57.60187,-87.08388,-71.30311,78.49714,-9.370964,7.7790504,12.7529
2,-0.14982426166534424,1.5403430461883545,78.68518829345703,0.02463306848363745,4.6729197237803355,-85.64339447051248,-3.6663697,4.903126,4.619987,6.7709002,-8.44945,-5.4902167,-1.8881038,-5.4336267,-9.843092,6.847345,-9.083489,4.1655703,-0.65051967,0.62167645,-3.531478,34.826786,92.20293,63.439922,81.38413,7.9414315,10.070554,-8.862337,57.81294,-87.09979,-71.22225,78.5436,-9.177286,7.6812673,12.3932495
3,-0.1564125120639801,1.5513890981674194,78.6867446899414,0.022724773660263844,4.664083503489989,-85.66540967173181,-3.655952,4.9065757,4.633878,6.7720118,-8.447549,-5.4929895,-1.8886193,-5.427707,-9.819747,6.848025,-9.070977,4.147246,-0.6101183,0.6720274,-3.5047216,34.817867,92.17056,63.41503,81.40188,7.9373293,10.060648,-8.886973,58.027405,-87.1141,-71.13028,78.59279,-8.970547,7.5806594,12.05463
4,-0.1556776762008667,1.5593756437301636,78.68669128417969,0.021410358340903282,4.656967350586087,-85.68232341745939,-3.6466532,4.9088907,4.64493,6.77205,-8.447006,-5.4941864,-1.8872851,-5.4240456,-9.804746,6.8479557,-9.066046,4.137667,-0.573713,0.71275413,-3.4969182,34.806946,92.13916,63.38912,81.40745,7.935813,10.056367,-8.902615,58.20495,-87.12717,-71.0358,78.64238,-8.788811,7.487217,11.779961
5,-0.158198744058609,1.5610086917877197,78.68647766113281,0.021168118426470293,4.651801268097147,-85.69249990695593,-3.6393418,4.909512,4.652634,6.7717485,-8.449055,-5.4927745,-1.8837332,-5.424367,-9.801548,6.848596,-9.073594,4.1415195,-0.543718,0.7395156,-3.5100014,34.787163,92.1092,63.364864,81.40012,7.9374213,10.060023,-8.904528,58.31555,-87.139626,-70.94759,78.69235,-8.663185,7.4060316,11.606925
6,-0.15608301758766174,1.5602411031723022,78.68708038330078,0.02091874343149233,4.651984040736759,-85.69266457013019,-3.6408398,4.9093876,4.651231,6.7720017,-8.45072,-5.490038,-1.8819332,-5.4256682,-9.810314,6.8482847,-9.089206,4.1536736,-0.5435948,0.7395418,-3.5099719,34.787075,92.10813,63.36489,81.40019,7.9373727,10.060076,-8.904506,58.31576,-87.14012,-70.947136,78.69233,-8.663248,7.405955,11.606798
7,-0.15287847816944122,1.5596946477890015,78.68758392333984,0.022905475648005696,4.6445886193835495,-85.69857977954437,-3.6290143,4.9069595,4.6592526,6.772078,-8.457718,-5.4859557,-1.8710327,-5.431662,-9.817066,6.849746,-9.108368,4.170373,-0.506944,0.7700151,-3.539618,34.73628,92.08,63.348015,81.4035,7.9470854,10.077158,-8.89235,58.40258,-87.15251,-70.863945,78.76718,-8.587263,7.2854567,11.455564
8,-0.15189442038536072,1.558333396911621,78.68803405761719,0.022788667989087526,4.645041297562048,-85.69865168702073,-3.6297688,4.9069543,4.658342,6.772362,-8.459367,-5.4844813,-1.869376,-5.4327784,-9.8236,6.8489814,-9.118306,4.178922,-0.5069026,0.7700122,-3.5395672,34.73625,92.079506,63.348015,81.40353,7.9470773,10.077181,-8.892334,58.4027,-87.15276,-70.86373,78.76718,-8.587296,7.285426,11.455478
9,-0.14902053773403168,1.5477782487869263,78.68624877929688,0.024436172520354252,4.6386098446309765,-85.69561626094345,-3.6183975,4.903051,4.654251,6.7727637,-8.464742,-5.483699,-1.8560244,-5.4376826,-9.830756,6.8495665,-9.125858,4.1835613,-0.4811958,0.81135154,-3.541617,34.702263,92.052765,63.33057,81.40863,7.974427,10.092187,-8.883192,58.53706,-87.16459,-70.77253,78.85334,-8.450159,7.1687484,11.1634655
