Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.4457121789455414,3.038783073425293,77.33700561523438,0.17255340865588534,-1.4119047280165988,-92.98900684669931,-0.44806668,3.6640286,2.5693245,18.976692,-17.748745,-5.3421345,-1.096686,-0.8552272,-1.114917,19.705582,-18.338959,2.9550347,-3.4754956,3.206955,5.5382566,-2.8495235,16.156273,-51.091938,55.545624,0.23768371,2.224659,3.1064422,-5.6604247,-12.690447,41.519802,60.2986,4.6252356,13.777544,-0.31778434
1,-0.47158539295196533,3.08439302444458,77.33695220947266,0.13529136557394464,-1.362098969520003,-92.97969765527117,-0.68040574,3.744312,2.5380347,19.239418,-17.780039,-5.401877,-1.238126,-0.78624827,-1.1389537,19.78164,-18.3024,2.907637,-3.4520006,3.2514577,5.5326233,-2.9045,16.176945,-51.089046,55.529366,0.25678536,2.2396374,3.1182508,-5.7914124,-12.698527,41.5637,60.24628,4.5986495,13.787319,-0.30892664
2,-0.4997178912162781,3.13716459274292,77.33612823486328,0.09880702766373604,-1.3134396206148466,-92.9699247525108,-0.90723133,3.8235118,2.5069368,19.496096,-17.810987,-5.4633284,-1.375713,-0.71814984,-1.1633698,19.855402,-18.266605,2.8614838,-3.4394484,3.2979882,5.533271,-2.9452417,16.212831,-51.071915,55.488533,0.28394234,2.256517,3.1286514,-5.9231763,-12.729074,41.631947,60.176838,4.5945435,13.801373,-0.3055247
3,-0.5270765423774719,3.1991195678710938,77.3333511352539,0.06045895083722944,-1.2624400719331825,-92.96108397081186,-1.1445453,3.9043913,2.4746845,19.76409,-17.842709,-5.522742,-1.5207121,-0.6484238,-1.1877502,19.933222,-18.229275,2.8127997,-3.4181187,3.3484612,5.533505,-2.9988127,16.238825,-51.063023,55.460266,0.2997667,2.2691295,3.1393807,-6.054004,-12.765103,41.69615,60.097984,4.5863585,13.811221,-0.2888482
4,-0.5538638830184937,3.2623026371002197,77.32918548583984,0.020652805601169118,-1.20550382098553,-92.95423163927252,-1.4074879,3.9892118,2.4397404,20.05778,-17.874887,-5.576499,-1.684558,-0.5747035,-1.2119851,20.022194,-18.18903,2.7577772,-3.3889158,3.4068642,5.5345716,-3.0660892,16.25884,-51.05796,55.436615,0.29093972,2.2731507,3.1505046,-6.212951,-12.807365,41.786697,60.021267,4.595662,13.809934,-0.24164207
5,-0.5765928030014038,3.33430552482605,77.32564544677734,-0.022897350575619133,-1.1414290871388595,-92.95219902729421,-1.700939,4.078645,2.4034638,20.384924,-17.908728,-5.6211905,-1.8724239,-0.49643338,-1.2330927,20.12803,-18.14678,2.6931808,-3.362777,3.4814465,5.545361,-3.1300685,16.289923,-51.039314,55.381924,0.24661294,2.2653832,3.1593206,-6.388383,-12.897603,41.931232,59.899773,4.6497073,13.796215,-0.15019552
6,-0.6056644320487976,3.4076154232025146,77.3237075805664,-0.0671944289275442,-1.0722171829791276,-92.95347258545203,-2.0157762,4.171058,2.3660333,20.734922,-17.943045,-5.659841,-2.077432,-0.414907,-1.2522404,20.245665,-18.10299,2.621725,-3.3252258,3.5636473,5.5582457,-3.2068672,16.31737,-51.029682,55.327637,0.17234616,2.2488713,3.1679864,-6.5812836,-13.001902,42.096233,59.768345,4.728238,13.771822,-0.02732062
7,-0.6359131336212158,3.4843108654022217,77.32274627685547,-0.11518716965653787,-0.9990534692938812,-92.95299396754,-2.3485966,4.2670064,2.3237479,21.099909,-17.976824,-5.698609,-2.2924123,-0.330016,-1.2756728,20.364193,-18.054071,2.5487106,-3.2828474,3.654719,5.5754356,-3.2950482,16.341824,-51.01914,55.274372,0.09694782,2.229361,3.1775892,-6.7988205,-13.121057,42.2879,59.631298,4.8160286,13.744767,0.10941076
8,-0.6669646501541138,3.5732038021087646,77.32173919677734,-0.16590848389266033,-0.9228225150022658,-92.94531320202887,-2.6957011,4.3672333,2.272914,21.472021,-18.009304,-5.743611,-2.5109591,-0.24169858,-1.3095849,20.474794,-17.997513,2.4794965,-3.2375202,3.7554154,5.598531,-3.3953414,16.363443,-51.003063,55.222973,0.04869873,2.2130518,3.1893222,-7.0383997,-13.25516,42.49822,59.48526,4.8863907,13.723383,0.24300942
9,-0.6991010308265686,3.6683197021484375,77.31883239746094,-0.22500611680588678,-0.8460220496479688,-92.92885309660777,-3.0552137,4.47683,2.212451,21.85345,-18.04609,-5.801086,-2.7269602,-0.1453629,-1.3564435,20.571478,-17.931704,2.4150195,-3.1919239,3.8689387,5.628241,-3.5055413,16.38221,-50.976517,55.174408,0.042964797,2.2020624,3.2028635,-7.288931,-13.404204,42.723103,59.31988,4.915032,13.709604,0.37689182
