Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.15189878642559052,2.0978634357452393,78.30921936035156,0.669650020569906,-1.4430265328046172,-86.80508846266012,5.811696,2.7357879,6.103344,8.871901,-12.46624,-3.7836344,5.9429626,-1.9380287,-17.4936,6.984344,-12.341887,3.397451,-6.0764103,-0.5561367,3.8717453,1.289462,9.7312765,-26.43613,61.58531,5.1103725,3.5787375,-0.6610799,3.0311298,-8.891553,31.873886,56.116547,8.110614,13.931459,-4.6840987
1,-0.14973828196525574,2.082043170928955,78.3027572631836,0.6448727905022494,-1.469564290371148,-86.80206459380398,5.714267,2.7814517,6.095177,9.174679,-12.629631,-3.7737417,5.9900737,-1.9078182,-17.503912,6.983859,-12.359422,3.40189,-6.0456004,-0.51846844,3.878454,1.2628535,9.737872,-26.429766,61.59994,5.1056433,3.5685596,-0.6473387,3.017501,-8.896202,31.900568,56.14069,8.143207,13.960737,-4.713569
2,-0.14898595213890076,2.0648319721221924,78.2947998046875,0.6211157892654328,-1.495796072282648,-86.79835447632175,5.6131268,2.8283405,6.086224,9.48398,-12.795911,-3.763656,6.0363708,-1.8767427,-17.51524,6.983342,-12.376376,3.4068422,-6.0293374,-0.480415,3.8854063,1.2496171,9.748811,-26.40748,61.60033,5.1023345,3.556982,-0.63495433,2.9999676,-8.904791,31.95048,56.163845,8.187865,13.991637,-4.7472806
3,-0.15121643245220184,2.0473079681396484,78.28758239746094,0.5965981940761584,-1.522474662374767,-86.79562554953105,5.5203915,2.8730803,6.078476,9.777713,-12.954967,-3.754256,6.083676,-1.8464882,-17.524591,6.982508,-12.393741,3.410608,-6.0086184,-0.44331503,3.8922698,1.22803,9.757961,-26.39078,61.61266,5.0990977,3.5467403,-0.62343955,2.9825501,-8.912523,31.988953,56.18828,8.223549,14.018815,-4.775119
4,-0.15402260422706604,2.030214786529541,78.27953338623047,0.575680822599141,-1.5504371274314581,-86.79416616255881,5.450888,2.911744,6.0727954,10.026934,-13.092837,-3.746394,6.1318746,-1.8195076,-17.52984,6.9825277,-12.412134,3.4117904,-5.9957666,-0.4075496,3.9009082,1.2140838,9.766726,-26.373062,61.622025,5.098185,3.543641,-0.61275774,2.9636736,-8.920215,32.023884,56.208626,8.248521,14.039503,-4.7946734
5,-0.1528216004371643,2.011500597000122,78.27362060546875,0.5580340057962714,-1.5808372791822378,-86.79668533958767,5.405165,2.9453213,6.071018,10.234921,-13.211827,-3.740313,6.1817746,-1.7948048,-17.527002,6.9826417,-12.430649,3.4083922,-5.984079,-0.37370107,3.911578,1.1956962,9.774557,-26.360199,61.64442,5.09624,3.5475872,-0.60438037,2.9417698,-8.927431,32.046936,56.229492,8.253124,14.048521,-4.798205
6,-0.15369999408721924,1.9940534830093384,78.26899719238281,0.542557875257378,-1.613243518963182,-86.80181405177599,5.3788652,2.9744391,6.071978,10.408077,-13.314143,-3.7353687,6.233209,-1.772402,-17.518682,6.983378,-12.449999,3.4018738,-5.9737725,-0.34136865,3.9238594,1.1773282,9.780035,-26.351377,61.672287,5.0941734,3.5575387,-0.59666854,2.9190502,-8.932681,32.060963,56.248737,8.243433,14.050217,-4.7917414
7,-0.15577432513237,1.9768270254135132,78.26472473144531,0.5296137611875167,-1.644862115707906,-86.80526061194297,5.367279,2.9986684,6.072772,10.548675,-13.401373,-3.7315695,6.2844477,-1.7535077,-17.511116,6.984398,-12.470166,3.3952694,-5.9696636,-0.31111908,3.9352684,1.1617255,9.785853,-26.342058,61.70116,5.0950193,3.5703673,-0.58992934,2.8952205,-8.938389,32.07252,56.265903,8.23278,14.049393,-4.7829404
8,-0.15773579478263855,1.9594755172729492,78.25847625732422,0.521415035072132,-1.6742204622401182,-86.80378221494558,5.3731894,3.0144992,6.072149,10.6455145,-13.467636,-3.7285335,6.3349514,-1.7410913,-17.509663,6.984947,-12.490943,3.3918428,-5.969767,-0.28634936,3.9422646,1.1499449,9.7939,-26.333227,61.72986,5.102586,3.5831387,-0.58367676,2.875791,-8.946356,32.078762,56.278454,8.229736,14.051019,-4.7794704
9,-0.15957266092300415,1.9389572143554688,78.25452423095703,0.519249302885985,-1.7016736023554888,-86.79400649299639,5.3965864,3.0212288,6.069523,10.699918,-13.514426,-3.7259192,6.3859954,-1.7361847,-17.518,6.9853816,-12.513354,3.3922482,-5.979277,-0.26772425,3.9498017,1.1500471,9.804977,-26.322136,61.74557,5.1219997,3.5969422,-0.57532346,2.8613324,-8.957392,32.07824,56.275772,8.2429905,14.057629,-4.782459
