Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.6479685306549072,3.046741247177124,78.47398376464844,-0.0949249589017531,5.1531123351954395,-108.32378172786893,-3.5440743,4.932543,4.4920745,6.8761506,-7.9528065,-4.5265055,-4.765473,1.119076,-10.452162,6.864825,-8.681192,-1.0540571,8.417866,4.4892178,7.476234,-3.3567502,10.038719,-35.630013,61.602074,-8.144611,8.905833,5.6668673,-6.912137,-11.109792,27.742102,67.70207,-15.023319,4.888208,-4.3770785
1,-0.7114916443824768,3.0470616817474365,78.47509765625,-0.08278054774090532,5.153518635608589,-108.38750434494737,-3.4969118,4.985928,4.566406,6.8777294,-7.9815383,-4.556313,-4.748922,1.1781945,-10.384802,6.8654113,-8.703617,-1.1083279,8.430448,4.453416,7.556774,-3.3025439,10.033768,-35.465363,61.587067,-8.210552,8.893433,5.7478476,-6.8896527,-11.1238985,27.732658,67.66573,-14.975696,4.8339477,-4.359526
2,-0.7877621054649353,3.026198625564575,78.47482299804688,-0.07066131227636967,5.155831121450474,-108.4510014305718,-3.451837,5.038665,4.641146,6.8790426,-8.009617,-4.586524,-4.735162,1.2364191,-10.317288,6.8673396,-8.726848,-1.1615483,8.442013,4.41569,7.633485,-3.2494943,10.02886,-35.308342,61.577526,-8.273034,8.884942,5.824089,-6.8728623,-11.130881,27.728558,67.640434,-14.920582,4.7755322,-4.3446035
3,-0.865902841091156,3.0107803344726562,78.47319030761719,-0.05905966810386547,5.154240317042494,-108.51508333367526,-3.4024172,5.0928106,4.71517,6.8812776,-8.0391,-4.6159716,-4.7170734,1.2960676,-10.250069,6.8693542,-8.749624,-1.2169105,8.427215,4.3815737,7.7171493,-3.1825294,10.020022,-35.09852,61.556286,-8.330422,8.8677225,5.9075966,-6.8719983,-11.137599,27.747381,67.62206,-14.873498,4.72566,-4.3277645
4,-0.9374798536300659,3.0100831985473633,78.46791076660156,-0.04952826433053157,5.143150230929514,-108.5804662176623,-3.3419724,5.1510744,4.787429,6.8825774,-8.06998,-4.643597,-4.6877036,1.3601735,-10.18347,6.8706636,-8.771439,-1.2777592,8.42345,4.349305,7.804446,-3.10995,10.010718,-34.872696,61.52355,-8.419611,8.8296795,6.0209165,-6.8640614,-11.13991,27.741621,67.59861,-14.860358,4.6954446,-4.3077607
5,-1.0089521408081055,3.006258249282837,78.46217346191406,-0.043615978005791874,5.1170813445122985,-108.64101306062878,-3.2686834,5.2155657,4.8506265,6.8861523,-8.104875,-4.672536,-4.6423106,1.4302543,-10.122705,6.8735914,-8.792026,-1.3476237,8.393378,4.3242903,7.906384,-3.0229251,9.996393,-34.585747,61.475536,-8.523729,8.76242,6.1739197,-6.871428,-11.138179,27.739727,67.58238,-14.889384,4.6938586,-4.2770615
6,-1.0938552618026733,2.987060785293579,78.4556884765625,-0.04063531523314773,5.080417139408149,-108.69835074418855,-3.1857688,5.284976,4.9076667,6.889466,-8.141062,-4.70232,-4.584704,1.5051711,-10.06591,6.875832,-8.810753,-1.4239742,8.363121,4.303266,8.016027,-2.9335039,9.980337,-34.282185,61.420856,-8.649881,8.674449,6.3576245,-6.877903,-11.13188,27.71985,67.564835,-14.953199,4.712352,-4.2395453
7,-1.172800064086914,2.988198757171631,78.44939422607422,-0.037118750365233606,5.041890642509293,-108.76533600035162,-3.0963242,5.3549266,4.972916,6.8936663,-8.179177,-4.7260814,-4.5243745,1.5812393,-10.002572,6.877454,-8.830201,-1.5005658,8.330722,4.281748,8.123692,-2.827739,9.959562,-33.92911,61.34946,-8.790159,8.576513,6.546616,-6.889551,-11.122188,27.707079,67.5505,-15.024751,4.7383037,-4.208289
8,-1.2511807680130005,2.9832029342651367,78.4442138671875,-0.02875550087280233,5.0104487232599375,-108.85458935047942,-3.0043414,5.420943,5.060712,6.897987,-8.217077,-4.7374763,-4.4802933,1.6526998,-9.922552,6.9009275,-8.8654785,-1.5713592,8.329183,4.252682,8.217897,-2.7039692,9.939529,-33.545654,61.25211,-8.957496,8.480827,6.719651,-6.8853154,-11.116074,27.685934,67.52139,-15.08607,4.758558,-4.195342
9,-1.3384267091751099,2.961890697479248,78.43923950195312,-0.008267940351714074,4.986172984526986,-108.9803886332934,-2.9159336,5.4778996,5.1861577,6.929261,-8.276749,-4.7376714,-4.4451666,1.7140925,-9.8145685,6.929401,-8.908659,-1.6336315,8.316164,4.2127466,8.300209,-2.5348191,9.905026,-33.040573,61.11834,-9.09669,8.393664,6.857712,-6.897086,-11.112689,27.73058,67.49897,-15.115616,4.773236,-4.211252
10,-1.4209259748458862,2.936861276626587,78.43157958984375,0.022505770485935873,4.965417356271224,-109.13234977681505,-2.8214545,5.526412,5.3388314,6.966325,-8.345401,-4.728715,-4.4128904,1.7676873,-9.686117,6.9586043,-8.956049,-1.690782,8.341153,4.1610856,8.372605,-2.3477952,9.868879,-32.50481,60.95763,-9.24442,8.308929,6.9815183,-6.886844,-11.117673,27.76369,67.454636,-15.142533,4.7866955,-4.244635
11,-1.5040972232818604,2.9171900749206543,78.42693328857422,0.057417757608715723,4.950174504719397,-109.2869265447487,-2.737044,5.5689273,5.493348,7.0147476,-8.409655,-4.703967,-4.384336,1.8181121,-9.5536995,6.9854903,-9.003841,-1.7453388,8.359462,4.1080027,8.44092,-2.15159,9.827001,-31.93103,60.781933,-9.447056,8.213885,7.1071367,-6.874916,-11.13014,27.800928,67.40114,-15.161887,4.798934,-4.282029
12,-1.5925146341323853,2.8954644203186035,78.42851257324219,0.0912292919501563,4.942697182393667,-109.42040709945381,-2.6809638,5.6088915,5.625053,7.085017,-8.459154,-4.654257,-4.361974,1.868749,-9.433313,7.010306,-9.05002,-1.7997626,8.360298,4.0602684,8.507421,-1.968717,9.780321,-31.358257,60.609653,-9.766157,8.096196,7.2541747,-6.8608193,-11.14832,27.81452,67.33958,-15.181583,4.8088245,-4.309465
13,-1.6858868598937988,2.8743062019348145,78.43181610107422,0.1302429031236362,4.949643916969192,-109.5308354199453,-2.662131,5.643792,5.728292,7.178846,-8.506387,-4.5718684,-4.3550806,1.9134797,-9.321098,7.03418,-9.089794,-1.8531542,8.378539,4.001875,8.566418,-1.8101138,9.748642,-30.839365,60.435158,-10.249745,7.967584,7.4373736,-6.8284936,-11.162802,27.751469,67.25919,-15.219117,4.8133473,-4.323351
14,-1.777575135231018,2.8534278869628906,78.4181137084961,0.13396387442976557,4.968192039536404,-109.62699248354276,-2.9656918,5.747751,5.7742085,7.9140296,-8.880196,-4.465287,-4.4696198,1.9752624,-9.227237,7.2920966,-9.253452,-1.9060402,8.331902,3.9862702,8.618328,-1.6391149,9.697999,-30.23478,60.25027,-10.8153715,7.8261404,7.6341987,-6.8238697,-11.18757,27.729223,67.184555,-15.244047,4.8165073,-4.3302183
15,-1.8570678234100342,2.8374578952789307,78.39256286621094,0.09708957922716474,4.986713664014401,-109.70473693473461,-3.6507537,5.929551,5.755313,9.442339,-9.633537,-4.3478184,-4.5779495,2.0788715,-9.159768,7.5418844,-9.41832,-1.9628731,8.321466,4.0090284,8.65971,-1.4881666,9.662791,-29.700663,60.06612,-11.479649,7.649556,7.8386483,-6.7892337,-11.207451,27.633951,67.09628,-15.276899,4.81743,-4.335132
16,-1.9345097541809082,2.8290534019470215,78.36016082763672,0.030020341572744785,4.991383958765429,-109.76220231249103,-4.4119105,6.14287,5.707327,11.147617,-10.416503,-4.2277455,-4.64568,2.2149966,-9.122604,7.748687,-9.573502,-2.024757,8.265835,4.077633,8.712617,-1.334033,9.613181,-29.128979,59.884964,-12.161654,7.410561,8.022053,-6.7632885,-11.240713,27.573872,67.015236,-15.281183,4.821661,-4.340072
17,-2.012981414794922,2.81611967086792,78.31745910644531,-0.0835384726706686,4.992188639275787,-109.80114041262777,-5.2747316,6.410894,5.5812445,13.058569,-11.273467,-4.1134977,-4.6829333,2.4035258,-9.121064,7.9069843,-9.716019,-2.0990102,8.2304125,4.1960826,8.756275,-1.1933786,9.572101,-28.602413,59.707584,-12.891295,7.122276,8.182401,-6.7119484,-11.273531,27.470213,66.929085,-15.27668,4.827831,-4.34766
18,-2.088505744934082,2.794332265853882,78.27128601074219,-0.23370717501692306,4.991192440767719,-109.82303455217414,-6.2365522,6.7269583,5.388342,15.162233,-12.199134,-3.991125,-4.697097,2.6331363,-9.147627,8.025373,-9.846443,-2.181969,8.177406,4.3597374,8.797496,-1.0558395,9.526213,-28.065708,59.529057,-13.667123,6.791004,8.324473,-6.654823,-11.315694,27.366114,66.83921,-15.25496,4.8358545,-4.354599
19,-2.164386510848999,2.768240213394165,78.21882629394531,-0.39104889714226254,4.964840995979491,-109.82284547187199,-7.2466435,7.055683,5.219274,17.408112,-13.101368,-3.8371718,-4.6653786,2.86638,-9.195172,8.119782,-9.977098,-2.260137,8.132015,4.536461,8.860324,-0.9320008,9.4911585,-27.579847,59.355576,-14.49726,6.386851,8.462293,-6.584171,-11.354459,27.230137,66.75018,-15.225023,4.8436236,-4.3617244
20,-2.245615005493164,2.7411458492279053,78.1689682006836,-0.5275802013319202,4.889616427915513,-109.79563908017163,-8.264628,7.367224,5.1646714,19.775158,-13.894768,-3.6277955,-4.562272,3.068597,-9.25751,8.199693,-10.116116,-2.320292,8.052247,4.7178617,8.982905,-0.81794536,9.44482,-27.106018,59.192245,-15.350322,5.8771415,8.598324,-6.507068,-11.419707,27.113787,66.64574,-15.170923,4.851671,-4.3622584
21,-2.323249101638794,2.7091009616851807,78.12489318847656,-0.6426591080321932,4.750020919298352,-109.73119506514955,-9.289253,7.669607,5.257777,22.322596,-14.567148,-3.360617,-4.3686857,3.2364595,-9.342165,8.264157,-10.267984,-2.3600073,7.971638,4.89237,9.173687,-0.725405,9.414937,-26.718922,59.047302,-16.324509,5.2098594,8.729758,-6.4154553,-11.481649,26.950138,66.53162,-15.109351,4.864691,-4.354768
22,-2.392112970352173,2.6720733642578125,78.08375549316406,-0.7499831068122123,4.5616947852856455,-109.63512283997895,-10.336496,7.9880834,5.4429717,25.043505,-15.1636715,-3.0338464,-4.0986133,3.3889492,-9.449077,8.301291,-10.423156,-2.386209,7.87178,5.0764766,9.421059,-0.6426943,9.392011,-26.373243,58.90807,-17.385548,4.4160967,8.8441515,-6.309769,-11.559439,26.769428,66.39607,-15.031953,4.88184,-4.3383217
23,-2.46069073677063,2.624734401702881,78.04686737060547,-0.8429153259156793,4.348222087335463,-109.52578846279891,-11.375822,8.309972,5.6849923,27.786013,-15.672787,-2.6338308,-3.7799342,3.523034,-9.561397,8.311025,-10.573317,-2.4003317,7.7853284,5.2463737,9.6889105,-0.5651136,9.382228,-26.082785,58.76768,-18.397432,3.5914323,8.961736,-6.2011,-11.621234,26.584063,66.29026,-14.942892,4.889153,-4.332429
24,-2.531594753265381,2.571329355239868,78.0147933959961,-0.914884171304274,4.132819757297524,-109.42140698888682,-12.373709,8.610241,5.954632,30.390594,-16.078926,-2.159657,-3.4424398,3.6349952,-9.662387,8.298829,-10.713327,-2.4034212,7.724557,5.405961,9.966363,-0.4836301,9.3738165,-25.81754,58.594967,-19.202368,2.8330843,9.098244,-6.053624,-11.728046,26.431223,66.16341,-14.831998,4.8737087,-4.335611
25,-2.602832555770874,2.512166738510132,77.98516082763672,-0.965376753015934,3.903437726888345,-109.31808151511171,-13.339929,8.910862,6.319248,32.953705,-16.378119,-1.5349132,-3.0679026,3.7248285,-9.753612,8.257262,-10.840412,-2.3908052,7.6989856,5.5446453,10.248084,-0.4047503,9.372869,-25.614025,58.404438,-19.778482,2.1255267,9.288729,-5.887056,-11.8325405,26.298592,66.06642,-14.686453,4.8202596,-4.368675
26,-2.6791253089904785,2.447403907775879,77.9612045288086,-0.9982781173853604,3.653110791840088,-109.20932462846089,-14.275593,9.211714,6.777448,35.500378,-16.570578,-0.7940896,-2.648198,3.7951138,-9.8419895,8.186062,-10.957903,-2.363676,7.6933956,5.6712174,10.547328,-0.3276042,9.380045,-25.46002,58.19741,-20.196806,1.431456,9.516694,-5.70065,-11.945714,26.181313,65.98029,-14.512089,4.740623,-4.4197125
27,-2.7512383460998535,2.3745715618133545,77.94328308105469,-1.0108161896153787,3.4138955835830562,-109.10956684263692,-15.158327,9.435902,7.202809,37.80169,-16.64912,-0.11909429,-2.2282279,3.8418725,-9.919164,8.0992775,-11.067598,-2.331562,7.7185273,5.7768087,10.832767,-0.24763545,9.391754,-25.328924,57.981037,-20.476875,0.81119996,9.749011,-5.507134,-12.060534,26.091066,65.93076,-14.345635,4.657896,-4.4762945
28,-2.826792001724243,2.2820141315460205,77.93338012695312,-0.9984603401670467,3.217999965231864,-109.03249782559686,-15.977277,9.496467,7.4697514,39.642498,-16.610727,0.30069876,-1.8560921,3.8589969,-9.97694,8.016979,-11.174413,-2.3038013,7.7830753,5.850873,11.071337,-0.16176204,9.401482,-25.19152,57.76655,-20.638634,0.32519656,9.952568,-5.3219852,-12.164595,26.041666,65.94505,-14.224523,4.5992036,-4.5266695
29,-2.9004712104797363,2.1841320991516113,77.93013763427734,-0.9538462915364888,3.075206668643507,-108.98434442173185,-16.741955,9.337472,7.515188,40.981445,-16.436325,0.3772563,-1.5477599,3.8376954,-10.012389,7.9475803,-11.28128,-2.2858741,7.8958716,5.890469,11.255874,-0.07225377,9.407104,-25.049488,57.544704,-20.610628,0.015912274,10.123338,-5.137072,-12.273528,26.04626,66.01494,-14.147745,4.565683,-4.5700054
30,-2.969967842102051,2.093630075454712,77.92842864990234,-0.8797089173421261,2.9679307617677324,-108.95641624665369,-17.466022,9.000634,7.4221168,41.940975,-16.13859,0.20385736,-1.2805793,3.7804475,-10.030723,7.8886786,-11.390235,-2.2715147,8.0512,5.895528,11.395708,0.013722266,9.40746,-24.917322,57.33089,-20.409174,-0.1576062,10.283543,-4.9664054,-12.36229,26.092154,66.163086,-14.103389,4.546812,-4.6175137
31,-3.039435386657715,1.9804999828338623,77.93608856201172,-0.7873518524213042,2.887895422215729,-108.94088076415221,-18.145433,8.549223,7.27981,42.55068,-15.764991,-0.13107666,-1.0409207,3.7004862,-10.036634,7.8336487,-11.498328,-2.2524743,8.22353,5.883172,11.51007,0.11142287,9.401625,-24.766438,57.121826,-20.181183,-0.25727952,10.427786,-4.794808,-12.457792,26.173357,66.34598,-14.09298,4.5470247,-4.6550546
32,-3.117995262145996,1.8622251749038696,77.94805908203125,-0.6894487478240909,2.8267734611905713,-108.9297759802822,-18.777693,8.054226,7.1741786,42.845127,-15.362553,-0.5303098,-0.81284505,3.6128404,-10.034589,7.7714305,-11.600876,-2.220946,8.401075,5.8605394,11.6047735,0.22276683,9.3875675,-24.586695,56.940987,-20.077936,-0.34791347,10.55615,-4.6321588,-12.538535,26.26556,66.57427,-14.128847,4.570333,-4.6787114
33,-3.1930439472198486,1.7338871955871582,77.962158203125,-0.5822297607179943,2.7886586494571577,-108.92993032477396,-19.353672,7.499173,7.088685,42.776142,-14.938248,-1.0159885,-0.6027866,3.5140579,-10.015608,7.705136,-11.696902,-2.1711502,8.5887785,5.8212485,11.672522,0.35572058,9.363604,-24.364931,56.78964,-20.15102,-0.43842524,10.663798,-4.4839654,-12.600503,26.380358,66.87444,-14.216147,4.6139984,-4.69309
34,-3.264312505722046,1.5969938039779663,77.97444152832031,-0.46251941446194356,2.7755421159776272,-108.94323182507236,-19.877665,6.8708935,6.9830246,42.34211,-14.475264,-1.6153086,-0.4125716,3.4003663,-9.980202,7.63402,-11.786845,-2.1089103,8.802421,5.75947,11.708894,0.5024618,9.335544,-24.124628,56.66307,-20.320406,-0.49777636,10.754411,-4.3497386,-12.6355295,26.510374,67.25036,-14.353623,4.676341,-4.7018514
35,-3.3370330333709717,1.456000566482544,77.98558807373047,-0.34259601437194903,2.775769572166997,-108.95408007426818,-20.360258,6.242774,6.9098277,41.63815,-13.971842,-2.2337246,-0.2262901,3.2841752,-9.947075,7.5530977,-11.873144,-2.0434003,8.992084,5.6957006,11.735038,0.65959173,9.292473,-23.842896,56.562393,-20.520536,-0.5307557,10.832529,-4.2362366,-12.660843,26.669954,67.65426,-14.523462,4.7663097,-4.692573
36,-3.4141154289245605,1.2913200855255127,78.00125122070312,-0.23346071476007701,2.7780220095479318,-108.94707382159183,-20.811161,5.682379,6.924875,40.7592,-13.418906,-2.779148,-0.030581042,3.1768782,-9.935183,7.464138,-11.962624,-1.9836085,9.165869,5.640405,11.763961,0.80226403,9.246785,-23.571049,56.49718,-20.708748,-0.54168284,10.910182,-4.13004,-12.670236,26.798737,68.04042,-14.731208,4.889979,-4.655266
37,-3.486229419708252,1.1327345371246338,78.01121520996094,-0.13627766058383164,2.7838270224449557,-108.91123007448208,-21.221373,5.189499,7.0473638,39.67013,-12.812468,-3.2433062,0.17431368,3.0778718,-9.95707,7.363303,-12.051649,-1.9349062,9.300298,5.59612,11.797794,0.93673223,9.192373,-23.280785,56.46304,-20.885305,-0.52231216,10.982684,-4.0395627,-12.664569,26.907558,68.41538,-14.983744,5.0601006,-4.591683
38,-3.5623741149902344,0.9647955894470215,78.0146255493164,-0.04677742162024521,2.7971659115198886,-108.85779402383064,-21.581526,4.7341304,7.245701,38.32927,-12.147213,-3.6663895,0.3846653,2.984012,-9.999571,7.248836,-12.137745,-1.8917376,9.420046,5.5558257,11.829678,1.0668738,9.136499,-22.984772,56.453857,-21.078474,-0.47262803,11.048247,-3.955346,-12.64264,26.99436,68.788795,-15.284055,5.268421,-4.504353
39,-3.632030725479126,0.7987961173057556,78.01393127441406,0.032643060857640176,2.8105827110186876,-108.80384225692579,-21.90367,4.3317494,7.5031886,36.83068,-11.41323,-4.0335164,0.567972,2.8946426,-10.04521,7.207462,-12.27064,-1.8460873,9.533203,5.521857,11.863116,1.1888053,9.080831,-22.700813,56.476974,-21.25462,-0.41079396,11.11553,-3.8794148,-12.608973,27.07081,69.14425,-15.605318,5.49257,-4.3859406
