Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.27802157402038574,-2.5080480575561523,79.003173828125,-0.20090978547368393,0.1555492185419154,86.73307047310138,1.856875,4.864882,18.956326,6.918501,-9.047168,-4.3895154,1.817268,-5.066092,-25.448978,6.868705,-7.4227633,2.9737327,0.057209395,0.8849631,7.729114,3.758242,8.975143,-20.086353,62.998493,7.0835533,-0.92614764,10.093523,-6.1842422,-11.826771,38.46733,68.02882,1.8012347,-2.0078351,-5.4965773
1,-0.2818193733692169,-2.511786699295044,79.00800323486328,-0.19100156882736657,0.17899445960773944,86.73941246373538,1.8240113,4.8479548,18.946922,6.9184237,-9.044931,-4.3784437,1.793386,-5.0810404,-25.457804,6.867303,-7.4481964,2.9580889,0.040608566,0.8767324,7.7253637,3.7600965,8.976527,-20.088318,62.992496,7.086905,-0.91338015,10.099988,-6.186004,-11.824852,38.464413,68.02489,1.8144078,-2.0100524,-5.4883275
2,-0.28529736399650574,-2.5167930126190186,79.0124740600586,-0.1815761190508071,0.20814390642668357,86.74760356821501,1.7845184,4.83035,18.936499,6.9175906,-9.040928,-4.366056,1.7587228,-5.099292,-25.468798,6.876876,-7.4781656,2.942853,0.039594386,0.8618154,7.720176,3.7524226,8.986718,-20.109732,62.98345,7.0835805,-0.8942718,10.110481,-6.1903667,-11.808904,38.42469,68.02677,1.8112592,-2.012299,-5.4753156
3,-0.28824952244758606,-2.5220348834991455,79.01731872558594,-0.17385734303577877,0.2362402114118289,86.7561981028224,1.7457503,4.81487,18.923428,6.9174914,-9.038149,-4.3552046,1.7292643,-5.1121936,-25.479288,6.876824,-7.504694,2.926552,0.029431194,0.85323167,7.714491,3.746178,8.991329,-20.122883,62.980896,7.0846653,-0.87979555,10.118466,-6.1935334,-11.801007,38.409462,68.0239,1.8210675,-2.0137017,-5.4664674
4,-0.2914738953113556,-2.527111053466797,79.02069854736328,-0.1668438329172224,0.27086165681926416,86.76841823656243,1.6982076,4.80065,18.901493,6.916696,-9.035256,-4.3470583,1.6944522,-5.1197505,-25.489496,6.8722816,-7.5320067,2.9077284,0.014316259,0.8481194,7.7023144,3.7340925,8.99604,-20.140768,62.989906,7.086989,-0.8694339,10.122533,-6.19066,-11.792234,38.389435,68.01882,1.81606,-2.015791,-5.462174
5,-0.29073894023895264,-2.5327048301696777,79.02176666259766,-0.15992461143015127,0.31277369838935615,86.78504227350957,1.639841,4.7856174,18.866161,6.915696,-9.032381,-4.3431616,1.6499807,-5.1244583,-25.498646,6.8704324,-7.5637307,2.8915899,-0.0005093142,0.8462362,7.68316,3.709509,9.00128,-20.174627,63.01731,7.0871344,-0.8652373,10.119569,-6.190359,-11.782604,38.37503,68.021034,1.8121513,-2.020423,-5.4670353
6,-0.2890390455722809,-2.5350966453552246,79.02143859863281,-0.14962138400743064,0.36006821550595514,86.80527855750779,1.573228,4.766787,18.821335,6.91469,-9.029316,-4.342085,1.5979711,-5.1307187,-25.506672,6.871543,-7.599046,2.8772497,-0.031033617,0.84481317,7.6596036,3.687558,9.005153,-20.20238,63.048775,7.091061,-0.86595017,10.110567,-6.182926,-11.77549,38.365456,68.01411,1.7947006,-2.0244846,-5.477843
7,-0.2841576039791107,-2.5389275550842285,79.02044677734375,-0.13610947721250463,0.4118376358122558,86.82670720935157,1.5021288,4.7452497,18.775969,6.9133606,-9.0271015,-4.3410716,1.5411866,-5.1385274,-25.513254,6.873328,-7.638084,2.8537278,-0.043775484,0.83636683,7.628802,3.6528597,9.015198,-20.256311,63.093582,7.0876694,-0.86619854,10.105806,-6.172802,-11.758093,38.341393,68.01575,1.774873,-2.0289602,-5.489459
8,-0.27701225876808167,-2.5433292388916016,79.01785278320312,-0.11462728018032267,0.4699046818328076,86.84450089518995,1.4271477,4.718658,18.741993,6.912441,-9.027649,-4.337223,1.3380023,-5.221128,-25.501818,7.20209,-7.852319,2.8123105,-0.063020274,0.82134575,7.5981846,3.618441,9.021592,-20.283203,63.13433,7.0975046,-0.8638986,10.107056,-6.163883,-11.748691,38.33172,68.00467,1.7593929,-2.0290647,-5.491257
9,-0.2654315233230591,-2.547774076461792,79.0143814086914,-0.0846621070894547,0.5349541155609391,86.86089932131682,1.3475002,4.6861625,18.720085,6.9108043,-9.029755,-4.327593,1.0160758,-5.366364,-25.47682,7.792985,-8.208042,2.74212,-0.06601402,0.7922668,7.562165,3.5720828,9.0346365,-20.321003,63.183086,7.1079674,-0.85608214,10.118192,-6.150754,-11.732754,38.30811,67.9911,1.7404152,-2.0244122,-5.4811163
10,-0.25508251786231995,-2.550140619277954,79.010986328125,-0.05094784805776429,0.605292090123088,86.87831808973401,1.2631255,4.6515594,18.70344,6.909252,-9.033329,-4.3144374,0.6745824,-5.52149,-25.448961,8.418231,-8.584449,2.649544,-0.068181016,0.75634915,7.5244875,3.5213335,9.052129,-20.354963,63.233593,7.12393,-0.84571475,10.134032,-6.1330576,-11.715007,38.279224,67.968506,1.7140797,-2.015355,-5.4625916
11,-0.24300086498260498,-2.5493149757385254,79.00740814208984,-0.013247859390653432,0.6767671611656377,86.89440394303585,1.1798489,4.61451,18.690634,6.907512,-9.039375,-4.3024526,0.3377919,-5.6758885,-25.416168,9.030536,-8.960221,2.5519223,-0.07495802,0.72041607,7.487436,3.470408,9.062623,-20.369488,63.282997,7.1464224,-0.8348767,10.155988,-6.112874,-11.706078,38.261314,67.93761,1.691801,-2.006245,-5.441688
