Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.4639756381511688,2.1974685192108154,74.06625366210938,4.0188685115890275,-3.2169995079749065,-91.61502732026871,-25.551865,-6.0621247,5.2539515,27.234135,2.4937372,-0.12337403,20.298195,-6.9483733,-0.66038465,41.908867,-1.0023186,9.597825,2.3363822,-0.5415804,10.979254,1.0854576,7.668026,-27.865614,71.25501,13.562071,3.9362912,-1.1068821,-3.1761637,-14.579184,16.628426,63.82667,-21.231113,-5.9999375,5.2492123
1,-0.30706265568733215,1.1725220680236816,74.22549438476562,4.322107734114305,-3.4662983802532437,-91.84016654514465,-24.391523,-6.4185805,5.610013,27.390089,1.421251,0.21448714,18.832697,-7.5038548,-0.09177209,45.34728,1.3389056,10.905202,2.4019408,-0.7288888,11.1454,0.9076586,7.6127944,-27.94446,71.200165,14.525764,4.1379566,-1.4830799,-2.7360172,-14.468165,16.631165,63.94379,-20.793612,-5.995548,5.3773656
2,-0.1750849485397339,0.16858649253845215,74.39289855957031,4.618690849086498,-3.722019995087463,-92.06567455032537,-23.233189,-6.779513,5.9502063,27.57937,0.32486558,0.56052315,17.3744,-7.9897885,0.5918249,48.835815,3.838653,12.310497,2.4744859,-0.9301273,11.293263,0.72006506,7.5433674,-28.027174,71.20386,15.558204,4.3507566,-1.8849678,-2.3338327,-14.280615,16.63247,64.15473,-20.326183,-5.992395,5.473702
3,-0.04807443171739578,-0.825385570526123,74.56439208984375,4.905700099572704,-3.9756002623219473,-92.28467235484122,-22.044968,-7.146192,6.2576413,27.681128,-0.7172858,0.88413364,15.890236,-8.463793,1.2192341,52.27754,6.0072904,13.507269,2.5177076,-1.1404852,11.439626,0.5137093,7.4823856,-28.085253,71.21306,16.461958,4.529046,-2.2167468,-1.9881274,-14.053256,16.653948,64.400085,-19.968998,-5.971374,5.5734525
4,0.08254379779100418,-1.7719759941101074,74.72306823730469,5.183907528439714,-4.2181240960455675,-92.4908042180429,-20.793646,-7.5254936,6.5208826,27.56943,-1.6234223,1.1557719,14.343776,-9.03946,1.5901294,55.571465,7.3594184,14.145119,2.4941895,-1.3681465,11.59907,0.28167057,7.4590425,-28.094599,71.17274,17.031845,4.6328797,-2.379595,-1.727282,-13.807158,16.720045,64.63164,-19.863638,-5.9105053,5.7091637
5,0.20985138416290283,-2.691101312637329,74.87470245361328,5.484181050018455,-4.440474522007883,-92.68398298519739,-19.46406,-7.9448304,6.755076,27.174343,-2.355287,1.3695524,12.710891,-9.862845,1.5904416,58.74524,7.641623,14.037076,2.3893611,-1.6498314,11.782284,0.04020814,7.494833,-28.001478,71.02938,17.181915,4.6410403,-2.3457468,-1.5654255,-13.551499,16.847338,64.82819,-20.107635,-5.7930083,5.913767
6,0.31631362438201904,-3.6077756881713867,75.04005432128906,5.800785198877847,-4.648444147297374,-92.86525938001375,-18.075209,-8.398071,6.9626074,26.567131,-2.9549758,1.5411367,11.0172415,-10.899289,1.3367034,61.834087,7.143499,13.37011,2.2199767,-1.9776865,11.985514,-0.19223565,7.5936637,-27.83208,70.785324,17.031593,4.580705,-2.1745965,-1.4744865,-13.288291,17.023548,64.99294,-20.598476,-5.6370287,6.1698008
7,0.41246217489242554,-4.507569789886475,75.21701049804688,6.0881183928067,-4.855844247611037,-93.03449292681805,-16.644354,-8.835177,7.118912,25.83721,-3.4678714,1.6744114,9.303642,-11.997052,0.9735573,64.73887,6.200933,12.35468,2.0027769,-2.2968664,12.198856,-0.42593175,7.754632,-27.687944,70.48022,16.681652,4.4856615,-1.8955998,-1.4260395,-13.021433,17.22207,65.12939,-21.185179,-5.4763927,6.4297237
8,0.4941295385360718,-5.401681423187256,75.405517578125,6.300518428345613,-5.076391039986741,-93.19110785475267,-15.191928,-9.204698,7.2028313,25.080894,-3.9425962,1.7734847,7.606676,-12.98896,0.627745,67.36053,5.1594963,11.206138,1.7577057,-2.5515044,12.412792,-0.6743058,7.972829,-27.673185,70.1586,16.233654,4.3895946,-1.5374523,-1.3869448,-12.75734,17.41327,65.231674,-21.71563,-5.337274,6.6467805
9,0.5790568590164185,-6.281767845153809,75.58672332763672,6.429318992143704,-5.320771778635632,-93.33190267702173,-13.709182,-9.497854,7.20825,24.30179,-4.3735294,1.8317629,5.928282,-13.837976,0.2996302,69.69601,3.94992,9.8709545,1.4841524,-2.7313797,12.635016,-0.95373404,8.246266,-27.846369,69.829025,15.601851,4.3030205,-1.0579776,-1.3588318,-12.498413,17.598106,65.29836,-22.21596,-5.214115,6.821774
