Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.5796907544136047,-2.176323413848877,78.25820922851562,1.1031364363922387,-2.688543386096897,71.04331047413001,5.3530855,-7.7682257,-17.82044,15.189112,-13.0052185,-4.72356,-19.98874,-19.947033,-16.396063,32.62822,-3.5820353,9.949586,-1.5499083,-1.8149292,10.123553,-9.873314,13.22576,-27.169767,57.0942,8.749228,-0.044071198,3.4354622,3.0499609,-16.188204,9.6981325,57.640095,-18.44169,-10.406443,-2.4038568
1,0.01603771187365055,-1.633824348449707,78.13666534423828,1.4599087036792668,-2.593025181843882,71.51575166679032,5.809312,-7.9551687,-18.192455,15.2909775,-13.519571,-4.3077474,-19.832611,-20.337318,-15.887218,28.896889,-3.2812364,9.897127,-1.6315275,-2.119878,10.001957,-10.152671,13.22623,-27.446323,56.80876,8.786406,-0.044922195,3.3913543,3.4790547,-16.18614,9.807528,58.327366,-18.944004,-10.275834,-2.1419466
2,0.6152728796005249,-1.090905785560608,77.99819946289062,1.8239137802738423,-2.5009595597883973,71.99618153145157,6.2667646,-8.145889,-18.573023,15.392592,-14.032873,-3.8868616,-19.665144,-20.718597,-15.387849,25.090956,-2.9573252,9.852459,-1.6820014,-2.439035,9.871345,-10.474495,13.219787,-27.792204,56.558075,8.818291,-0.043003485,3.3596897,3.9315894,-16.160358,9.884219,59.02488,-19.461056,-10.148894,-1.8809994
3,1.217227816581726,-0.5396523475646973,77.84382629394531,2.1751696036013977,-2.4104579377983955,72.45955305214078,6.736309,-8.308498,-18.951342,15.482308,-14.557593,-3.4900384,-19.491943,-21.07746,-14.896035,21.331226,-2.64582,9.811863,-1.700856,-2.7580812,9.733459,-10.797646,13.200698,-28.133512,56.34457,8.827216,-0.04222257,3.3270721,4.386576,-16.100077,9.933158,59.71227,-19.989086,-10.018493,-1.6302806
4,1.8238786458969116,0.0173714067786932,77.6822738647461,2.4994888305238696,-2.3188339900978425,72.88154066462508,7.234382,-8.411785,-19.319393,15.536678,-15.098947,-3.146115,-19.310726,-21.399237,-14.412417,17.726805,-2.3728027,9.774445,-1.7265034,-3.047855,9.595137,-11.033616,13.181387,-28.355406,56.114937,8.795239,-0.048192114,3.272004,4.8148413,-16.04282,10.006311,60.35572,-20.49645,-9.880015,-1.3878168
5,2.447861671447754,0.5865421891212463,77.5137710571289,2.805413376715585,-2.226968572085426,73.26079590095125,7.766746,-8.463662,-19.674726,15.547479,-15.665563,-2.8544002,-19.049448,-21.67264,-13.878803,14.103394,-2.0892282,9.684572,-1.722616,-3.3217015,9.453516,-11.199222,13.154773,-28.482674,55.89081,8.709396,-0.05853924,3.179964,5.2436957,-15.969406,10.0787945,60.94682,-21.02103,-9.727256,-1.1545777
6,3.0739243030548096,1.1541876792907715,77.33888244628906,3.1053436926691043,-2.139723206075815,73.61333579943954,8.335095,-8.480412,-20.026546,15.511579,-16.24458,-2.604485,-18.682213,-21.910728,-13.332055,10.371015,-1.7480022,9.564397,-1.6965007,-3.6063673,9.303092,-11.338514,13.109293,-28.546774,55.71669,8.591099,-0.071797654,3.0682263,5.656375,-15.846897,10.152266,61.532795,-21.567144,-9.560274,-0.9421922
7,3.7225584983825684,1.727737307548523,77.1414794921875,3.4543108952291632,-2.079466333276227,73.96845144115527,8.959751,-8.522124,-20.408045,15.439491,-16.81637,-2.4032228,-18.884285,-22.34582,-12.670025,8.032784,-2.0565736,9.553504,-1.7032409,-3.948799,9.174786,-11.428949,13.067179,-28.550638,55.55388,8.4283695,-0.091028504,2.9641304,6.0542464,-15.717008,10.217968,62.07263,-22.061558,-9.39287,-0.73921216
8,4.390591144561768,2.3001372814178467,76.93839263916016,3.7831196408647063,-2.0469804162595895,74.3152332092341,9.639253,-8.50939,-20.81754,15.319946,-17.350801,-2.2634993,-19.504606,-22.860025,-12.132224,6.8834934,-2.805271,9.770499,-1.7415032,-4.2846637,9.076003,-11.480607,13.03259,-28.51947,55.41379,8.210121,-0.11856218,2.9074078,6.4195313,-15.575269,10.255122,62.564285,-22.448551,-9.23376,-0.5530816
9,5.067213535308838,2.8829262256622314,76.73969268798828,4.0450265632937885,-2.0358009024716366,74.64009866135416,10.369425,-8.384744,-21.246014,15.145412,-17.864931,-2.1924834,-20.433573,-23.391285,-11.90667,6.6989584,-3.8773215,10.376651,-1.7985756,-4.565445,9.001811,-11.487473,13.006798,-28.462315,55.286972,7.9262667,-0.15899248,2.92277,6.7517843,-15.418115,10.256128,63.00466,-22.717264,-9.074285,-0.38898784
10,5.746949672698975,3.460602045059204,76.54025268554688,4.261475444578214,-2.0414876741109973,74.9433858418193,11.137822,-8.174088,-21.686684,14.93359,-18.370977,-2.1825264,-21.289345,-23.885431,-12.024625,6.6621966,-4.8682013,11.262437,-1.8690166,-4.808376,8.949007,-11.447822,12.989772,-28.369497,55.168274,7.580703,-0.21008772,2.9851727,7.0587454,-15.248782,10.230899,63.394833,-22.896809,-8.912905,-0.24243107
11,6.441099166870117,4.038121700286865,76.34446716308594,4.419159731449456,-2.0385726406468296,75.20236778317431,11.878216,-7.87967,-22.103752,14.756135,-18.85771,-2.2336307,-22.017485,-24.266396,-12.291297,6.6319695,-5.652975,12.111341,-1.9321626,-5.006723,8.902338,-11.373435,12.978092,-28.227547,55.07697,7.1969104,-0.26369375,3.0614917,7.3192706,-15.059596,10.185779,63.755733,-22.997103,-8.76584,-0.11334058
