Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.5484237670898438,2.1004698276519775,78.26863861083984,0.5226627383672615,-3.480934960657475,-94.62119412448526,10.677245,6.5252957,24.286245,7.197306,-11.2505455,-5.165663,8.309,-6.5387692,-14.460577,8.997257,-12.293755,4.833591,-1.5334746,-1.6904322,10.976003,1.5547684,11.138688,-24.150944,64.556076,11.640955,-2.584242,10.513152,-2.3046124,-11.318463,36.1117,63.222317,-12.856729,-2.6426296,-9.130784
1,0.5649212598800659,2.0921401977539062,78.26724243164062,0.5595622212145961,-3.421328286328952,-94.6318334832943,10.639549,6.455077,24.291136,7.1554813,-11.251381,-5.1314154,8.261732,-6.5990896,-14.433364,8.969144,-12.306958,4.908199,-1.5141546,-1.7278794,10.934349,1.5590079,11.144721,-24.139902,64.54787,11.683036,-2.5575447,10.455647,-2.3141327,-11.327087,36.108715,63.24942,-13.013174,-2.6493092,-9.2214985
2,0.583928108215332,2.083984613418579,78.26695251464844,0.5966441789988254,-3.3619752805543164,-94.64237055686415,10.602663,6.3852005,24.295324,7.111507,-11.250882,-5.099315,8.214315,-6.6591625,-14.406451,8.94136,-12.320695,4.9832463,-1.4984714,-1.7658439,10.895141,1.5636002,11.150358,-24.121563,64.53844,11.736151,-2.5294054,10.390637,-2.3254972,-11.338163,36.107014,63.272984,-13.190932,-2.6541064,-9.320522
3,0.6048637628555298,2.0722928047180176,78.26789855957031,0.6328607245179051,-3.302225034735262,-94.65326317038301,10.565057,6.3138165,24.30143,7.0693135,-11.251558,-5.0627894,8.166095,-6.720523,-14.378307,8.914675,-12.334191,5.057456,-1.4844264,-1.8016456,10.8563385,1.5692925,11.155224,-24.09597,64.52699,11.778806,-2.5060303,10.336942,-2.3359108,-11.353244,36.104557,63.29618,-13.329532,-2.6630416,-9.398943
4,0.6227677464485168,2.0559449195861816,78.27141571044922,0.6702598873000859,-3.241784312181857,-94.66499533268882,10.526361,6.23865,24.311947,7.0306664,-11.254782,-5.015154,8.116818,-6.784796,-14.347548,8.891237,-12.348264,5.1295047,-1.4647142,-1.8346316,10.81194,1.5749965,11.156416,-24.075066,64.51783,11.786158,-2.4906278,10.317977,-2.3441634,-11.361154,36.096104,63.332756,-13.370767,-2.6784773,-9.432373
5,0.6432851552963257,2.0370137691497803,78.2744140625,0.7096295714590726,-3.179867256930476,-94.6817383529091,10.485573,6.1588583,24.333395,6.996115,-11.259569,-4.954478,8.059529,-6.8534913,-14.307037,8.878017,-12.364087,5.196872,-1.4417294,-1.8626256,10.7675295,1.5815424,11.156457,-24.04513,64.505325,11.750545,-2.4878433,10.343605,-2.3536856,-11.36924,36.078495,63.38155,-13.265465,-2.709891,-9.391376
6,0.6715483665466309,2.0198419094085693,78.27833557128906,0.7505697921384299,-3.1165100399647647,-94.70204112213537,10.433136,6.0795465,24.361664,6.9872313,-11.277748,-4.884293,7.996457,-6.92588,-14.25964,8.871687,-12.381169,5.2610116,-1.4176357,-1.886272,10.725494,1.5910944,11.155063,-24.002707,64.48478,11.6891575,-2.4935935,10.400161,-2.3656704,-11.381448,36.050636,63.437004,-13.059508,-2.7528262,-9.294598
7,0.705373227596283,2.007988929748535,78.2780532836914,0.7920652301889229,-3.0535510544067557,-94.71818442134419,10.378463,5.9993825,24.385534,6.985304,-11.300819,-4.806263,7.9373784,-7.0003424,-14.218096,8.865558,-12.3989,5.3267307,-1.4016987,-1.9036515,10.69804,1.599791,11.147967,-23.922787,64.45184,11.641362,-2.508687,10.459199,-2.3681622,-11.418807,36.00805,63.45889,-12.845157,-2.79632,-9.175535
8,0.729633629322052,1.981002688407898,78.28192138671875,0.8301387350562919,-2.9909886847734413,-94.72264926125663,10.323845,5.918024,24.393183,6.9846377,-11.327456,-4.721881,7.8897643,-7.0759406,-14.194647,8.852594,-12.416384,5.3988714,-1.380203,-1.9217995,10.654474,1.6089746,11.140111,-23.858938,64.42961,11.58928,-2.5268579,10.508803,-2.360432,-11.449897,35.962006,63.48894,-12.686845,-2.8314962,-9.090506
9,0.7587724924087524,1.9517444372177124,78.28395080566406,0.8673663586994343,-2.9291813491538647,-94.71282387154396,10.268681,5.8349967,24.378056,6.9856076,-11.356636,-4.626852,7.8547964,-7.152631,-14.194895,8.834745,-12.433579,5.476059,-1.3568609,-1.9481493,10.602129,1.6184068,11.134954,-23.787806,64.41133,11.554577,-2.5546305,10.543171,-2.3416884,-11.469426,35.904037,63.51526,-12.626137,-2.857703,-9.04879
