Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.08087404817342758,-1.9085251092910767,77.729736328125,-0.930711726559225,-1.7160797239948904,91.84860334696211,10.402871,2.9303842,11.728286,7.2697635,-18.989592,-4.419234,10.483921,-1.9304041,-12.973572,7.38136,-15.204402,1.4397199,-0.828091,0.31540424,4.4507065,8.37191,8.436609,-15.144595,61.078056,13.068836,7.08639,16.608356,3.0913734,-6.780547,20.541166,66.03174,-5.773291,4.6851797,-16.717554
1,-0.08824785053730011,-1.9037034511566162,77.72152709960938,-0.9087488103223387,-1.7234144913617764,91.88103251136296,10.412588,2.890577,11.683572,7.2692657,-19.018373,-4.455473,10.525072,-1.9672943,-13.013463,7.355941,-15.266995,1.4737976,-0.84560287,0.2932475,4.486132,8.357716,8.435285,-15.153541,61.08776,13.029701,7.0710144,16.637196,3.0853465,-6.7850738,20.55115,66.0327,-5.7713633,4.696778,-16.733297
2,-0.10002946853637695,-1.900633454322815,77.71338653564453,-0.8845833931600949,-1.732625100846501,91.91496718385113,10.42435,2.84936,11.638612,7.268407,-19.046146,-4.4915905,10.571749,-2.006573,-13.057389,7.3256645,-15.331136,1.5092965,-0.85968643,0.2779773,4.5216784,8.323539,8.425329,-15.189869,61.120983,12.955765,7.0510974,16.680182,3.0943525,-6.810564,20.579641,66.01377,-5.743718,4.7128763,-16.752516
3,-0.11255062371492386,-1.8980731964111328,77.70494842529297,-0.8631616317989975,-1.7412558976370263,91.94806119283176,10.435831,2.809818,11.5913925,7.2671247,-19.074656,-4.5272393,10.615308,-2.0423975,-13.096174,7.298457,-15.390123,1.5425916,-0.87480325,0.25845915,4.558862,8.297706,8.420108,-15.212316,61.143623,12.913679,7.038114,16.710592,3.0905318,-6.821811,20.594635,66.01212,-5.734492,4.723267,-16.768803
4,-0.12513130903244019,-1.8937081098556519,77.69590759277344,-0.8461718681453746,-1.7508721340478415,91.98111216763111,10.447105,2.7750983,11.536214,7.2666,-19.105686,-4.561866,10.65676,-2.069553,-13.125706,7.271589,-15.432386,1.5721916,-0.88946146,0.24745022,4.5998235,8.270203,8.410783,-15.246875,61.16803,12.907587,7.041696,16.726585,3.090359,-6.8391085,20.613731,66.00842,-5.7265606,4.7244515,-16.78023
5,-0.1383218616247177,-1.8910925388336182,77.68716430664062,-0.835206449150069,-1.7668826021781237,92.01967425929277,10.4640255,2.7470675,11.465459,7.2672067,-19.140026,-4.594606,10.702006,-2.0899591,-13.146278,7.25567,-15.475014,1.5897686,-0.9090535,0.24367665,4.6499577,8.23913,8.399188,-15.290606,61.197617,12.968819,7.07223,16.716463,3.093666,-6.8585668,20.637896,66.00698,-5.7253766,4.7115207,-16.786436
6,-0.1504516303539276,-1.8886009454727173,77.68079376220703,-0.8316444292751766,-1.7875443710963563,92.06276213140683,10.485939,2.726061,11.383017,7.266802,-19.176035,-4.62601,10.7510195,-2.1041749,-13.160758,7.2437124,-15.514407,1.5983336,-0.9370626,0.24323055,4.708306,8.21128,8.390267,-15.33189,61.22357,13.082997,7.1213984,16.684145,3.0853996,-6.8723183,20.664639,66.02229,-5.733631,4.686497,-16.788134
7,-0.16216567158699036,-1.8841896057128906,77.67739868164062,-0.8374814390761972,-1.802148409807598,92.09981711092344,10.499292,2.7162914,11.301592,7.2692614,-19.214434,-4.6576877,10.789563,-2.104061,-13.165945,7.2273865,-15.522547,1.610689,-0.96034527,0.25478446,4.7638855,8.181324,8.377865,-15.380231,61.2501,13.192868,7.1713266,16.653389,3.0798998,-6.890568,20.692194,66.0302,-5.739131,4.661042,-16.787548
8,-0.1739700734615326,-1.8788261413574219,77.67334747314453,-0.8534206397213591,-1.8006275812779073,92.12049414860675,10.496442,2.7194679,11.234123,7.269974,-19.252855,-4.6911545,10.801698,-2.0844522,-13.158339,7.2032785,-15.473243,1.6381423,-0.9734882,0.28173855,4.8152456,8.150007,8.357733,-15.417978,61.267017,13.263055,7.202555,16.637516,3.069673,-6.919616,20.704977,66.02229,-5.7507,4.643655,-16.780586
9,-0.19001074135303497,-1.8720263242721558,77.67269897460938,-0.8824665922982882,-1.781723024503207,92.13011329657398,10.472103,2.7386029,11.169702,7.272453,-19.29039,-4.7262163,10.775744,-2.053077,-13.1397505,7.2009025,-15.409804,1.6758145,-0.9892494,0.32064942,4.8586593,8.129341,8.342,-15.435637,61.26203,13.2818775,7.20724,16.638422,3.0386717,-6.94174,20.705671,66.01827,-5.774363,4.6361804,-16.769875
