Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.35165107250213623,-2.1679065227508545,78.2110824584961,-0.13602939560926935,-2.3563345666740982,81.27794657819706,-27.272284,4.537929,-8.158816,46.870663,-7.8211184,-2.5379608,-0.6446652,11.636662,9.298254,19.682901,-14.385144,-8.100973,2.5825672,-3.1078734,13.669881,14.0517025,18.29709,-4.5884724,75.44536,2.8539326,5.5439944,22.183056,4.744013,-15.828722,5.4254365,69.04416,-9.955653,0.34215397,-1.306775
1,-0.4270569086074829,-1.5212006568908691,78.16754150390625,-0.29779192804913956,-2.5715926344072813,80.79819654855196,-27.093485,4.2913637,-9.271653,43.716206,-6.948178,-2.8385606,0.35544845,11.780989,9.86264,19.350788,-14.733077,-8.105766,2.8299637,-2.9082232,13.812641,14.53916,18.273848,-4.449061,75.42856,2.7133064,5.5342703,22.218767,4.4959636,-15.909618,5.52207,69.097,-10.04675,0.35595277,-1.3169363
2,-0.5002208948135376,-0.8556716442108154,78.11444091796875,-0.45941182411622306,-2.7946909560115714,80.31907678084949,-26.89116,4.0432534,-10.442094,40.526108,-6.075233,-3.130122,1.3723763,11.921344,10.430543,19.001863,-15.076358,-8.114506,3.0518672,-2.677586,13.960285,15.041452,18.205374,-4.295805,75.41027,2.5758274,5.521186,22.266512,4.2394977,-16.04543,5.644387,69.14729,-10.131357,0.37338734,-1.3092016
3,-0.5619951486587524,-0.18580316007137299,78.04946899414062,-0.6274710164333971,-3.0113943254722866,79.83819807060716,-26.667383,3.887521,-11.534039,37.333973,-5.194952,-3.3972013,2.3760092,12.063724,11.001478,18.670185,-15.4198065,-8.128395,3.255922,-2.4150875,14.095126,15.532989,18.10894,-4.134715,75.39314,2.4482608,5.5132775,22.303102,3.9867992,-16.210606,5.7792497,69.193054,-10.194197,0.3800021,-1.299739
4,-0.6206082701683044,0.48780500888824463,77.97079467773438,-0.8088968945348071,-3.2073787460443586,79.35347808748033,-26.430677,3.904165,-12.405917,34.177288,-4.2995043,-3.6328323,3.33674,12.214408,11.574783,18.388239,-15.767407,-8.148848,3.4410567,-2.120421,14.199167,15.9978695,18.000874,-3.9593537,75.371994,2.3413887,5.5191073,22.30214,3.7453225,-16.386856,5.9249535,69.23342,-10.21424,0.3608943,-1.3010591
5,-0.6802427172660828,1.1586045026779175,77.8846664428711,-1.008649923896966,-3.3832805106074173,78.86229293355906,-26.175026,4.1061544,-13.032442,31.028181,-3.3220947,-3.8578396,4.254481,12.382396,12.15385,18.16042,-16.118912,-8.181354,3.6113782,-1.7941204,14.268683,16.433842,17.89292,-3.7655318,75.343956,2.2618692,5.5542545,22.221846,3.5195355,-16.563921,6.076468,69.26991,-10.164544,0.29682353,-1.3207254
6,-0.7393212914466858,1.8481470346450806,77.79035949707031,-1.2224825138972122,-3.5461524045904693,78.36558117751386,-25.900715,4.4318194,-13.474269,27.86959,-2.2793784,-4.0835247,5.1400456,12.563679,12.738077,17.977156,-16.473253,-8.223671,3.7740328,-1.4477051,14.313554,16.84942,17.789785,-3.5585253,75.30952,2.2019565,5.6100025,22.08464,3.305001,-16.736637,6.232143,69.30418,-10.065751,0.20107047,-1.3541834
7,-0.7885838150978088,2.533968210220337,77.6893081665039,-1.4419116441941173,-3.6906022004667745,77.8662508908929,-25.619387,4.845124,-13.716723,24.747623,-1.2888914,-4.292892,5.9901457,12.745229,13.322749,17.83038,-16.831593,-8.266239,3.9301317,-1.0930429,14.336616,17.244457,17.693216,-3.3460586,75.269646,2.149068,5.658628,21.96148,3.0959222,-16.899286,6.3953137,69.333984,-9.969008,0.10769735,-1.394503
8,-0.8371303081512451,3.2378640174865723,77.58362579345703,-1.6615344063287245,-3.812376499080336,77.36651730814526,-25.343788,5.3150587,-13.745952,21.716602,-0.46644026,-4.466733,6.80343,12.914979,13.903796,17.70932,-17.191792,-8.299827,4.0811744,-0.74143976,14.34108,17.619915,17.60378,-3.134383,75.22519,2.0917768,5.6720843,21.924093,2.8859556,-17.048126,6.5682654,69.35833,-9.9272785,0.05072084,-1.4357692
9,-0.8850602507591248,3.94286847114563,77.46951293945312,-1.8839970846948577,-3.9038691738773035,76.85745470891437,-25.078203,5.8718724,-13.496821,18.747843,0.15673222,-4.5665517,7.5665627,13.076577,14.485705,17.624996,-17.560995,-8.319108,4.236593,-0.39206275,14.316077,17.981188,17.52067,-2.9234674,75.175995,2.0272644,5.6336613,22.012035,2.673979,-17.180489,6.750208,69.37916,-9.965088,0.04869834,-1.4783196
