Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0973966047167778,-2.184765100479126,78.81472778320312,-0.030254557046708028,-2.2343453492607743,84.14052405192888,3.0797942,4.7664237,7.9031105,9.232,-10.095789,-3.918094,2.0777905,-4.984708,-4.1841426,10.469884,-9.370311,4.1764455,-1.4821986,-2.752279,7.8431687,2.1754062,10.930474,-22.430138,61.148113,2.9679778,5.521892,1.2477481,-5.48438,-12.838437,46.220238,62.881695,-7.082378,-2.3292336,5.418166
1,-0.0968117043375969,-2.1762044429779053,78.81343078613281,-0.03190121070524882,-2.228716953984973,84.13910421822811,3.082671,4.767771,7.9029913,9.226004,-10.096602,-3.925751,2.079214,-4.982969,-4.185153,10.464691,-9.37315,4.1802883,-1.4837006,-2.7511559,7.845267,2.1798615,10.936019,-22.437305,61.15376,2.8900616,5.5036225,1.3077273,-5.4836063,-12.834583,46.221508,62.877823,-7.0732408,-2.3179984,5.420974
2,-0.09424186497926712,-2.1684162616729736,78.81277465820312,-0.032762429453432405,-2.22299616123419,84.13742725246323,3.0863893,4.7690153,7.9030695,9.218121,-10.09615,-3.9333596,2.0825198,-4.980975,-4.1864157,10.455237,-9.373823,4.1843762,-1.4782498,-2.7510226,7.8435984,2.1862106,10.945384,-22.465672,61.1593,2.7889047,5.484356,1.3781923,-5.4802103,-12.827615,46.221058,62.879326,-7.061655,-2.3059585,5.4225917
3,-0.09153717756271362,-2.160963535308838,78.81187438964844,-0.03346658095048192,-2.217328798378036,84.13630827599732,3.08892,4.770345,7.9026213,9.21295,-10.097738,-3.9410782,2.0850027,-4.97915,-4.187753,10.448354,-9.375839,4.1879005,-1.4751362,-2.7500534,7.8445163,2.1888745,10.951119,-22.482315,61.16575,2.7134361,5.467508,1.4334697,-5.4770675,-12.823036,46.218887,62.876293,-7.0510244,-2.2954812,5.423427
4,-0.09058605879545212,-2.1549646854400635,78.81159973144531,-0.03500914662993989,-2.2118871279007735,84.13615301423891,3.093522,4.771666,7.9018993,9.20433,-10.099251,-3.9490116,2.0880153,-4.9769073,-4.1892986,10.442652,-9.378478,4.189851,-1.4611368,-2.7541642,7.845526,2.1913185,10.965206,-22.510256,61.162613,2.6700037,5.459309,1.456769,-5.4698105,-12.810408,46.20404,62.8765,-7.039027,-2.2904668,5.416956
5,-0.088663749396801,-2.1445350646972656,78.81108856201172,-0.037147910767718076,-2.207262402919209,84.13791455263735,3.0978944,4.7737985,7.8998747,9.197539,-10.104324,-3.9583433,2.09234,-4.9740353,-4.191581,10.438499,-9.381771,4.18951,-1.458048,-2.7589865,7.8524237,2.1925342,10.974047,-22.507784,61.15025,2.704527,5.4610667,1.4257617,-5.468203,-12.801124,46.194736,62.87269,-7.0178137,-2.294074,5.4006643
6,-0.08611453324556351,-2.136725664138794,78.81097412109375,-0.038980447546889486,-2.202709416241013,84.14108676847464,3.103084,4.7759914,7.896985,9.189513,-10.110783,-3.968459,2.0968091,-4.9706187,-4.1943994,10.436155,-9.385773,4.1875467,-1.4582906,-2.7611523,7.859531,2.193097,10.975709,-22.500856,61.13402,2.7812505,5.4700007,1.3619885,-5.4649405,-12.798809,46.190243,62.864353,-6.986704,-2.3039103,5.376673
7,-0.08395466953516006,-2.128732681274414,78.81096649169922,-0.04031143286426169,-2.19836592027743,84.14417209762641,3.1090286,4.778066,7.8943133,9.181214,-10.117278,-3.977451,2.102388,-4.96742,-4.1968594,10.433149,-9.389966,4.1852727,-1.4613682,-2.7666018,7.872157,2.1944416,10.979466,-22.47061,61.11105,2.8839457,5.481969,1.2835834,-5.4645004,-12.792439,46.17947,62.854874,-6.9679728,-2.3121307,5.3556714
8,-0.08310778439044952,-2.121708631515503,78.80986022949219,-0.04197463325151349,-2.1925300482965904,84.14652428474562,3.1122272,4.7796097,7.8926077,9.176086,-10.123576,-3.9832006,2.105468,-4.965286,-4.1985173,10.430933,-9.395054,4.184106,-1.4614207,-2.769927,7.8785863,2.1967409,10.980349,-22.457382,61.09737,2.9424171,5.490066,1.235624,-5.4606667,-12.790305,46.175835,62.845757,-6.958728,-2.3095355,5.3472166
9,-0.08010918647050858,-2.113309860229492,78.80924224853516,-0.041978206344147076,-2.184871598949796,84.1472352606437,3.1130586,4.7805305,7.892419,9.173375,-10.128381,-3.9853823,2.106716,-4.964833,-4.1990023,10.427553,-9.400663,4.184979,-1.4602094,-2.7748187,7.8826876,2.2004573,10.981205,-22.44038,61.091915,2.9619932,5.491663,1.2188655,-5.4554896,-12.787703,46.17215,62.836124,-6.979934,-2.2903771,5.3596864
10,-0.07663970440626144,-2.104738235473633,78.8088607788086,-0.04040721360134262,-2.175845698712738,84.14702718439956,3.1126502,4.780604,7.8932915,9.171408,-10.132041,-3.9849823,2.1071765,-4.9653263,-4.198509,10.422795,-9.40632,4.186909,-1.4642152,-2.7835097,7.887543,2.2072768,10.982886,-22.405905,61.08835,2.9688652,5.4898376,1.2156645,-5.453025,-12.781453,46.169746,62.826595,-7.0259347,-2.2599537,5.3869615
11,-0.07488512992858887,-2.094517946243286,78.80775451660156,-0.03922328724574431,-2.166688798651835,84.14690889000451,3.1111186,4.7808156,7.8943253,9.172088,-10.13675,-3.98214,2.1077547,-4.9659133,-4.197946,10.417373,-9.411689,4.1885676,-1.4664896,-2.7900264,7.8899055,2.2150564,10.983898,-22.382124,61.08567,2.9590204,5.489776,1.2236204,-5.4508734,-12.776017,46.17038,62.821228,-7.0665545,-2.229048,5.415605
12,-0.07483316957950592,-2.0835111141204834,78.80734252929688,-0.03849450885720107,-2.158432830646092,84.14709418306037,3.1095848,4.7810073,7.8953943,9.174743,-10.143352,-3.9769483,2.1072946,-4.9662952,-4.196949,10.416868,-9.419395,4.1886196,-1.4691751,-2.795032,7.892448,2.222583,10.984419,-22.362896,61.079563,2.9478552,5.496185,1.2344357,-5.4482913,-12.771372,46.168903,62.816933,-7.086628,-2.206403,5.4352107
13,-0.07478658109903336,-2.0729751586914062,78.8078384399414,-0.03861171117452809,-2.151801256656466,84.14844973332936,3.1081805,4.7819405,7.8963394,9.180192,-10.151853,-3.9665172,2.10862,-4.9654417,-4.1961827,10.4172535,-9.426847,4.1855865,-1.4756374,-2.7984412,7.896632,2.2292287,10.984866,-22.345837,61.06782,2.94653,5.51303,1.2467282,-5.448103,-12.76591,46.164444,62.816303,-7.0742235,-2.1947494,5.440874
14,-0.07426685839891434,-2.0633649826049805,78.80770111083984,-0.0387563053064841,-2.146199742223504,84.15039059939797,3.1064065,4.78284,7.897508,9.188766,-10.162233,-3.9516938,2.110465,-4.9644995,-4.195228,10.419602,-9.4351015,4.180627,-1.4823818,-2.7988937,7.8997655,2.2330732,10.98489,-22.340578,61.058575,2.9414945,5.5330935,1.2629718,-5.44573,-12.764647,46.160423,62.8169,-7.041732,-2.1906705,5.43843
15,-0.07239244133234024,-2.0527045726776123,78.80791473388672,-0.0401523982866399,-2.140380892135991,84.15191958659292,3.1027336,4.7843957,7.8982196,9.201283,-10.175523,-3.9385798,2.1118197,-4.9630375,-4.193984,10.421738,-9.442946,4.1759753,-1.4876237,-2.800646,7.907667,2.2402492,10.984919,-22.323483,61.0371,2.93291,5.5613084,1.2849919,-5.447423,-12.75912,46.1446,62.81765,-7.01279,-2.1882355,5.4381795
16,-0.07203180342912674,-2.0444159507751465,78.80766296386719,-0.04024937173077857,-2.1331259974791577,84.15045066588046,3.1035607,4.784887,7.9004154,9.202129,-10.183856,-3.9330046,2.1119223,-4.9619174,-4.1907907,10.422443,-9.450152,4.1740527,-1.486025,-2.8022716,7.911151,2.2448232,10.984717,-22.309206,61.02739,2.892438,5.579284,1.309473,-5.444264,-12.75546,46.133053,62.8167,-7.001246,-2.1868234,5.4427757
17,-0.07231982052326202,-2.0343079566955566,78.80754089355469,-0.04105391080375968,-2.1243784397770042,84.1458466207001,3.107032,4.7844496,7.90258,9.193866,-10.189215,-3.9399538,2.1116495,-4.961236,-4.186816,10.418083,-9.4550495,4.1763134,-1.4795157,-2.8048596,7.9137454,2.251745,10.983886,-22.280722,61.021023,2.8071008,5.591556,1.3426406,-5.4397917,-12.750824,46.11716,62.81478,-7.0303774,-2.1860578,5.4614444
18,-0.07257596403360367,-2.022552013397217,78.80726623535156,-0.04120404148566679,-2.114897970293988,84.13909338593749,3.1143653,4.7833667,7.9047713,9.17654,-10.19133,-3.9551237,2.1122658,-4.960546,-4.18223,10.40939,-9.457839,4.1812196,-1.4775487,-2.808019,7.919204,2.2624195,10.981194,-22.22581,61.01315,2.6983263,5.600071,1.3801925,-5.4419603,-12.742364,46.10191,62.814697,-7.085911,-2.1871526,5.49028
19,-0.07208599150180817,-2.011793613433838,78.80665588378906,-0.041131958439261006,-2.1045282070839306,84.13060931824225,3.121829,4.78228,7.908721,9.158325,-10.19313,-3.9706287,2.1111372,-4.959902,-4.1753325,10.401602,-9.460525,4.1866784,-1.4733552,-2.810489,7.9210587,2.275256,10.978277,-22.178234,61.006172,2.59083,5.603472,1.4135505,-5.44104,-12.736561,46.093143,62.81403,-7.1359825,-2.188719,5.5146017
20,-0.07133038341999054,-2.001572370529175,78.80557250976562,-0.04241178213697797,-2.0939569349436318,84.12163300124082,3.125259,4.782662,7.9148636,9.149647,-10.198652,-3.9785893,2.1082058,-4.9583035,-4.165658,10.397445,-9.463879,4.1904783,-1.4579148,-2.8112118,7.9205275,2.281761,10.976732,-22.16187,61.002678,2.521854,5.6002717,1.4297161,-5.433878,-12.734349,46.08837,62.81066,-7.149761,-2.1894727,5.5214767
21,-0.0727759525179863,-1.9909842014312744,78.8048324584961,-0.04300869625133456,-2.0837986645402,84.10806264887293,3.1291323,4.7849016,7.928164,9.146385,-10.205773,-3.9752522,2.1038718,-4.954841,-4.1482635,10.39574,-9.465003,4.189864,-1.4627918,-2.8157496,7.931929,2.2963223,10.972194,-22.098907,60.98136,2.5544276,5.587725,1.410159,-5.4415474,-12.728181,46.07893,62.807793,-7.1643906,-2.189574,5.5186753
22,-0.07193244993686676,-1.975895643234253,78.80517578125,-0.04462485691647855,-2.073681943450695,84.09298231467253,3.1299734,4.788779,7.944144,9.152241,-10.21664,-3.9652925,2.0970213,-4.950353,-4.127133,10.399805,-9.467493,4.186784,-1.4525628,-2.8184574,7.938348,2.3069828,10.969361,-22.072914,60.96226,2.616874,5.568303,1.3747834,-5.439201,-12.724509,46.07468,62.80172,-7.144628,-2.1890914,5.4977536
23,-0.07287920266389847,-1.9651248455047607,78.80662536621094,-0.04585769156280836,-2.062207561205322,84.0783111573892,3.1289718,4.792091,7.960521,9.158224,-10.227056,-3.9538276,2.0892558,-4.9462357,-4.1056867,10.402152,-9.469455,4.185865,-1.4430745,-2.821188,7.9444203,2.3142066,10.9674,-22.053543,60.947163,2.6912794,5.545203,1.3344655,-5.4387293,-12.722091,46.069595,62.79832,-7.117311,-2.1887243,5.4729323
24,-0.0734359547495842,-1.9555225372314453,78.80714416503906,-0.046489814738762944,-2.047693164568565,84.06585584862877,3.1257188,4.7934155,7.9743896,9.158341,-10.234743,-3.9459782,2.0814679,-4.9434395,-4.0871987,10.3963375,-9.469899,4.191671,-1.4440911,-2.8237636,7.953093,2.3173108,10.963397,-22.018354,60.93783,2.7563038,5.5219874,1.2996726,-5.4458346,-12.716838,46.060734,62.797752,-7.0970426,-2.1882138,5.453967
25,-0.07806248217821121,-1.9464929103851318,78.80711364746094,-0.04595288872806506,-2.029625829477701,84.05882247581869,3.1193168,4.7911873,7.9827266,9.149769,-10.238098,-3.9434807,2.0747347,-4.9433007,-4.0756783,10.378671,-9.468889,4.209478,-1.4505756,-2.8248422,7.9572253,2.3114483,10.960233,-22.00111,60.946327,2.7811215,5.4961524,1.281332,-5.4564333,-12.711914,46.05405,62.805416,-7.0704875,-2.188154,5.438078
