Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.7994327545166016,-0.5979575514793396,29.874488830566406,5.751434438114524,-0.5364692401475897,6.2800582929874995,-93.58134,13.128803,-3.3128948,148.21037,-50.000305,-2.6535866,-102.66412,-13.2490225,17.680681,150.47151,-50.000305,2.5572188,-11.002511,-11.601908,29.793802,-80.35216,42.78764,-67.067955,47.42652,-1.9503375,-8.104046,9.985786,-87.56178,-20.251566,69.060196,58.215576,-15.007945,-6.5496173,-15.343944
1,-2.7647292613983154,-0.5984726548194885,29.924503326416016,5.832922701907811,-0.39809507412081646,6.324209076350891,-93.58572,13.132456,-3.1735716,148.11983,-50.000305,-2.616169,-102.75406,-13.25398,17.789698,150.43709,-50.000305,2.5884666,-11.345143,-11.957658,29.793802,-80.41556,43.27686,-67.04458,47.253357,-1.937463,-8.088089,9.991695,-87.86654,-19.750254,68.8599,58.41242,-14.727745,-6.552409,-15.267147
2,-2.726496696472168,-0.5989078879356384,29.967594146728516,5.910469392876072,-0.25674091791022524,6.368626146992719,-93.59325,13.134678,-3.0390568,148.02934,-50.000305,-2.5790286,-102.84316,-13.26157,17.891333,150.3998,-50.000305,2.6158762,-11.670875,-12.293822,29.793802,-80.48205,43.761665,-67.02714,47.06104,-1.9268739,-8.072803,9.9969425,-88.15746,-19.29941,68.666275,58.57887,-14.452792,-6.553378,-15.188828
3,-2.6891467571258545,-0.6000548005104065,30.009105682373047,5.985294144631679,-0.11549183562203033,6.411142442417721,-93.60525,13.13745,-2.9106112,147.94302,-50.000305,-2.5453515,-102.933655,-13.267352,17.990217,150.36542,-50.000305,2.6454277,-11.977359,-12.609758,29.793802,-80.54259,44.236355,-66.991806,46.853817,-1.9167482,-8.05446,10.0011215,-88.436195,-18.890364,68.46069,58.71976,-14.164162,-6.5526175,-15.105601
4,-2.6510815620422363,-0.6000505089759827,30.046689987182617,6.058506465251498,0.022928909958334392,6.4499485690207345,-93.62056,13.141666,-2.7885282,147.86838,-50.000305,-2.5194657,-103.025246,-13.266675,18.091072,150.33899,-50.000305,2.6839275,-12.26226,-12.903767,29.793802,-80.59222,44.69586,-66.92077,46.63619,-1.9114484,-8.029484,10.0035515,-88.700645,-18.515722,68.220695,58.838913,-13.846348,-6.550048,-15.013693
5,-2.6110806465148926,-0.59903484582901,30.076356887817383,6.130838722017293,0.15601451656065898,6.484255283010489,-93.63948,13.148647,-2.6718671,147.80853,-50.000305,-2.502335,-103.119995,-13.257006,18.19781,150.32332,-50.000305,2.7366185,-12.526225,-13.177686,29.793802,-80.62186,45.136276,-66.79353,46.411003,-1.9052566,-7.996446,10.00253,-88.95601,-18.169844,67.93942,58.94251,-13.487733,-6.548656,-14.895076
6,-2.570457935333252,-0.5983107089996338,30.102699279785156,6.201928485971063,0.2873197357476301,6.515894825251368,-93.66177,13.156915,-2.5606506,147.75896,-50.000305,-2.4916062,-103.21563,-13.242748,18.307173,150.31346,-50.000305,2.799048,-12.771657,-13.431655,29.793802,-80.637856,45.555634,-66.62538,46.18235,-1.8988465,-7.9578147,9.999116,-89.20133,-17.848986,67.62814,59.03574,-13.100803,-6.5474305,-14.758163
7,-2.5260214805603027,-0.5971890687942505,30.127058029174805,6.2705044518225534,0.4153232866628891,6.544541093640379,-93.687584,13.166152,-2.455887,147.7159,-50.000305,-2.4858012,-103.313126,-13.224944,18.414515,150.30916,-50.000305,2.8621266,-12.9979105,-13.666992,29.793802,-80.65394,45.95304,-66.446495,45.956223,-1.8974165,-7.9150395,9.997268,-89.433716,-17.549765,67.29748,59.116405,-12.699924,-6.5408587,-14.638616
8,-2.481201171875,-0.5960676670074463,30.148462295532227,6.335926479654997,0.5424317903032972,6.5706156918995955,-93.71518,13.175179,-2.3581212,147.67656,-50.000305,-2.4836748,-103.410484,-13.206292,18.5154,150.30795,-50.000305,2.9173143,-13.206037,-13.887072,29.793802,-80.67515,46.32807,-66.275536,45.738884,-1.894687,-7.8712344,10.001086,-89.64754,-17.268614,66.95364,59.18088,-12.301494,-6.523992,-14.572326
9,-2.4389474391937256,-0.5916256904602051,30.17169761657715,6.398866270561663,0.6683982164683714,6.593768670137088,-93.74353,13.184681,-2.2670143,147.6386,-50.000305,-2.4863524,-103.50906,-13.186679,18.609581,150.30771,-50.000305,2.9608254,-13.39433,-14.092268,29.793802,-80.711945,46.680523,-66.12907,45.53301,-1.8964947,-7.8239217,10.013428,-89.84213,-17.002464,66.59168,59.231453,-11.903146,-6.492361,-14.577583
10,-2.396993637084961,-0.5899887681007385,30.190393447875977,6.459427248191778,0.7919288332631187,6.614577586201969,-93.77338,13.194454,-2.1815174,147.60616,-50.000305,-2.4939625,-103.60749,-13.164744,18.699615,150.3104,-50.000305,2.998412,-13.56523,-14.283775,29.793802,-80.759026,47.01027,-65.99391,45.33898,-1.9023802,-7.772924,10.031779,-90.02058,-16.749052,66.20887,59.2716,-11.499596,-6.4508247,-14.632848
11,-2.355795383453369,-0.5901838541030884,30.20718765258789,6.517187068115027,0.9136420098546747,6.632916168502246,-93.80627,13.204043,-2.1028063,147.57706,-50.000305,-2.503237,-103.70718,-13.140523,18.78555,150.31697,-50.000305,3.0334811,-13.7225895,-14.463671,29.793802,-80.805435,47.31825,-65.85434,45.156067,-1.9077945,-7.7228355,10.052,-90.186134,-16.506838,65.819664,59.300476,-11.099301,-6.4083767,-14.713753
12,-2.3125112056732178,-0.5900628566741943,30.221132278442383,6.571511095063296,1.0353965421925917,6.649995653563995,-93.84506,13.21261,-2.0310504,147.55336,-50.000305,-2.5101833,-103.80934,-13.118264,18.867588,150.3245,-50.000305,3.0688045,-13.871364,-14.633007,29.793802,-80.83799,47.605865,-65.69199,44.982018,-1.9064933,-7.6782684,10.069942,-90.34103,-16.27485,65.437904,59.317295,-10.711119,-6.373594,-14.796007
13,-2.271432399749756,-0.5871416330337524,30.23524284362793,6.621670812391988,1.1556691145032925,6.666059205752491,-93.89106,13.218807,-1.967068,147.53714,-50.000305,-2.5140738,-103.91479,-13.097444,18.94625,150.33536,-50.000305,3.1060023,-14.014024,-14.792423,29.793802,-80.847916,47.874065,-65.48942,44.813526,-1.892472,-7.6385946,10.08291,-90.4889,-16.05215,65.06521,59.3221,-10.333678,-6.351987,-14.881709
14,-2.228675127029419,-0.5873886942863464,30.242887496948242,6.6685895067865975,1.2749481927366089,6.680454184024929,-93.942764,13.22351,-1.9098425,147.5273,-50.000305,-2.5168166,-104.023346,-13.077007,19.021986,150.34967,-50.000305,3.1432822,-14.148656,-14.941578,29.793802,-80.84143,48.123722,-65.25757,44.650845,-1.8693967,-7.602019,10.093517,-90.6277,-15.837756,64.69496,59.31593,-9.963214,-6.3379364,-14.98087
15,-2.1876108646392822,-0.583411693572998,30.248212814331055,6.713325986496921,1.3925987263384847,6.693253741391229,-93.99717,13.229445,-1.8576398,147.51941,-50.000305,-2.518529,-104.13204,-13.055231,19.093298,150.36539,-50.000305,3.1791124,-14.275096,-15.083022,29.793802,-80.83039,48.356747,-65.024254,44.498547,-1.8457342,-7.5708075,10.105414,-90.75533,-15.630761,64.33246,59.29757,-9.604982,-6.3235836,-15.08111
16,-2.147367477416992,-0.5812982320785522,30.25152587890625,6.757699882368772,1.5106774452974514,6.704301943633942,-94.05317,13.238496,-1.8075687,147.51054,-50.000305,-2.5190582,-104.24137,-13.03136,19.160782,150.38005,-50.000305,3.2127478,-14.393474,-15.220758,29.793802,-80.82483,48.57585,-64.81415,44.360607,-1.8273146,-7.547297,10.122333,-90.869835,-15.430086,63.981773,59.26509,-9.2635975,-6.3007383,-15.170003
17,-2.1108694076538086,-0.5791919827461243,30.256515502929688,6.80321534737739,1.627224836865223,6.713673405203863,-94.109535,13.254039,-1.7569213,147.50156,-50.000305,-2.5143623,-104.35163,-13.00325,19.225113,150.39337,-50.000305,3.2428608,-14.505323,-15.35756,29.793802,-80.826225,48.78327,-64.62958,44.240116,-1.8171489,-7.535609,10.147146,-90.96949,-15.233944,63.629173,59.21725,-8.92427,-6.278743,-15.233946
18,-2.0723140239715576,-0.5821565985679626,30.264801025390625,6.849047025841903,1.7417643185551934,6.721407427109004,-94.16709,13.273669,-1.7076937,147.49258,-50.000305,-2.5058951,-104.46218,-12.971587,19.286743,150.4075,-50.000305,3.2710154,-14.612169,-15.494179,29.793802,-80.83116,48.980907,-64.46178,44.13458,-1.8132805,-7.533269,10.177325,-91.05705,-15.040612,63.276585,59.154884,-8.590106,-6.257929,-15.282961
19,-2.0353457927703857,-0.5842437744140625,30.270061492919922,6.892597277304881,1.8558889717410672,6.727840188786419,-94.22559,13.292958,-1.6624655,147.48383,-50.000305,-2.5014093,-104.571846,-12.940723,19.343288,150.42125,-50.000305,3.2975225,-14.713804,-15.628874,29.793802,-80.84002,49.170975,-64.31525,44.036636,-1.8112389,-7.532485,10.208383,-91.135925,-14.849826,62.95036,59.080334,-8.292612,-6.2166357,-15.340467
20,-1.9983330965042114,-0.5830051302909851,30.27338409423828,6.930862260311783,1.9701250812810496,6.734294520016054,-94.28551,13.30659,-1.6238847,147.47641,-50.000305,-2.5084693,-104.677765,-12.915758,19.392239,150.43318,-50.000305,3.3231099,-14.810367,-15.758849,29.793802,-80.854065,49.35555,-64.19613,43.938324,-1.8079433,-7.5254292,10.235911,-91.20965,-14.662599,62.67868,58.995968,-8.062407,-6.1331306,-15.429854
21,-1.96309232711792,-0.5832322835922241,30.275005340576172,6.962057302562117,2.084402696048794,6.739871868911108,-94.34869,13.312152,-1.5952314,147.46973,-50.000305,-2.5327084,-104.778725,-12.899493,19.430134,150.44536,-50.000305,3.3475041,-14.900089,-15.881688,29.793802,-80.87582,49.53599,-64.112755,43.835686,-1.80218,-7.506671,10.26129,-91.27769,-14.479852,62.467197,58.898815,-7.901713,-6.007684,-15.55483
22,-1.9250452518463135,-0.5844707489013672,30.2785701751709,6.988012977326318,2.1958449852890936,6.743862514044411,-94.4122,13.312835,-1.5739568,147.46362,-50.000305,-2.569878,-104.87649,-12.886681,19.46005,150.45572,-50.000305,3.3705091,-14.983668,-15.999799,29.793802,-80.902275,49.713165,-64.05891,43.73179,-1.7955112,-7.481377,10.286089,-91.33734,-14.301564,62.301323,58.788044,-7.795306,-5.8496404,-15.703504
23,-1.8858758211135864,-0.5835076570510864,30.284320831298828,7.011611231678587,2.3095624587250096,6.748734684983417,-94.47759,13.312324,-1.555363,147.45746,-50.000305,-2.6087537,-104.972534,-12.877195,19.486166,150.46579,-50.000305,3.393002,-15.06449,-16.116695,29.793802,-80.93059,49.888092,-64.020996,43.6293,-1.7913436,-7.4577284,10.305464,-91.39339,-14.127579,62.18094,58.667046,-7.7491727,-5.6510544,-15.877141
24,-1.8490394353866577,-0.5837933421134949,30.292922973632812,7.035291241879621,2.4243639059835984,6.756324829515108,-94.542564,13.313993,-1.5358381,147.44922,-50.000305,-2.6409256,-105.06704,-12.869623,19.513674,150.47237,-50.000305,3.41614,-15.146046,-16.235542,29.793802,-80.95845,50.06204,-63.987457,43.53126,-1.7956022,-7.44395,10.314546,-91.44895,-13.957672,62.106026,58.54006,-7.7686386,-5.4038477,-16.076427
25,-1.8107175827026367,-0.5849171280860901,30.300792694091797,7.0599418200557675,2.5419178683068266,6.768114353952689,-94.60854,13.318791,-1.5141723,147.43854,-50.000305,-2.6630728,-105.16022,-12.864337,19.544622,150.47781,-50.000305,3.4413722,-15.23044,-16.359802,29.793802,-80.98632,50.23668,-63.959938,43.437897,-1.8066895,-7.439656,10.31296,-91.50788,-13.790676,62.085896,58.400635,-7.8844533,-5.0726566,-16.319498
26,-1.7742196321487427,-0.5880426168441772,30.311960220336914,7.084372028544328,2.6616784939733025,6.7827077857284195,-94.674805,13.325011,-1.4914771,147.42851,-50.000305,-2.6806304,-105.25323,-12.861461,19.577057,150.47961,-50.000305,3.4674144,-15.316478,-16.487131,29.793802,-81.01587,50.413364,-63.94487,43.346775,-1.8250318,-7.441273,10.302852,-91.56702,-13.625804,62.117363,58.249714,-8.08239,-4.6718545,-16.59889
27,-1.7327593564987183,-0.5884033441543579,30.32313346862793,7.108250595702756,2.781127756482955,6.797947443188037,-94.73901,13.331918,-1.469362,147.41495,-50.000305,-2.6958308,-105.34302,-12.859951,19.607576,150.47928,-50.000305,3.4927518,-15.402421,-16.6146,29.793802,-81.03903,50.59235,-63.92576,43.254826,-1.8476655,-7.4521074,10.283181,-91.62329,-13.463688,62.18314,58.100067,-8.301346,-4.2686872,-16.877243
28,-1.6922987699508667,-0.5883538126945496,30.335182189941406,7.131023754973388,2.9017235594813022,6.812082764918441,-94.79973,13.338672,-1.4480853,147.39868,-50.000305,-2.7109108,-105.42945,-12.858954,19.632935,150.47592,-50.000305,3.5149584,-15.485556,-16.737362,29.793802,-81.04809,50.773125,-63.886185,43.158585,-1.8723061,-7.4754744,10.25288,-91.67479,-13.306419,62.267975,57.964485,-8.48004,-3.931108,-17.118374
29,-1.656951904296875,-0.5930538177490234,30.35302734375,7.151049902296407,3.024366323370928,6.824703463912577,-94.8605,13.345383,-1.4314212,147.3778,-50.000305,-2.7254794,-105.51445,-12.860508,19.649618,150.4674,-50.000305,3.5318377,-15.562573,-16.849915,29.793802,-81.043594,50.95483,-63.822884,43.054096,-1.901319,-7.512598,10.204853,-91.719894,-13.156885,62.37686,57.846924,-8.593946,-3.68308,-17.317804
30,-1.6201422214508057,-0.5961040258407593,30.369735717773438,7.168881600395989,3.149376559458292,6.836536126905316,-94.92053,13.352145,-1.4185598,147.35382,-50.000305,-2.7395084,-105.59729,-12.863473,19.659435,150.45526,-50.000305,3.5449355,-15.634078,-16.95462,29.793802,-81.02607,51.136765,-63.740776,42.942635,-1.9330399,-7.561547,10.14193,-91.75861,-13.016348,62.516056,57.73852,-8.678665,-3.4867253,-17.49352
