Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.9256532192230225,0.5010744333267212,76.94641876220703,-0.9099771390541611,1.4558234932096534,-167.9532285617379,-2.211252,17.878489,27.815691,22.692661,-14.276055,-10.57859,-9.414237,-23.862362,-22.093147,21.841974,-13.966337,-0.5869886,-0.8905145,1.1871619,8.731344,0.7398122,23.612438,-27.882587,64.672295,-11.447834,3.3287654,-4.786375,-16.698042,-23.61336,35.013844,50.69889,11.567522,12.086525,-3.1015882
1,1.9255223274230957,1.065827488899231,76.91162872314453,-1.3741751152869635,1.7265793617448817,-168.1323723674345,-2.8745255,19.090664,27.582283,23.20318,-14.106743,-10.994955,-8.330814,-22.74439,-23.795755,19.464909,-12.647863,0.9922352,-0.7234286,1.7499964,8.724034,0.6159816,23.732317,-27.51396,64.33701,-11.6781645,3.2155352,-4.6758447,-17.31935,-23.717808,35.275738,50.821636,11.636028,12.086711,-3.0739582
2,1.9231988191604614,1.6491498947143555,76.88552856445312,-1.872260409924712,1.9907654614253318,-168.30278724440186,-3.5625596,20.342104,27.304012,23.743671,-13.947539,-11.432135,-7.06503,-21.456423,-25.573246,16.656622,-11.102807,2.6287174,-0.58675134,2.3476894,8.728997,0.54274726,23.87712,-27.104301,63.947395,-11.902531,3.104608,-4.57116,-17.94814,-23.849026,35.562885,50.90895,11.713107,12.089836,-3.0305295
3,1.9210832118988037,2.2522783279418945,76.8600845336914,-2.2398295890732793,2.2388143289290525,-168.46387971517203,-4.1700406,21.408981,27.051176,24.138056,-13.728291,-11.822067,-6.0991507,-20.340174,-27.084242,14.355385,-9.774856,4.175009,-0.45741677,2.8060243,8.759579,0.47234106,24.044119,-26.690943,63.531693,-12.122678,2.9942079,-4.4787264,-18.56051,-23.990309,35.84265,50.97745,11.809459,12.094159,-3.0129006
4,1.8994582891464233,2.872565746307373,76.8530044555664,-2.5014279053291437,2.474883131176565,-168.63268768198265,-4.642396,22.298483,26.853413,24.274153,-13.396653,-12.120821,-5.497974,-19.366926,-28.218815,12.635921,-8.674033,5.438884,-0.3186879,3.15,8.823872,0.37662324,24.222914,-26.28304,63.100773,-12.336567,2.8821507,-4.4032464,-19.169155,-24.1239,36.11623,51.07239,11.944444,12.092914,-3.0638695
5,1.8811559677124023,3.5004358291625977,76.85314178466797,-2.7288768455992685,2.693008232752479,-168.81075103661493,-4.9741707,23.101252,26.700548,24.145391,-12.923951,-12.367763,-5.1191616,-18.401115,-29.034515,11.208267,-7.6384416,6.3676577,-0.17802171,3.4512494,8.938247,0.2657684,24.42465,-25.870134,62.627026,-12.549441,2.7695217,-4.3590584,-19.78051,-24.251438,36.394726,51.194447,12.125577,12.082726,-3.21034
6,1.8757177591323853,4.144535064697266,76.85271453857422,-2.9226175565547816,2.8986623205899757,-168.9963444255615,-5.210742,23.837013,26.579136,23.843168,-12.360235,-12.575397,-4.9126954,-17.463514,-29.61702,10.027884,-6.670919,7.0537863,-0.030779708,3.711291,9.083025,0.13561049,24.637081,-25.461618,62.135887,-12.761893,2.6567404,-4.334986,-20.397861,-24.36338,36.671005,51.35084,12.336168,12.064449,-3.4258351
7,1.8670862913131714,4.782466411590576,76.86280822753906,-3.1031760889920337,3.108587009666515,-169.19819041828754,-5.4026585,24.532341,26.467823,23.445154,-11.78426,-12.675575,-4.855408,-16.532299,-30.003984,9.05941,-5.7977138,7.501669,0.12147902,3.9552543,9.241133,0.0023094201,24.850082,-25.04119,61.634758,-12.960863,2.541979,-4.3068147,-21.025812,-24.45884,36.94945,51.543095,12.572326,12.039001,-3.671069
8,1.8549054861068726,5.4193854331970215,76.88436889648438,-3.274746106895161,3.339534936830166,-169.42481778670592,-5.607333,25.200922,26.347162,23.044832,-11.283586,-12.600942,-4.930814,-15.603536,-30.225637,8.264597,-5.0426,7.717993,0.27962995,4.193228,9.393351,-0.12046185,25.0493,-24.594458,61.12782,-13.131238,2.429281,-4.2483044,-21.663397,-24.537645,37.231915,51.770573,12.829723,12.00769,-3.906661
9,1.8560389280319214,6.057779312133789,76.91809844970703,-3.4611146338167043,3.611751119443537,-169.69620683864474,-5.880605,25.89297,26.22437,22.717459,-10.832484,-12.264353,-5.198657,-14.638304,-30.210707,7.6746187,-4.431852,7.586786,0.4619644,4.4604135,9.524325,-0.25577438,25.2097,-24.130945,60.646645,-13.276555,2.3043516,-4.140651,-22.316343,-24.595985,37.513462,52.06225,13.1423025,11.953609,-4.1508956
10,1.853845477104187,6.705404281616211,76.95956420898438,-3.6677409353253667,3.9110250491024265,-170.00114473115156,-6.19971,26.611868,26.095007,22.433352,-10.418074,-11.728297,-5.6298366,-13.636526,-29.992117,7.262461,-3.9266803,7.143629,0.6508118,4.758491,9.651005,-0.39027467,25.343967,-23.63818,60.167892,-13.398301,2.1695514,-4.0022817,-22.987633,-24.638363,37.809734,52.404625,13.504935,11.881829,-4.4153514
11,1.8609721660614014,7.350496292114258,77.00199890136719,-3.8633140068338045,4.202173052908042,-170.3021552415643,-6.493828,27.284859,25.92907,22.107233,-10.137858,-11.148139,-6.0843267,-12.6584835,-29.742819,6.9110794,-3.4600942,6.62402,0.8243733,5.0439615,9.780536,-0.53058684,25.45157,-23.127142,59.70772,-13.482923,2.0484717,-3.8536565,-23.65868,-24.667063,38.12489,52.76636,13.840546,11.825421,-4.650183
12,1.878521203994751,8.002901077270508,77.04370880126953,-4.012435563878595,4.45019394776292,-170.56145115559735,-6.6820006,27.829723,25.699501,21.635754,-10.079641,-10.678987,-6.5273247,-11.8247795,-29.60408,6.754487,-3.105836,6.2633605,0.9901141,5.2730675,9.911557,-0.73098063,25.51739,-22.662346,59.330853,-13.531073,1.958505,-3.7078307,-24.293623,-24.687185,38.4285,53.12086,14.060905,11.818673,-4.8054237
13,1.8814815282821655,8.652103424072266,77.0717544555664,-4.098792116771426,4.6410222614636165,-170.77688547970982,-6.708429,28.195972,25.391203,20.931856,-10.308151,-10.378382,-6.9001575,-11.144153,-29.62731,6.7089767,-2.7979226,6.167765,1.0474449,5.430628,10.0986805,-0.82366127,25.589264,-22.058643,58.86797,-13.479453,1.9257461,-3.5852804,-24.954191,-24.70529,38.822784,53.43849,14.156671,11.893747,-4.8636804
14,1.8580876588821411,9.285661697387695,77.1096420288086,-4.143523969833138,4.795263878440047,-170.96645855545017,-6.6171627,28.431602,25.02664,20.04951,-10.75356,-10.158531,-7.2037926,-10.534224,-29.734602,6.658242,-2.4849422,6.1968107,1.1037458,5.538081,10.300563,-0.9537243,25.637285,-21.474722,58.449955,-13.378264,1.9287403,-3.460313,-25.577837,-24.716131,39.193363,53.743202,14.140826,12.024495,-4.8493805
