Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-3.167431116104126,0.36294957995414734,74.35098266601562,3.957399161768872,-11.61045052693055,-14.569328345843276,4.2556863,12.757692,26.486275,36.25986,-23.815023,-6.325347,0.54153776,-25.353397,-11.854232,45.339462,-29.68568,0.77927244,2.7101946,-4.4560575,11.616888,-15.557718,27.620808,-7.617079,48.543785,-13.343704,4.211956,2.9328663,-24.493828,-16.720274,14.639999,53.81708,4.309171,3.8145444,-9.550029
1,-3.425144672393799,0.023307742550969124,74.2719497680664,3.828769150909637,-11.485189309558319,-14.800308555580788,3.7402623,13.513028,26.470684,36.932564,-23.800602,-6.658069,0.9391718,-24.786688,-11.918319,43.94266,-29.5493,2.8173168,2.7672315,-4.1911345,11.619787,-15.46252,27.652082,-7.5636888,48.257824,-13.389003,4.2330513,2.9390416,-24.541538,-16.70058,14.643486,53.89788,4.249603,3.7609725,-9.588171
2,-3.6968045234680176,-0.32305723428726196,74.1798095703125,3.7019607487274273,-11.359380030789522,-15.028716039838265,3.2210727,14.262291,26.446592,37.60499,-23.785172,-6.9917426,1.4127294,-24.218845,-12.002862,42.391644,-29.39689,4.9815583,2.8175647,-3.9270513,11.623528,-15.353057,27.683882,-7.4911494,47.948,-13.426759,4.259349,2.9380434,-24.59248,-16.681719,14.647698,53.97254,4.181975,3.7153878,-9.626039
3,-3.9704620838165283,-0.6779320240020752,74.08585357666016,3.575149380824767,-11.234060245469154,-15.263121923325906,2.710896,15.0098505,26.420723,38.253445,-23.757698,-7.3175664,1.7455747,-23.661695,-12.059981,41.09878,-29.273615,6.8770885,2.8640168,-3.6612155,11.62798,-15.234359,27.716032,-7.4219084,47.64831,-13.473412,4.278107,2.945867,-24.651726,-16.664936,14.669999,54.06133,4.1370144,3.6545398,-9.663828
4,-4.245662212371826,-1.0319744348526,74.01284790039062,3.4438475938893154,-11.109183133086237,-15.511312367659865,2.222283,15.762846,26.398737,38.856464,-23.707651,-7.627226,1.7157537,-23.122055,-12.039937,40.49195,-29.235367,8.109881,2.929004,-3.3818789,11.63272,-15.150472,27.730001,-7.4073706,47.426643,-13.543385,4.273417,2.9842348,-24.704866,-16.66077,14.704058,54.17299,4.13906,3.5556095,-9.699995
5,-4.524106502532959,-1.3838791847229004,73.93892669677734,3.2979711975655017,-10.98754872060343,-15.786416622090233,1.7553729,16.541382,26.386944,39.42361,-23.641222,-7.9150105,1.1390768,-22.596144,-11.897062,40.911873,-29.329453,8.391115,2.9528418,-3.075294,11.65709,-14.981128,27.776093,-7.3712807,47.187645,-13.670457,4.241185,3.044253,-24.831326,-16.659216,14.8647995,54.362038,4.251573,3.3901272,-9.747327
6,-4.805023670196533,-1.7484534978866577,73.85115814208984,3.139958401552908,-10.867688262091297,-16.08018015301197,1.3044028,17.339376,26.379543,39.96349,-23.561874,-8.187266,0.17212126,-22.071688,-11.674603,42.061974,-29.50798,8.005625,2.9976628,-2.745258,11.691374,-14.842449,27.813208,-7.387675,47.01551,-13.828522,4.1831827,3.1313696,-24.961485,-16.66905,15.04592,54.580368,4.4163218,3.1781619,-9.796236
7,-5.0969438552856445,-2.1143367290496826,73.77680969238281,2.985734479216311,-10.747714710227388,-16.368367927103915,0.87238985,18.12372,26.364378,40.452026,-23.454548,-8.454124,-0.8944827,-21.54864,-11.454725,43.412716,-29.68815,7.4171634,3.027167,-2.4265382,11.717118,-14.687403,27.847824,-7.4024477,46.853546,-13.985843,4.123951,3.2284057,-25.076708,-16.6868,15.231797,54.785137,4.5985513,2.967458,-9.832722
8,-5.390727519989014,-2.4812986850738525,73.71137237548828,2.851879739408832,-10.624996892444138,-16.6265683434405,0.4622658,18.859657,26.330154,40.865505,-23.304243,-8.725648,-1.7744325,-21.040123,-11.308392,44.44945,-29.809362,7.0782733,3.0373628,-2.1574938,11.7137375,-14.522146,27.865257,-7.3954253,46.691334,-14.094753,4.0845103,3.3249083,-25.130344,-16.700195,15.346782,54.92297,4.7294884,2.8053603,-9.839205
9,-5.676583766937256,-2.8647449016571045,73.65557098388672,2.758060325620608,-10.487001983302024,-16.881272723679317,0.08820684,19.528463,26.311281,41.182236,-23.103941,-9.001165,-2.4362838,-20.562767,-11.206857,45.062244,-29.839376,7.114289,3.0490854,-1.9612606,11.660191,-14.342173,27.862648,-7.3611984,46.535336,-14.158391,4.060791,3.4308245,-25.116259,-16.704252,15.386389,54.995026,4.801055,2.7021835,-9.80196
