Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.7874993085861206,-2.2951908111572266,76.38411712646484,8.12410764664217,-6.806102900185766,109.03876627168266,-4.520061,-6.3642,6.943361,14.024408,-3.9781487,-1.5102037,-5.081005,-13.734166,3.7872782,76.905045,-1.8346852,5.689992,2.0825768,-7.86954,12.248953,-2.0360866,16.594381,-34.17883,69.76402,-2.5253403,5.0383434,-6.1822953,-0.07773119,-17.843458,45.09826,66.19255,8.121677,6.6003265,6.8715744
1,1.4200413227081299,-1.8322782516479492,76.40612030029297,8.295411754867672,-7.174566655473695,108.61182783436111,-3.282643,-6.6155605,7.2912445,13.563909,-4.3694124,-1.3669713,-5.9706244,-14.83168,3.3500984,78.71277,-1.4900851,5.2428627,2.0848343,-7.950048,12.503007,-2.2803397,16.71252,-34.290367,69.683365,-3.0392392,4.777706,-5.9084806,-0.2853924,-17.893654,45.007343,66.16243,8.270193,6.32917,6.706605
2,1.0599641799926758,-1.3620907068252563,76.43535614013672,8.481593372883315,-7.5482574558238325,108.17808521389279,-2.0243297,-6.89006,7.6389403,13.076372,-4.7506742,-1.2208669,-6.8617077,-15.987983,2.94754,80.57085,-1.0697253,4.785511,2.0937135,-8.056096,12.776748,-2.4704485,16.902092,-34.401085,69.49708,-3.5851965,4.5118737,-5.645262,-0.49846867,-17.943539,44.932392,66.11292,8.425661,6.044675,6.560464
3,0.7083758115768433,-0.8851274847984314,76.46900177001953,8.649935942670602,-7.910739571491391,107.76144348632289,-0.76704437,-7.1589236,7.955078,12.554279,-5.104894,-1.077356,-7.746363,-17.153284,2.5265172,82.338844,-0.8449737,4.2106647,2.0811396,-8.156713,13.046809,-2.6365256,17.14053,-34.510715,69.28232,-4.081256,4.264213,-5.396964,-0.7018949,-17.98731,44.815742,66.05762,8.5575695,5.784042,6.381534
4,0.37139344215393066,-0.41436082124710083,76.50371551513672,8.767918474962968,-8.246611127860135,107.38538899705145,0.46444088,-7.388508,8.210465,11.997941,-5.419312,-0.9430018,-8.611888,-18.26108,2.0326586,83.87712,-1.0908791,3.4309995,2.029505,-8.221353,13.291416,-2.813939,17.410143,-34.6336,69.11567,-4.4525886,4.059403,-5.167577,-0.8731072,-18.012962,44.584167,66.007324,8.629083,5.584218,6.117137
5,0.04810711368918419,0.05658147111535072,76.54855346679688,8.821983443521164,-8.558673264487622,107.05672753811913,1.6743641,-7.563192,8.392358,11.402268,-5.688536,-0.82065666,-9.443686,-19.306267,1.422933,85.17576,-2.069478,2.350467,1.9366044,-8.235886,13.507189,-3.027513,17.700354,-34.800613,69.033615,-4.693342,3.8984625,-4.9419394,-1.0060849,-18.008028,44.18924,65.98936,8.58194,5.45437,5.72382
6,-0.2745031416416168,0.5364334583282471,76.59565734863281,8.827381992907963,-8.8537781499136,106.76180102779148,2.8633683,-7.691124,8.522482,10.791434,-5.932279,-0.7081881,-10.240577,-20.272953,0.74420565,86.298836,-3.580381,1.0904621,1.8183346,-8.212656,13.700675,-3.2737162,18.003204,-35.00602,69.020096,-4.842787,3.7698057,-4.7186103,-1.1156951,-17.96849,43.67308,66.00839,8.4491005,5.375134,5.2379065
7,-0.5917104482650757,1.0113869905471802,76.64408874511719,8.792260034238637,-9.122408654184131,106.49373853804941,4.00866,-7.7748575,8.62236,10.192548,-6.1690626,-0.61108696,-11.011087,-21.087212,0.064803265,87.21451,-5.1961823,-0.116417445,1.6815484,-8.162075,13.865324,-3.5367334,18.308216,-35.196606,69.065544,-4.886374,3.6804075,-4.522217,-1.2163645,-17.897621,43.10553,66.04428,8.334961,5.3392487,4.727236
8,-0.8951104283332825,1.4925307035446167,76.69096374511719,8.72969711520571,-9.35502626967201,106.24601976056428,5.0793304,-7.823759,8.715176,9.64959,-6.419889,-0.5306554,-11.774164,-21.710487,-0.5628496,87.897125,-6.4773674,-1.0709003,1.5297592,-8.098308,13.994358,-3.801248,18.604649,-35.322006,69.16283,-4.8144283,3.636888,-4.377401,-1.3238012,-17.805016,42.562458,66.07456,8.347952,5.337556,4.259691
9,-1.1925246715545654,1.9652807712554932,76.73539733886719,8.63715616258489,-9.54526690254104,106.01921111687962,6.0759163,-7.8381147,8.805816,9.145971,-6.678837,-0.46947563,-12.5397625,-22.164227,-1.1691968,88.32987,-7.315782,-1.7463725,1.3598304,-8.016907,14.0793,-4.0656447,18.883373,-35.36114,69.33009,-4.561613,3.6503098,-4.2973886,-1.4350555,-17.69687,42.04453,66.09164,8.56044,5.390495,3.8205557
10,-1.4837032556533813,2.4365341663360596,76.77571105957031,8.510622106082614,-9.699525787890249,105.81574950554504,7.0107493,-7.8166313,8.886066,8.670778,-6.9389706,-0.42382872,-13.299999,-22.467333,-1.7851102,88.529274,-7.9292445,-2.250462,1.1684449,-7.9115367,14.125302,-4.343345,19.141768,-35.344666,69.578,-4.157508,3.7129586,-4.265883,-1.5434942,-17.57503,41.523266,66.103676,8.903951,5.4936504,3.384232
11,-1.7708622217178345,2.913299560546875,76.8152084350586,8.364020094937834,-9.829066814050881,105.63285959896723,7.8805447,-7.7680883,8.956628,8.256174,-7.2145405,-0.38416314,-14.0494175,-22.602243,-2.3683653,88.516556,-8.365363,-2.6059213,0.9594266,-7.7930117,14.1466465,-4.6310134,19.38034,-35.27992,69.875465,-3.711502,3.8042436,-4.264775,-1.6527373,-17.444094,41.025993,66.1028,9.272148,5.6012425,3.002853
12,-2.0508978366851807,3.3955812454223633,76.84989166259766,8.20835548662383,-9.944065125693037,105.46819496953977,8.682015,-7.7012854,9.01794,7.933476,-7.5188246,-0.34176663,-14.78447,-22.545467,-2.8731394,88.31201,-8.672336,-2.8344986,0.7331523,-7.6734915,14.157935,-4.9266977,19.603462,-35.18348,70.191025,-3.346582,3.903422,-4.2752995,-1.7694354,-17.310694,40.587036,66.08238,9.56184,5.6696415,2.7292945
13,-2.320993661880493,3.8624207973480225,76.88347625732422,8.039106982919673,-10.043936762502645,105.31026483724986,9.404783,-7.6069427,9.079908,7.7272434,-7.8646235,-0.29567975,-15.521808,-22.259256,-3.2741725,87.911575,-8.787558,-2.9335673,0.4945264,-7.546453,14.160595,-5.221559,19.811838,-35.032337,70.52462,-3.0713563,4.0148726,-4.293214,-1.8931636,-17.18058,40.221752,66.035904,9.7533865,5.688598,2.592663
