Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.5656239986419678,-0.3182390630245209,65.28239440917969,0.04818351095018154,29.963457493310084,-160.86559399176144,-61.717,-5.3697376,19.032705,75.444916,-33.14236,14.563028,-76.46554,-2.2773426,-31.745789,58.025574,-0.8780564,-15.000033,-6.1780863,2.832562,29.793802,-84.047714,22.40677,-31.338184,-36.957195,10.700253,-8.449934,-1.325717,-67.848724,-25.38711,31.794262,-29.455364,-23.24429,-12.087628,-10.4582405
1,-0.43783602118492126,0.07148848474025726,65.4600830078125,-0.25854467460687164,29.960284074330172,-161.31528579671627,-61.51319,-4.8020678,18.765041,74.80939,-33.435925,14.234303,-77.0316,-2.110658,-31.608501,57.892803,2.3291657,-12.649398,-5.782917,3.06061,29.793802,-83.87006,22.390472,-31.304562,-36.924435,10.777874,-8.448981,-1.3609833,-67.71802,-25.371616,31.636583,-29.788263,-23.157639,-12.097646,-10.594489
2,-0.31432029604911804,0.44060009717941284,65.64948272705078,-0.5217301729432223,29.945135235841203,-161.71240719640826,-61.289722,-4.297508,18.51296,74.12588,-33.70556,13.911732,-77.684364,-1.858324,-31.265118,57.82915,5.3955183,-10.095293,-5.4421835,3.2610922,29.793802,-83.67854,22.37719,-31.283037,-36.88173,10.873926,-8.449289,-1.3910905,-67.57941,-25.331192,31.476458,-30.115313,-23.06671,-12.109949,-10.726397
3,-0.19308990240097046,0.7983635067939758,65.8512954711914,-0.7861267597022548,29.924721930353705,-162.11715621129886,-61.063618,-3.7846293,18.2732,73.438896,-33.95958,13.58293,-78.36265,-1.4450762,-30.670485,57.64827,8.48827,-7.092294,-5.1216116,3.4287057,29.793802,-83.52254,22.373169,-31.27287,-36.801968,10.951374,-8.445693,-1.4293435,-67.47117,-25.230568,31.310907,-30.414997,-22.990297,-12.136925,-10.837481
4,-0.07267603278160095,1.16776442527771,66.05593872070312,-1.051803877371851,29.900022182838494,-162.53584808894544,-60.82941,-3.257122,18.05597,72.74518,-34.179123,13.248116,-79.05451,-0.7574493,-29.59785,57.20963,11.723933,-3.147308,-4.832272,3.5706758,29.793802,-83.40413,22.408945,-31.239706,-36.71285,10.959882,-8.43586,-1.482697,-67.39001,-25.112123,31.159956,-30.722054,-22.933079,-12.183966,-10.931846
5,0.04331084340810776,1.5356261730194092,66.26045989990234,-1.326852641768674,29.873241114941877,-162.978442836438,-60.576965,-2.7086513,17.861269,72.020485,-34.365902,12.899541,-79.81609,0.51197416,-27.652775,56.336838,15.459236,2.6197884,-4.5722184,3.6811414,29.793802,-83.33275,22.498238,-31.190723,-36.6175,10.860293,-8.413421,-1.5597382,-67.32161,-24.977518,31.005379,-31.065351,-22.90192,-12.27234,-10.995394
6,0.16876567900180817,1.8966894149780273,66.46072387695312,-1.6277704525189765,29.84330812350814,-163.44386470790127,-60.319523,-2.1292524,17.669296,71.28774,-34.530983,12.5343,-80.63702,2.4099169,-24.877977,55.18665,19.266182,9.9567175,-4.3304033,3.7815003,29.793802,-83.28093,22.642824,-31.131231,-36.53116,10.679784,-8.381449,-1.6485164,-67.26067,-24.827724,30.848305,-31.43745,-22.8899,-12.389848,-11.037238
7,0.27941271662712097,2.282571315765381,66.65352630615234,-1.9618428675410193,29.80621620099882,-163.92111060051303,-60.09603,-1.498569,17.452234,70.62964,-34.67722,12.148339,-81.118164,3.7909627,-23.041103,54.152386,22.320965,15.000033,-4.105702,3.884619,29.793802,-83.23484,22.83607,-31.062496,-36.45937,10.480623,-8.349544,-1.7222524,-67.2171,-24.670235,30.69769,-31.802357,-22.876244,-12.502989,-11.073268
8,0.39698123931884766,2.688929557800293,66.82984161376953,-2.4155930776471166,29.769558258344233,-164.5010917236247,-59.98933,-0.6864176,17.174883,70.20155,-34.848236,11.7248745,-80.963356,3.4870913,-23.895554,53.447018,24.473177,15.000033,-3.7743328,4.0370183,29.793802,-83.21638,23.046436,-31.000824,-36.392918,10.319645,-8.326938,-1.7592775,-67.20676,-24.528597,30.537382,-32.126564,-22.841635,-12.574074,-11.117646
9,0.5059926509857178,3.094257354736328,67.01508331298828,-2.830471475216491,29.728932490762496,-165.07373116560657,-59.898945,0.103204854,16.958467,69.80532,-34.947697,11.346335,-80.824356,2.9034126,-24.72707,53.121197,25.470383,15.000033,-3.4654386,4.1392937,29.793802,-83.21138,23.307226,-30.929161,-36.338135,10.224168,-8.316271,-1.7504541,-67.22523,-24.390879,30.397305,-32.429684,-22.76692,-12.591288,-11.180841
