Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2689742147922516,-2.6610617637634277,76.80943298339844,-2.618002838713608,-6.837570335804379,88.39636112642891,-13.923669,22.663017,12.246642,81.319336,-3.556466,8.86659,-7.346481,0.18761212,-10.916481,22.340782,-9.870947,0.4211305,1.4044111,1.035703,12.558213,17.438995,3.6942165,-86.64035,43.789196,17.162086,2.539552,-15.307796,18.873114,-6.745312,89.57568,29.16953,-56.59322,-5.9303856,13.027813
1,-0.16617271304130554,-2.0076253414154053,76.92569732666016,-2.4913323908860203,-6.9581460478321935,88.551458942211,-14.817273,21.700357,11.868589,80.02885,-4.0790553,8.015769,-6.2717056,0.09595428,-11.037764,21.74112,-10.252184,0.5938982,1.6668983,0.9988424,12.668668,17.480574,3.7235188,-86.32607,43.75446,17.516987,2.3561268,-15.693085,18.91451,-6.788416,89.513145,29.211359,-56.801926,-5.925861,12.771608
2,-0.07137410342693329,-1.3413605690002441,77.02775573730469,-2.365692299051215,-7.083140367656133,88.70834472946717,-15.713081,20.755648,11.4709215,78.777824,-4.6223354,7.2139397,-5.1857924,0.010238461,-11.167131,21.132933,-10.634488,0.7597859,1.9240597,0.96139264,12.785538,17.525066,3.7440426,-85.99552,43.729927,17.87427,2.164896,-16.107779,18.952164,-6.823838,89.45668,29.26613,-56.99429,-5.928559,12.51513
3,0.02665519155561924,-0.6741320490837097,77.12171936035156,-2.2570910819323653,-7.210126767206542,88.85512293140027,-16.549036,19.890663,11.115041,77.42802,-5.1687183,6.399538,-4.0902586,-0.046944678,-11.294253,20.503878,-11.000106,0.9187854,2.1867588,0.94188195,12.89896,17.568136,3.7561715,-85.68153,43.712265,18.22732,1.9802004,-16.461506,18.991972,-6.849758,89.40544,29.323378,-57.215122,-5.911262,12.256034
4,0.11925777792930603,0.0022229859605431557,77.20435333251953,-2.181088586872807,-7.336258264477194,88.97993287556078,-17.26417,19.167072,10.862135,75.83982,-5.7000203,5.512313,-2.9918516,-0.05516619,-11.407448,19.851274,-11.336832,1.0706332,2.439061,0.94638383,13.000864,17.610313,3.766055,-85.37572,43.68775,18.582407,1.8151472,-16.671139,19.02822,-6.87833,89.392685,29.35847,-57.502083,-5.8420677,11.990915
5,0.20770815014839172,0.6695319414138794,77.27001953125,-2.139977026502257,-7.461863394110298,89.07909897343652,-17.82985,18.583933,10.731345,73.948425,-6.251375,4.4474835,-1.8815836,-0.008241552,-11.499198,19.153915,-11.63137,1.2189476,2.712374,0.9891157,13.085952,17.645538,3.769854,-85.11968,43.659355,18.924503,1.6839842,-16.676569,19.069084,-6.8974314,89.39187,29.379555,-57.880325,-5.7130075,11.709078
6,0.30216655135154724,1.3406920433044434,77.32533264160156,-2.1236667992004485,-7.587114345199008,89.15918690325431,-18.284035,18.110569,10.692577,71.830185,-6.8124166,3.265725,-0.76177806,0.080038056,-11.574188,18.422773,-11.895281,1.3614587,2.9894264,1.0543044,13.159646,17.678305,3.7700977,-84.88155,43.625595,19.263702,1.5771198,-16.53927,19.108934,-6.912527,89.41409,29.389599,-58.320644,-5.5379124,11.415886
7,0.37969207763671875,2.0185585021972656,77.36722564697266,-2.1284840965722367,-7.708198057615446,89.22426882600283,-18.66546,17.751234,10.728461,69.55288,-7.2906227,2.142514,0.3500802,0.19987218,-11.638901,17.687887,-12.142966,1.4901958,3.2563837,1.1351249,13.222433,17.70988,3.7677026,-84.6614,43.592773,19.607084,1.4789903,-16.336973,19.148663,-6.9248943,89.455345,29.384401,-58.797626,-5.328718,11.136222
8,0.45400866866111755,2.699739933013916,77.3940200805664,-2.151382350069583,-7.820916055536727,89.27929965281395,-19.013973,17.500725,10.816223,67.18711,-7.59455,1.2449999,1.4460102,0.34220392,-11.700659,16.95839,-12.383092,1.5995617,3.5040069,1.2261405,13.274064,17.743658,3.764057,-84.46775,43.567116,19.959198,1.373772,-16.146576,19.192995,-6.9336715,89.505005,29.362516,-59.287365,-5.0988054,10.894808
9,0.5405694246292114,3.369840621948242,77.40328979492188,-2.1877702874480582,-7.912428672045478,89.31972990784874,-19.354134,17.366983,10.98379,64.749954,-7.6901336,0.6235444,2.4920692,0.50069946,-11.754243,16.269815,-12.623333,1.6887844,3.7358212,1.3223976,13.302444,17.77508,3.760897,-84.30014,43.54903,20.340157,1.2464427,-15.978429,19.235651,-6.937915,89.55908,29.319254,-59.892776,-4.848914,10.660555
10,0.6107723116874695,4.056075096130371,77.40320587158203,-2.2383899671765697,-7.987721581571709,89.34686286211601,-19.662306,17.321686,11.231785,62.205315,-7.6260037,0.16666947,3.5027957,0.6756142,-11.7978,15.605247,-12.858166,1.7643456,3.9321883,1.4153115,13.312779,17.807781,3.7573445,-84.12383,43.531857,20.752123,1.1071765,-15.799753,19.270082,-6.938987,89.64941,29.258827,-60.584137,-4.5693946,10.432884
11,0.678598165512085,4.738243103027344,77.39317321777344,-2.305613956525476,-8.068696590556046,89.3712145535883,-19.908678,17.309523,11.49359,59.550694,-7.4417734,-0.20047913,4.5221095,0.8671547,-11.841787,14.9356575,-13.083612,1.8325092,4.1185255,1.5246804,13.324496,17.843433,3.754965,-83.99423,43.51848,21.138422,0.9842456,-15.607085,19.31749,-6.936495,89.736305,29.186995,-61.157738,-4.270367,10.284789
12,0.7313157320022583,5.4176859855651855,77.3661880493164,-2.3896218390173103,-8.177629913251776,89.40389571045769,-20.059792,17.278303,11.703358,56.773407,-7.174098,-0.5468886,5.59753,1.0746567,-11.897071,14.226421,-13.293348,1.8992192,4.2807693,1.652491,13.360977,17.889175,3.753488,-83.90825,43.50754,21.462057,0.9010956,-15.407169,19.387552,-6.932825,89.828766,29.108622,-61.400208,-3.9593596,10.285012
13,0.76021808385849,6.114724636077881,77.33589172363281,-2.4857826835853634,-8.318620760796229,89.4409825868014,-20.10494,17.197159,11.840118,53.848976,-6.8320208,-0.8770353,6.7359653,1.2883853,-11.961181,13.472628,-13.484031,1.967358,4.427482,1.7967573,13.427267,17.944012,3.7523887,-83.87604,43.497456,21.712526,0.87233883,-15.179693,19.486164,-6.930815,89.941055,29.012596,-61.127068,-3.5941632,10.510854
14,0.805320680141449,6.801946640014648,77.28746795654297,-2.5915454299169824,-8.479512068457176,89.47913556781924,-20.063667,17.090446,11.941695,50.79065,-6.398348,-1.1623001,7.914761,1.5086517,-12.02953,12.688774,-13.657851,2.036116,4.5474143,1.9484377,13.511199,18.007277,3.7511184,-83.87717,43.488487,21.914566,0.88177073,-14.930197,19.601679,-6.9314127,90.08593,28.898075,-60.49178,-3.1782322,10.898261
15,0.8337464928627014,7.511971950531006,77.22502136230469,-2.7188653976501906,-8.65841817863453,89.53012572127486,-19.951462,16.992054,12.029505,47.64572,-5.866259,-1.4212843,9.139809,1.7518402,-12.106825,11.861428,-13.814225,2.10523,4.641544,2.1182475,13.610368,18.077766,3.750589,-83.9134,43.48676,22.071507,0.90690255,-14.703044,19.7311,-6.9338307,90.19995,28.783922,-59.80652,-2.8081014,11.314765
16,0.8701385855674744,8.216018676757812,77.1499252319336,-2.876175803259697,-8.852620326208744,89.60545410697844,-19.786598,16.93083,12.126468,44.458755,-5.226426,-1.6750784,10.405593,2.0319002,-12.197943,11.000106,-13.959251,2.1739244,4.6812506,2.3028536,13.719421,18.165865,3.7514086,-83.95967,43.49425,22.189247,0.9271218,-14.537973,19.86729,-6.937943,90.27634,28.693258,-59.36258,-2.567687,11.6237
17,0.9030709862709045,8.929174423217773,77.05766296386719,-3.0661446008243303,-9.067290975389602,89.71230116849577,-19.542261,16.921423,12.282987,41.16877,-4.4183016,-1.9240232,11.733206,2.35564,-12.308017,10.072289,-14.079234,2.245687,4.6561847,2.4970975,13.851818,18.26851,3.7534418,-84.002266,43.517807,22.26718,0.93197775,-14.458922,20.00265,-6.9402084,90.2788,28.64256,-59.263546,-2.5305157,11.785204
