Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.3107599020004272,-0.31766650080680847,77.04415893554688,-1.7864619626750033,9.317404231360731,-166.80271317684736,-19.32611,31.060028,2.6449485,30.031944,-5.399802,-0.88892734,-14.001783,-15.775048,-38.39847,15.987345,-7.966113,6.71006,-6.493792,2.3741581,4.757451,-8.779739,26.507286,-39.31218,60.16466,5.554794,-1.9371033,-6.240115,3.999354,-19.309948,21.841555,59.767525,-14.446664,-3.6235936,2.953949
1,1.246248722076416,0.26293283700942993,77.10635375976562,-1.7979102549221402,9.305175201844449,-166.70002843841937,-18.667624,31.420614,5.1109557,30.317001,-6.96824,-0.44064555,-13.759169,-15.093453,-38.66068,15.414252,-7.878958,6.421025,-6.559008,2.3633313,4.8158474,-8.979399,26.503036,-39.377335,59.56239,5.8394117,-1.9347748,-6.293633,3.7769268,-19.363754,21.860878,59.875103,-14.314781,-3.62264,2.917425
2,1.1784117221832275,0.835925817489624,77.16646575927734,-1.8023523507780859,9.296574912920128,-166.592177997563,-17.979431,31.79024,7.661846,30.593,-8.5644245,0.01383871,-13.514357,-14.412532,-38.922855,14.825216,-7.7789073,6.1383567,-6.603747,2.3919363,4.877956,-9.240684,26.417233,-39.472507,59.0221,6.1474643,-1.940273,-6.355452,3.6509042,-19.527819,21.854158,59.854992,-14.149952,-3.6247108,2.903836
3,1.1051275730133057,1.396033763885498,77.21906280517578,-1.8052861546969643,9.282874966775127,-166.48792041847028,-17.249422,32.043377,10.054492,30.877102,-10.128027,0.39431995,-13.272101,-13.735822,-39.174023,14.244813,-7.6937776,5.8510027,-6.6442466,2.4382095,4.9356523,-9.522361,26.270906,-39.57073,58.53443,6.4132977,-1.9456525,-6.3807254,3.5447469,-19.720348,21.831976,59.82555,-14.005954,-3.617036,2.8980415
4,1.0396254062652588,1.948675274848938,77.26177215576172,-1.8159305415982243,9.25591811890407,-166.39672069230787,-16.486488,32.062317,12.036371,31.185837,-11.593035,0.63119847,-13.041578,-13.0666895,-39.403175,13.708835,-7.652415,5.5472393,-6.6814284,2.505348,4.991437,-9.791748,26.07631,-39.66228,58.075523,6.5619173,-1.9430288,-6.3238554,3.4533026,-19.928072,21.787333,59.80702,-13.918172,-3.5848105,2.9015157
5,0.9802926182746887,2.4986348152160645,77.29802703857422,-1.8419241618051723,9.21324171891696,-166.32985049289096,-15.715276,31.826826,13.525163,31.544626,-12.964161,0.7138762,-12.824722,-12.396724,-39.60376,13.220212,-7.6688437,5.22296,-6.7113256,2.5943105,5.0474205,-10.034057,25.841751,-39.73374,57.63741,6.5467706,-1.9275749,-6.151875,3.3632414,-20.142147,21.715979,59.82003,-13.897241,-3.5212526,2.9222686
6,0.9198041558265686,3.036414384841919,77.32423400878906,-1.879124460200456,9.159462195199929,-166.27993468863738,-14.955634,31.403767,14.649703,31.941225,-14.266771,0.6916817,-12.616247,-11.72479,-39.783375,12.762336,-7.724969,4.8839087,-6.7358227,2.6984878,5.1017632,-10.257685,25.574772,-39.789783,57.218735,6.417709,-1.9035491,-5.8973627,3.2724507,-20.35854,21.62611,59.860054,-13.924898,-3.4352977,2.9543896
7,0.8601678609848022,3.5774648189544678,77.34575653076172,-1.919739233867477,9.096922658675481,-166.2275072172262,-14.229312,30.813942,15.463207,32.35795,-15.47582,0.58735955,-12.4099045,-11.060383,-39.954002,12.328827,-7.8000407,4.5331793,-6.7669096,2.8132074,5.1525354,-10.469256,25.283943,-39.850895,56.808865,6.2385283,-1.8765557,-5.6132803,3.194477,-20.574207,21.525126,59.905693,-13.998002,-3.335752,2.9794776
8,0.7972041368484497,4.113816738128662,77.36202239990234,-1.9564017667497118,9.028049843846263,-166.1535750495468,-13.54784,30.079708,16.022894,32.76992,-16.562958,0.4201024,-12.202171,-10.414551,-40.12716,11.918774,-7.8752785,4.1736426,-6.815066,2.933676,5.198051,-10.6741495,24.978006,-39.936256,56.39654,6.0748787,-1.8516748,-5.3527145,3.1428714,-20.787523,21.419413,59.935745,-14.113794,-3.2316563,2.9790888
9,0.7400469183921814,4.642565727233887,77.37879943847656,-1.9912514777653176,8.954150357640067,-166.0529256904376,-12.925019,29.198606,16.290672,33.200317,-17.501362,0.17126217,-11.9866085,-9.780736,-40.310745,11.517257,-7.941048,3.806763,-6.886041,3.0605028,5.2392445,-10.863693,24.663044,-40.03749,55.96752,5.9237475,-1.8228867,-5.111454,3.1168628,-20.997139,21.311998,59.94497,-14.30253,-3.1159081,2.9500368
