Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.2949650287628174,-1.0498559474945068,77.99641418457031,1.2496705532237438,-4.559753570864795,25.424503213147844,5.4634643,1.0007955,6.8406405,9.769032,-11.462087,-3.5840964,3.368468,-4.8559647,0.3541543,16.241007,-14.538313,4.1381955,-3.5518703,2.4419427,2.8127596,-30.710981,21.220087,-65.81334,4.309241,-51.100773,-10.712767,-30.148375,-8.356847,-16.141008,55.771732,0.78136396,68.41464,7.176976,8.210781
1,-2.2886924743652344,-1.0409791469573975,77.99530792236328,1.2479709761456559,-4.565499953448092,25.41991277797619,5.4817576,1.0001994,6.8461185,9.762503,-11.468004,-3.5769897,3.3800094,-4.8547764,0.35365513,16.246601,-14.544569,4.133192,-3.5575,2.44692,2.8042734,-30.724253,21.215282,-65.81442,4.3395214,-51.08645,-10.726253,-30.172071,-8.356344,-16.14393,55.76621,0.7747337,68.3934,7.193701,8.213811
2,-2.2804906368255615,-1.0382148027420044,77.9938735961914,1.2464263354064495,-4.571185104603112,25.415353812112986,5.497921,0.99952716,6.851896,9.760061,-11.476232,-3.56819,3.3899596,-4.8538003,0.3529111,16.255527,-14.552671,4.1281433,-3.5630407,2.454088,2.7956333,-30.734842,21.212154,-65.814835,4.3633475,-51.068516,-10.739697,-30.196074,-8.357326,-16.145712,55.760235,0.7725678,68.36922,7.2123227,8.218412
3,-2.2728753089904785,-1.036986231803894,77.9925765991211,1.2446853782138536,-4.577089256729703,25.410969356655933,5.5158987,0.999149,6.8566537,9.75458,-11.4826145,-3.5627222,3.4016323,-4.852612,0.35240743,16.261885,-14.559668,4.1232705,-3.5634823,2.4610755,2.7880356,-30.7502,21.201944,-65.818306,4.391484,-51.05667,-10.750903,-30.217896,-8.357699,-16.150995,55.74538,0.7696221,68.349525,7.2309213,8.222919
4,-2.2660293579101562,-1.034399390220642,77.99002838134766,1.2418791585327067,-4.582734059231028,25.406403738799664,5.5347767,1.0003066,6.859387,9.7471695,-11.487794,-3.5657055,3.414401,-4.8503337,0.353101,16.265299,-14.56568,4.118765,-3.566333,2.469012,2.7773132,-30.758827,21.194782,-65.821846,4.413954,-51.05782,-10.759593,-30.228968,-8.361909,-16.154436,55.74004,0.77253646,68.34506,7.2351885,8.22204
5,-2.2591211795806885,-1.0315022468566895,77.98690795898438,1.236505931995799,-4.587298308498738,25.40238236405087,5.5561266,1.0050386,6.8575954,9.732853,-11.489749,-3.586708,3.4286847,-4.844876,0.3541261,16.263498,-14.569345,4.113311,-3.568626,2.4775484,2.7646713,-30.768183,21.180878,-65.83074,4.442493,-51.081104,-10.768263,-30.22501,-8.369954,-16.160267,55.741688,0.77873677,68.36236,7.218251,8.210804
6,-2.248758316040039,-1.0231389999389648,77.9857177734375,1.2291931460454102,-4.59075927609808,25.398955020186442,5.5781345,1.0125448,6.852314,9.713962,-11.488912,-3.6203182,3.4436336,-4.8373137,0.3552656,16.258085,-14.571228,4.10725,-3.5742364,2.4894652,2.7504842,-30.766748,21.176271,-65.83503,4.4541025,-51.117664,-10.772719,-30.210478,-8.385692,-16.162031,55.748962,0.7964204,68.39329,7.1888804,8.193362
7,-2.23991322517395,-1.0137075185775757,77.98393249511719,1.2233387602860801,-4.595899661901417,25.394403287253855,5.6015916,1.0183531,6.848438,9.697855,-11.489286,-3.6489635,3.4614906,-4.8316045,0.35832113,16.25076,-14.573343,4.1033306,-3.584995,2.5008368,2.7332191,-30.766678,21.159761,-65.839325,4.4812064,-51.15767,-10.777481,-30.192532,-8.404514,-16.166866,55.772957,0.81583667,68.43493,7.148916,8.175456
8,-2.23000431060791,-1.0046944618225098,77.98512268066406,1.2227720282137868,-4.605169663813682,25.38683901998104,5.626913,1.017844,6.8506427,9.690508,-11.493479,-3.6551623,3.4825213,-4.831947,0.36496055,16.246376,-14.578849,4.1043143,-3.5885031,2.5079024,2.716775,-30.765978,21.154545,-65.84088,4.49518,-51.190506,-10.772161,-30.18592,-8.416332,-16.168259,55.77734,0.8330034,68.46825,7.1306567,8.173804
9,-2.2210209369659424,-0.9954252243041992,77.98463439941406,1.2301705358513664,-4.620068974890295,25.3742819377233,5.654727,1.0075839,6.8624187,9.695258,-11.5012665,-3.6245015,3.5102236,-4.841622,0.37713253,16.241173,-14.586568,4.1138864,-3.590559,2.5080285,2.6991284,-30.767992,21.15162,-65.841866,4.5161824,-51.21661,-10.758994,-30.18908,-8.425733,-16.169064,55.779503,0.8487217,68.502335,7.1251383,8.19067
