Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.3437560200691223,-2.3750734329223633,77.33149719238281,-0.15706173663758044,-3.890549411164573,90.48649937450604,7.074387,11.557668,16.712992,7.719871,-7.793715,-11.533103,8.561124,-11.453994,-18.915691,7.1493654,-10.248262,11.32498,1.1020017,0.46697563,7.992464,6.1831903,18.008821,-29.74914,53.429382,15.311442,-4.759662,-3.8040562,0.68993104,-15.166763,36.737885,62.208622,-3.3413017,-2.5895894,0.59640133
1,-0.3560747504234314,-2.3673765659332275,77.3349380493164,-0.15040752851253936,-3.8705608959761606,90.49934990718286,7.0583854,11.534693,16.704172,7.711065,-7.7967887,-11.517766,8.547158,-11.47442,-18.922184,7.1539226,-10.250066,11.325402,1.1032294,0.46015602,7.977637,6.1966977,18.011263,-29.75655,53.434208,15.281689,-4.7730875,-3.7784445,0.6955178,-15.17004,36.74569,62.217228,-3.3514116,-2.591335,0.5405208
2,-0.36687055230140686,-2.3572304248809814,77.33621215820312,-0.1439500358463901,-3.8475185728776515,90.51452933499199,7.0375347,11.511175,16.693274,7.7029624,-7.7992883,-11.502404,8.526188,-11.497426,-18.929573,7.1684985,-10.257389,11.325491,1.0981228,0.45692033,7.943109,6.230059,18.020767,-29.78984,53.432316,15.2249365,-4.786362,-3.742324,0.7168216,-15.18429,36.78493,62.221874,-3.3405316,-2.5941308,0.47037244
3,-0.37641966342926025,-2.3533220291137695,77.33824920654297,-0.13636296612382245,-3.8234703685933344,90.52761835000565,7.0167766,11.486783,16.683659,7.693632,-7.8013425,-11.486175,8.505038,-11.520211,-18.93639,7.1787515,-10.261667,11.326735,1.0960355,0.4518499,7.915545,6.2536306,18.027893,-29.81094,53.433346,15.179338,-4.8009105,-3.7119694,0.73144436,-15.197629,36.81109,62.226326,-3.334507,-2.5969553,0.41164535
4,-0.3928130865097046,-2.3462705612182617,77.33995056152344,-0.1264463598031846,-3.7917312866924315,90.53778200521744,6.9884496,11.458152,16.67473,7.6812286,-7.80049,-11.46726,8.474588,-11.54589,-18.943075,7.185716,-10.262466,11.331047,1.0972204,0.44354874,7.8817716,6.274966,18.03227,-29.825464,53.434605,15.1404505,-4.8164945,-3.683673,0.74383104,-15.208995,36.82884,62.233955,-3.3260813,-2.5987275,0.36566257
5,-0.40256017446517944,-2.340021848678589,77.34331512451172,-0.11397740195539,-3.749730365008505,90.54420216783389,6.9501276,11.424513,16.665716,7.664306,-7.7954764,-11.446257,8.430784,-11.574926,-18.950302,7.189561,-10.258437,11.338603,1.1016213,0.43012214,7.8398724,6.291741,18.033377,-29.832499,53.4377,15.106503,-4.831929,-3.6545925,0.7529036,-15.213508,36.836033,62.244705,-3.3133461,-2.5987768,0.3315402
6,-0.416955828666687,-2.3354976177215576,77.34561920166016,-0.0989850180803345,-3.698902281130636,90.54772836237701,6.901984,11.387445,16.656643,7.6461906,-7.7882357,-11.423571,8.374774,-11.606726,-18.95742,7.19377,-10.252567,11.3483925,1.1089753,0.41643614,7.7845855,6.312684,18.035343,-29.846596,53.43755,15.066912,-4.846552,-3.6225421,0.77251375,-15.230887,36.846237,62.244686,-3.2875366,-2.5974076,0.3060869
7,-0.4311678111553192,-2.3289895057678223,77.34928894042969,-0.08222991521736198,-3.6451664112158966,90.54969670055944,6.8519993,11.347145,16.649454,7.626156,-7.7803507,-11.39744,8.315658,-11.641322,-18.96347,7.1957345,-10.24506,11.361207,1.1183571,0.39931685,7.73127,6.327975,18.034771,-29.849564,53.439285,15.037539,-4.8644567,-3.5977836,0.78299177,-15.240692,36.845493,62.255695,-3.2672665,-2.5962906,0.29349425
8,-0.44785183668136597,-2.3244400024414062,77.352783203125,-0.06312220712199564,-3.5928735828212814,90.55116351202244,6.8052716,11.30364,16.645952,7.6066747,-7.7751584,-11.365536,8.260359,-11.67931,-18.967278,7.194726,-10.237599,11.377736,1.131383,0.37823424,7.681273,6.3414826,18.034071,-29.847502,53.44035,15.016095,-4.886753,-3.5842009,0.7882064,-15.243595,36.84314,62.277588,-3.247594,-2.594865,0.29438764
9,-0.4644033908843994,-2.3158178329467773,77.35543060302734,-0.03923524592514489,-3.5419564795562186,90.55102218749623,6.761303,11.255934,16.648651,7.591797,-7.77502,-11.324125,8.206018,-11.72417,-18.966246,7.1978083,-10.234186,11.399984,1.150955,0.35461235,7.6304197,6.358967,18.031988,-29.83751,53.437923,15.0057955,-4.9168615,-3.5914845,0.79487544,-15.248697,36.83832,62.30884,-3.2254052,-2.5955,0.315159
10,-0.4828875958919525,-2.3137776851654053,77.35597229003906,-0.011771054174316254,-3.490913817975367,90.54903440931287,6.7193184,11.203852,16.65629,7.576603,-7.77627,-11.275469,8.148864,-11.7755,-18.96111,7.2070017,-10.234894,11.427059,1.1716015,0.3286449,7.5828843,6.3829923,18.02749,-29.808569,53.426067,15.013197,-4.952916,-3.61589,0.80039555,-15.257036,36.83059,62.341545,-3.2038827,-2.5963745,0.35437134
11,-0.5020265579223633,-2.3062243461608887,77.35749816894531,0.015658895871320817,-3.4375124131057584,90.54773905899044,6.6743245,11.150468,16.66373,7.561632,-7.779019,-11.226118,8.092706,-11.826923,-18.956676,7.20849,-10.231879,11.455383,1.1811041,0.30490214,7.5400877,6.4089727,18.016846,-29.76344,53.410347,15.029398,-4.990112,-3.6393125,0.7992417,-15.273232,36.82757,62.37019,-3.187546,-2.5936084,0.40355736
12,-0.5186399221420288,-2.29823899269104,77.36141204833984,0.04249957484185659,-3.377072886790494,90.54899618225639,6.622409,11.096889,16.66714,7.5388765,-7.7781634,-11.182875,8.029068,-11.876596,-18.9549,7.2090073,-10.227838,11.481575,1.1894457,0.28201205,7.490347,6.432269,18.009026,-29.742159,53.394894,15.032863,-5.019891,-3.6399689,0.79198676,-15.282682,36.82269,62.40525,-3.1811817,-2.5842183,0.45109567
13,-0.535279393196106,-2.2910614013671875,77.36708068847656,0.0652337830073236,-3.3075825088437036,90.55389793632948,6.5597,11.044252,16.664152,7.507511,-7.772655,-11.148702,7.9565988,-11.922808,-18.957798,7.20554,-10.221278,11.503229,1.1871463,0.26147634,7.4353733,6.4576173,18.002485,-29.735523,53.373997,15.0301,-5.036989,-3.60524,0.7745222,-15.289014,36.81627,62.443962,-3.1957815,-2.5642593,0.5021816
