Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.5857189893722534,-1.7122927904129028,76.87906646728516,-5.911701129884792,5.109999344700727,96.20046882132603,-28.708889,7.958121,-2.9948208,73.971886,-8.913305,3.4052236,-3.822262,6.3186655,-21.72748,7.385905,-10.810894,-1.8697354,-4.9320483,6.3622417,16.47114,-13.553402,18.902054,-26.671082,49.452194,-7.641718,0.34392324,18.412773,1.4699858,-10.795294,21.201315,62.18632,22.18556,5.700115,-14.771233
1,-0.5696450471878052,-0.20377293229103088,76.97272491455078,-5.466555361919879,5.193948465463524,95.75853570758017,-30.420233,8.403578,-1.2289053,71.286156,-9.254086,4.16156,-2.648734,6.089315,-21.079468,7.2630973,-11.492912,-1.9861999,-4.4660645,5.6615767,16.389637,-12.525484,18.946747,-28.97781,51.165096,-8.756959,0.5226954,17.202848,0.07473683,-11.031664,20.283312,60.65267,21.737694,5.737302,-15.01471
2,-0.5668927431106567,1.3299485445022583,77.0223617553711,-5.034969390018085,5.291327833403854,95.32809691582197,-32.111626,8.854363,0.5973697,68.647606,-9.649015,4.8977323,-1.4840738,5.8721466,-20.436277,7.1415653,-12.179552,-2.1424463,-3.881219,5.030783,16.291275,-11.651356,18.943502,-31.448229,53.039387,-9.955415,0.7158209,16.004383,-1.1618214,-11.3787,19.206276,58.9701,21.291197,5.8094187,-15.228429
3,-0.5542339086532593,2.8591270446777344,77.03177642822266,-4.650243893621885,5.371510444306251,94.86972270272805,-33.640305,9.243107,2.3313663,65.8089,-9.978645,5.4674954,-0.28787106,5.6922874,-19.779512,7.015151,-12.864264,-2.2785687,-3.2680519,4.470023,16.193575,-10.7859955,18.90406,-33.93659,54.904587,-11.052978,0.9377576,14.834849,-2.343142,-11.803671,18.16116,57.19759,20.807472,5.8891816,-15.423828
4,-0.543189525604248,4.40157413482666,76.9854507446289,-4.312297516191288,5.403174494128711,94.34435952267042,-34.88469,9.485922,3.838841,62.544888,-10.128003,5.741582,0.9691218,5.5359855,-19.088242,6.9015594,-13.556795,-2.329305,-2.6308644,3.9591165,16.112295,-9.85104,18.8361,-36.40772,56.61449,-11.89481,1.1957705,13.72076,-3.4946215,-12.292593,17.23279,55.312218,20.220736,5.957509,-15.597377
5,-0.5218253135681152,5.949437141418457,76.88383483886719,-4.043332088835358,5.390812885472975,93.75370552071898,-35.850998,9.564808,5.030186,58.74613,-10.024423,5.7049966,2.2281535,5.4175997,-18.383759,6.9195347,-14.361155,-2.2800908,-1.9829102,3.5149767,16.038412,-8.838335,18.749975,-38.913975,58.137524,-12.423346,1.5088065,12.620821,-4.6129103,-12.832762,16.45563,53.28089,19.51976,5.995299,-15.759771
6,-0.5031546354293823,7.504177093505859,76.7436752319336,-3.8225544267367404,5.349322789472425,93.10881894993878,-36.585373,9.535806,5.99922,54.48814,-9.709297,5.46094,3.516158,5.3281426,-17.657711,6.9640017,-15.206988,-2.1497831,-1.3195975,3.1161404,15.961385,-7.7666793,18.65312,-41.445595,59.53763,-12.726186,1.8577957,11.52944,-5.7041593,-13.411308,15.797064,51.142307,18.739017,6.0145936,-15.912897
7,-0.4957776665687561,9.083844184875488,76.56312561035156,-3.679650526642875,5.245196164508787,92.4024855199369,-37.06294,9.497209,6.7809105,49.882362,-9.256764,5.0415597,4.88449,5.278142,-16.89426,7.003564,-15.99607,-1.9401015,-0.6332102,2.7923021,15.92109,-6.607906,18.53979,-43.883965,60.81165,-12.87106,2.188176,10.52978,-6.7943716,-14.025559,15.233126,48.96055,17.880878,6.044093,-16.035343
8,-0.5041019320487976,10.695509910583496,76.35270690917969,-3.647782343472563,5.041461738209279,91.63073348209909,-37.26398,9.542363,7.4099855,45.04711,-8.745934,4.469437,6.3781033,5.281767,-16.082516,7.036372,-16.649412,-1.6604406,0.07794517,2.5860972,15.957749,-5.3360724,18.39837,-46.107937,61.960247,-12.926579,2.4465678,9.70765,-7.9096274,-14.681264,14.744586,46.799015,16.94793,6.112192,-16.104853
9,-0.5172213315963745,12.301872253417969,76.10206604003906,-3.7439534679611715,4.68427111949239,90.7936162027575,-37.09412,9.665612,7.857492,39.805145,-8.138445,3.6704948,8.064213,5.3654904,-15.221584,7.060022,-17.15056,-1.2960874,0.8131578,2.5199678,16.1149,-3.928557,18.221012,-48.10765,62.962776,-12.781492,2.6066818,9.098788,-9.056365,-15.38338,14.354611,44.629097,15.906624,6.23834,-16.117987
