instance_id,attribute,task,feature,r,side,actor_uid,attr_value,per_clip_F,n_frames,g1_csv
age_waist_rom_gesture_dancing_A406,age,"gesture, dancing",waist_rom,-0.5040822811701215,low,A406,25.0,74.93284606933594,583,g1/csv/230529/lasso_dance_R_003__A406.csv
age_waist_rom_gesture_dancing_A100,age,"gesture, dancing",waist_rom,-0.5040822811701215,low,A100,24.0,74.10822296142578,367,g1/csv/230103/krakowiak_R_004__A100.csv
age_waist_rom_gesture_dancing_A140,age,"gesture, dancing",waist_rom,-0.5040822811701215,low,A140,25.0,72.80159759521484,657,g1/csv/230124/lasso_dance_R_004__A140.csv
age_waist_rom_gesture_dancing_A119,age,"gesture, dancing",waist_rom,-0.5040822811701215,low,A119,25.0,66.94796752929688,445,g1/csv/230112/krakowiak_R_002__A119.csv
age_waist_rom_gesture_dancing_A276,age,"gesture, dancing",waist_rom,-0.5040822811701215,high,A276,60.0,6.524837493896484,686,g1/csv/230315/tarzan_R_001__A276.csv
age_waist_rom_gesture_dancing_A274,age,"gesture, dancing",waist_rom,-0.5040822811701215,high,A274,66.0,8.262214660644531,401,g1/csv/230315/tarzan_R_003__A274.csv
age_waist_rom_gesture_dancing_A438,age,"gesture, dancing",waist_rom,-0.5040822811701215,high,A438,31.0,9.04296875,555,g1/csv/230112/tarzan_001__A438.csv
age_waist_rom_gesture_dancing_A144,age,"gesture, dancing",waist_rom,-0.5040822811701215,high,A144,29.0,9.173099517822266,468,g1/csv/230124/tarzan_004__A144.csv
age_waist_rom_jogging_turning_A186,age,"jogging, turning",waist_rom,-0.4187447456765785,low,A186,25.0,102.91835021972656,978,g1/csv/230213/jog_avoid_bump_spin_270_R_013__A186.csv
age_waist_rom_jogging_turning_A164,age,"jogging, turning",waist_rom,-0.4187447456765785,low,A164,25.0,102.19630432128906,748,g1/csv/230201/jog_avoid_bump_spin_270_R_001__A164.csv
age_waist_rom_jogging_turning_A411,age,"jogging, turning",waist_rom,-0.4187447456765785,low,A411,25.0,83.34966278076172,585,g1/csv/230530/jog_avoid_bump_spin_270_R_001__A411.csv
age_waist_rom_jogging_turning_A414,age,"jogging, turning",waist_rom,-0.4187447456765785,low,A414,25.0,82.08524322509766,508,g1/csv/230530/jog_avoid_bump_spin_270_R_002__A414.csv
age_waist_rom_jogging_turning_A038,age,"jogging, turning",waist_rom,-0.4187447456765785,high,A038,59.0,15.962821006774902,308,g1/csv/220727/turn_start_jog_135_001__A038.csv
age_waist_rom_jogging_turning_A044,age,"jogging, turning",waist_rom,-0.4187447456765785,high,A044,65.0,21.04203987121582,758,g1/csv/220728/turn_start_jog_090_001__A044.csv
