Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0732102170586586,2.541494607925415,78.23963928222656,0.3379322790216606,-4.9523923947604755,-90.91193414264441,9.0773115,3.401873,12.436626,7.429732,-12.09441,-3.9545999,6.9561486,-2.7820072,3.1507394,9.772411,-12.630812,4.9425483,-2.8489761,0.5828294,8.903559,2.3236194,11.824657,-30.455584,62.047806,6.062672,2.4865127,6.9009333,-0.2931718,-9.989332,29.303057,64.3524,-7.428422,2.1000795,-9.215792
1,-0.0756998136639595,2.547189474105835,78.23204803466797,0.32008090302322256,-4.855846685230713,-90.95725777279587,9.031018,3.4313965,12.507619,7.3450475,-12.128128,-4.0208774,6.8824067,-2.755806,3.180331,9.701382,-12.68449,4.9441557,-2.8090365,0.6088769,8.857455,2.3843048,11.841363,-30.40286,61.95553,6.0706553,2.4835415,6.8948264,-0.28879926,-9.990981,29.278618,64.34038,-7.369182,2.0796754,-9.191084
2,-0.08067075163125992,2.5460948944091797,78.22716522216797,0.3021728054732668,-4.757299037343074,-91.0026731510815,8.98313,3.460238,12.580181,7.259164,-12.160618,-4.0862045,6.807888,-2.730508,3.2099018,9.627616,-12.738819,4.948517,-2.7634196,0.6365867,8.799757,2.4272325,11.845626,-30.363037,61.893963,6.0707874,2.4752865,6.8919396,-0.28193095,-9.991023,29.257944,64.3363,-7.299246,2.0587022,-9.1677685
3,-0.08029264211654663,2.543011426925659,78.22299194335938,0.28375030443380905,-4.662678296058835,-91.04802984330048,8.938108,3.4907222,12.650119,7.175774,-12.195172,-4.1534915,6.735698,-2.7032144,3.2391376,9.558184,-12.79141,4.9477,-2.7290003,0.6649835,8.755406,2.4770098,11.850164,-30.297533,61.823193,6.0874887,2.471474,6.8857145,-0.2866154,-9.990452,29.232866,64.336525,-7.2476926,2.0371664,-9.14276
4,-0.0900631919503212,2.5361597537994385,78.22355651855469,0.2602228403753017,-4.5776518292328365,-91.09262263606615,8.903358,3.5254817,12.713036,7.0930843,-12.232735,-4.225543,6.668161,-2.6700206,3.2687864,9.501467,-12.840333,4.9325337,-2.698479,0.6951144,8.724791,2.5195951,11.851876,-30.245148,61.768417,6.095469,2.4785821,6.8852625,-0.28920108,-9.988844,29.217468,64.334335,-7.205699,2.0175612,-9.1268215
5,-0.09622872620820999,2.5356643199920654,78.22151947021484,0.23187861282356437,-4.5026662651908405,-91.13640704534849,8.858198,3.5713358,12.765417,7.0550056,-12.295236,-4.3017063,6.60683,-2.6282883,3.2983103,9.455604,-12.881087,4.8976817,-2.6720185,0.7296352,8.711156,2.556988,11.851107,-30.205574,61.728413,6.099507,2.5101583,6.898559,-0.29549435,-9.986642,29.209183,64.33753,-7.1785865,1.9984165,-9.121625
6,-0.10146639496088028,2.5338704586029053,78.22032928466797,0.20006635703811515,-4.434871434473912,-91.17983744714746,8.802166,3.6254535,12.810506,7.054619,-12.378068,-4.380913,6.5436645,-2.5806913,3.328216,9.42961,-12.921906,4.849198,-2.648787,0.7659992,8.710003,2.588779,11.848104,-30.172482,61.701725,6.102049,2.5580394,6.9208193,-0.3033756,-9.983458,29.206177,64.342094,-7.162727,1.9800148,-9.124007
7,-0.10960476845502853,2.5291693210601807,78.21772766113281,0.16732920692483338,-4.375285852363569,-91.22278164818631,8.7563305,3.6797822,12.851977,7.0554457,-12.465969,-4.4656963,6.4916306,-2.5321825,3.3578458,9.401641,-12.957799,4.7955594,-2.630354,0.8017373,8.719589,2.6209903,11.843474,-30.14178,61.677814,6.0997057,2.5998383,6.936082,-0.31127322,-9.979343,29.20377,64.34602,-7.1597023,1.9631007,-9.129282
8,-0.1147138923406601,2.519704580307007,78.21539306640625,0.13532740495323423,-4.32373668723647,-91.26539321820617,8.724125,3.733255,12.892903,7.0552726,-12.560784,-4.558782,6.4467516,-2.48403,3.3873644,9.382528,-13.000161,4.745275,-2.6121128,0.83376646,8.73713,2.6533694,11.838834,-30.115036,61.652008,6.084568,2.613005,6.9290705,-0.30553076,-9.975193,29.195738,64.33298,-7.1683335,1.9510195,-9.135012
9,-0.1234939768910408,2.511892318725586,78.2119140625,0.1072184781521336,-4.283665467930611,-91.30769571313783,8.70984,3.7853572,12.933538,7.054595,-12.667499,-4.6668034,6.4246416,-2.4371839,3.4170985,9.346369,-13.035711,4.702421,-2.6034424,0.8625259,8.770934,2.6916819,11.831467,-30.064999,61.620426,6.076077,2.579646,6.8858013,-0.29994413,-9.967415,29.17352,64.31042,-7.211309,1.9477276,-9.134713
