Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.16527140140533447,2.061616897583008,121.7320327758789,1.3589675232853238,-0.11691628006449209,-88.4680718464457,-0.14582837,1.6604179,0.5634642,14.404766,-13.690063,-4.197307,-0.6814006,-6.471139,0.76349956,14.60471,-13.966314,9.780142,-3.2362185,-2.0042946,7.8043113,-5.3686647,24.020655,-46.87157,52.46044,1.0763264,-2.1379154,6.8511214,-8.553976,-17.509995,48.31755,59.92456,-1.0907089,0.39306903,-3.2976909
1,-0.15127775073051453,2.0618114471435547,121.72315979003906,1.3263013246479867,-0.07857563537868006,-88.43494171799762,-0.3333443,1.6810815,0.5186431,14.703875,-13.864429,-4.1872654,-0.68290293,-6.453962,0.7326179,14.54151,-13.976449,9.81853,-3.2474358,-1.975548,7.8039246,-5.3458033,24.045631,-46.832253,52.400455,1.0753993,-2.1361234,6.8923607,-8.559526,-17.515816,48.30615,59.935802,-1.1031975,0.39559737,-3.2823372
2,-0.13722749054431915,2.062872886657715,121.711181640625,1.2952723816133218,-0.0404675692257281,-88.40329976708065,-0.5144126,1.6993222,0.4762773,14.989425,-14.030018,-4.1790237,-0.6835229,-6.4395046,0.7031203,14.4751425,-13.982844,9.857039,-3.2605972,-1.9485248,7.80309,-5.3243,24.067034,-46.793385,52.345013,1.074442,-2.1338806,6.936388,-8.56619,-17.521524,48.296974,59.94779,-1.1182355,0.39826313,-3.2661972
3,-0.12058718502521515,2.063382863998413,121.69619750976562,1.2594498989938196,-0.0018419933387287736,-88.36894401450643,-0.7105696,1.7214715,0.42889982,15.307079,-14.21558,-4.1670723,-0.6856367,-6.4202056,0.67095494,14.41449,-13.9962,9.895572,-3.2736142,-1.9167339,7.802618,-5.3005834,24.088316,-46.748116,52.286613,1.0762224,-2.1330395,6.974741,-8.573352,-17.528282,48.288624,59.96023,-1.1264656,0.4007662,-3.251475
4,-0.10787240415811539,2.064176321029663,121.67578887939453,1.2114296029150509,0.038221957485859034,-88.32775323015531,-0.9436546,1.7542882,0.36886737,15.703181,-14.450338,-4.1458926,-0.6900041,-6.388988,0.63195133,14.364211,-14.024467,9.934213,-3.2834923,-1.8722038,7.8007874,-5.2821693,24.103779,-46.70068,52.233192,1.0748523,-2.136148,7.0001554,-8.578267,-17.534624,48.27693,59.976482,-1.121381,0.402823,-3.240654
5,-0.09053337574005127,2.0637762546539307,121.65312957763672,1.1474227280481855,0.08024376811765908,-88.27648408342226,-1.2205209,1.8004135,0.29079118,16.191729,-14.746125,-4.116706,-0.6949853,-6.3432775,0.58317405,14.322626,-14.06952,9.972935,-3.297687,-1.8126446,7.7995787,-5.2591486,24.122242,-46.638725,52.1708,1.0669396,-2.1473057,7.0040336,-8.581729,-17.544622,48.264572,59.990025,-1.0951862,0.40554613,-3.235143
6,-0.07221288979053497,2.0612165927886963,121.6258544921875,1.0725728786761062,0.12386771805490306,-88.21820199829692,-1.5291301,1.8561796,0.19955291,16.74718,-15.08599,-4.0813303,-0.7004734,-6.2870326,0.52743393,14.28683,-14.126184,10.011769,-3.305351,-1.7426363,7.7930455,-5.248152,24.130808,-46.588566,52.12369,1.0455887,-2.16475,6.995598,-8.580889,-17.550873,48.248005,60.010155,-1.0506152,0.4080353,-3.2350428
7,-0.046611249446868896,2.0574164390563965,121.59398651123047,0.9877124213684725,0.16795057036494035,-88.1577469033452,-1.8642608,1.9184254,0.10243759,17.35897,-15.457102,-4.0352483,-0.71103853,-6.222683,0.4691626,14.266084,-14.196422,10.050582,-3.3167663,-1.6627048,7.793716,-5.2266254,24.143936,-46.510654,52.058784,1.0447857,-2.178928,6.980882,-8.582827,-17.563189,48.23133,60.02631,-1.009217,0.40979052,-3.2336175
8,-0.023707743734121323,2.055837869644165,121.5567626953125,0.897627679500745,0.21162052738665738,-88.0998233401871,-2.2201536,1.9837743,0.0068464126,18.015812,-15.846361,-3.9739344,-0.73074603,-6.152806,0.4126233,14.267062,-14.280399,10.089315,-3.3259792,-1.5747507,7.802959,-5.189118,24.168503,-46.410248,51.9643,1.0754331,-2.180076,6.9733133,-8.586845,-17.591223,48.227654,60.032475,-0.97053343,0.40986654,-3.2288244
9,0.005392965395003557,2.0537569522857666,121.51805114746094,0.8024910954275278,0.25793506444266795,-88.04451112579328,-2.6108036,2.0519357,-0.08734666,18.735466,-16.25789,-3.893039,-0.76531434,-6.07651,0.35786095,14.29396,-14.382207,10.128494,-3.3058121,-1.4804995,7.808843,-5.171656,24.176342,-46.327667,51.885784,1.1462183,-2.1589677,6.979987,-8.589553,-17.604822,48.20588,60.061028,-0.9450396,0.40354958,-3.2232323
10,0.03235805034637451,2.0501303672790527,121.476318359375,0.6977730714372166,0.306206236459258,-87.9894963277675,-3.0345852,2.1250393,-0.18401743,19.518179,-16.696707,-3.795997,-0.8104126,-5.992376,0.30274174,14.340881,-14.499647,10.167856,-3.297899,-1.3722827,7.8268595,-5.12947,24.192081,-46.1899,51.7706,1.2699243,-2.1225982,6.98634,-8.599626,-17.640623,48.20072,60.071995,-0.9215432,0.39560503,-3.2135074
11,0.0562802255153656,2.0438361167907715,121.43141174316406,0.5874069122808327,0.3501685089962073,-87.93654972940385,-3.4583642,2.2023454,-0.2809592,20.317345,-17.146555,-3.6904197,-0.85738957,-5.9023957,0.24852648,14.405469,-14.626349,10.206053,-3.2761588,-1.2584133,7.8478503,-5.094269,24.205185,-46.069244,51.660645,1.3815656,-2.0888546,6.998972,-8.604317,-17.679348,48.19481,60.087177,-0.90498924,0.38775155,-3.2019436
12,0.08798902481794357,2.0300681591033936,121.38633728027344,0.47310119795098665,0.3832794647701713,-87.88722308735316,-3.8494875,2.2837937,-0.375788,21.088118,-17.591888,-3.5840535,-0.8979886,-5.8084245,0.1966218,14.486897,-14.757477,10.241697,-3.2476108,-1.1415176,7.874559,-5.0641174,24.215929,-45.97104,51.563255,1.4437807,-2.0755866,7.016785,-8.607612,-17.715923,48.19803,60.11379,-0.899252,0.38358384,-3.1869433
13,0.1267424374818802,2.0177319049835205,121.34007263183594,0.3522259273258219,0.4050637536167529,-87.84130482974724,-4.212868,2.3727338,-0.47243166,21.84103,-18.036037,-3.4739954,-0.93387187,-5.7052555,0.14611344,14.587055,-14.890795,10.271808,-3.2156267,-1.0181323,7.9089413,-5.043928,24.226732,-45.903706,51.481262,1.4293792,-2.0928636,7.0429716,-8.616501,-17.749897,48.21791,60.156185,-0.9080334,0.38339198,-3.1668556
14,0.16113126277923584,1.9978288412094116,121.29370880126953,0.22289984108575103,0.41864831337269615,-87.79817854809313,-4.5599227,2.468139,-0.57063174,22.589733,-18.482998,-3.3580167,-0.967619,-5.593694,0.096680045,14.704824,-15.029023,10.2978325,-3.1834307,-0.8859847,7.953205,-5.0237823,24.244398,-45.84929,51.395782,1.3666768,-2.1291807,7.075206,-8.623922,-17.79623,48.252213,60.193348,-0.9288286,0.38660944,-3.141781
15,0.19305218756198883,1.9753704071044922,121.24479675292969,0.09301432913231973,0.42268980122318184,-87.75865058307595,-4.872856,2.5630114,-0.6616242,23.30432,-18.924551,-3.2450132,-0.9936181,-5.48428,0.05061332,14.836537,-15.174441,10.325231,-3.138902,-0.7575369,7.9988,-5.001969,24.25814,-45.806297,51.31979,1.2953143,-2.17069,7.1087565,-8.631173,-17.829876,48.28812,60.254738,-0.95226043,0.39131618,-3.1163523
16,0.23299819231033325,1.950533151626587,121.19792938232422,-0.027823673288882092,0.4159855087756498,-87.72352780924028,-5.1348195,2.6510766,-0.7365602,23.9563,-19.353497,-3.1437087,-1.0044622,-5.3874865,0.00991652,14.975172,-15.32801,10.359396,-3.0928018,-0.6377332,8.047902,-4.948475,24.276175,-45.73517,51.225628,1.2630031,-2.2029262,7.135244,-8.627074,-17.874554,48.335297,60.31293,-0.9616493,0.39990857,-3.092352
