Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.07202146202325821,-2.2004761695861816,77.74413299560547,-0.11496370260722479,-0.5418190820478492,91.79184717299371,2.2831674,3.2817376,0.68812805,8.551793,-10.464568,-4.7583284,6.1455154,-8.923641,-16.482273,8.387342,-12.899567,6.184815,-4.87649,-0.7775974,6.02261,-7.921645,14.185612,-49.090645,65.19455,-9.964854,2.1305482,-1.6381602,-7.4397287,-10.603666,46.270596,61.31726,13.150521,7.7419233,-8.345044
1,0.06453444063663483,-2.204744338989258,77.74551391601562,-0.10378662946159466,-0.5345346646202523,91.83145381506661,2.2619119,3.2530668,0.65141463,8.551638,-10.449771,-4.741545,6.141465,-8.94903,-16.512651,8.396237,-12.903266,6.1887994,-4.8377542,-0.8027593,6.0186367,-7.8951135,14.203932,-48.880497,65.15752,-10.035214,2.1121151,-1.5832449,-7.4269533,-10.60473,46.217186,61.338448,13.170473,7.7230062,-8.319745
2,0.05597440153360367,-2.2091712951660156,77.7469253540039,-0.09374788710306181,-0.5274091604290246,91.87125087782142,2.2397404,3.2249346,0.6143088,8.553645,-10.435946,-4.724956,6.13709,-8.973934,-16.542614,8.406026,-12.907153,6.1914635,-4.807438,-0.8269084,6.01483,-7.870685,14.217195,-48.66349,65.1294,-10.101809,2.0926845,-1.5286372,-7.4132147,-10.609776,46.172607,61.353962,13.194016,7.703646,-8.293426
3,0.04664852097630501,-2.2135472297668457,77.74797821044922,-0.0822882770565752,-0.5197525567383289,91.91052569238985,2.2178771,3.1958604,0.5780896,8.554347,-10.421738,-4.707977,6.1332088,-8.999653,-16.573252,8.413016,-12.909704,6.19677,-4.7873697,-0.84775966,6.012806,-7.8374853,14.231333,-48.415504,65.09304,-10.157917,2.0716226,-1.4768944,-7.40569,-10.619743,46.142136,61.369156,13.217995,7.687457,-8.268803
4,0.036427173763513565,-2.217714786529541,77.74860382080078,-0.0702450140362433,-0.5100912782159648,91.9475520949124,2.195576,3.165109,0.5451493,8.552717,-10.406302,-4.6899357,6.1287174,-9.027376,-16.60458,8.416644,-12.9112625,6.2085886,-4.7555013,-0.86940724,6.0062375,-7.805107,14.244294,-48.156765,65.05996,-10.220924,2.0450907,-1.4289302,-7.395219,-10.633517,46.11528,61.385975,13.242253,7.6766133,-8.251768
5,0.02526739612221718,-2.221597909927368,77.74874877929688,-0.05671214393416772,-0.4977574508309222,91.98209971394085,2.1723118,3.1317005,0.51552224,8.548573,-10.389432,-4.670486,6.125053,-9.058,-16.638453,8.41259,-12.909938,6.2296185,-4.7126465,-0.8918665,5.9943337,-7.770191,14.256602,-47.877205,65.02473,-10.2814865,2.0145247,-1.3876878,-7.383288,-10.650957,46.095634,61.406033,13.270355,7.6724553,-8.247131
6,0.013122756034135818,-2.2251362800598145,77.74870300292969,-0.041210362399192374,-0.48354457437654946,92.01481499515482,2.1485393,3.0964637,0.48873955,8.542694,-10.371627,-4.6498904,6.1196933,-9.091255,-16.67363,8.407502,-12.908699,6.257265,-4.6670327,-0.9144389,5.9794264,-7.730295,14.269688,-47.573948,64.985374,-10.337102,1.9804977,-1.351927,-7.3716407,-10.673187,46.086693,61.42682,13.301742,7.673507,-8.25109
7,-0.0003898243303410709,-2.2285287380218506,77.7486801147461,-0.027128674578845064,-0.4684433560244693,92.04617791813199,2.1243472,3.0602732,0.46366608,8.536183,-10.353848,-4.629031,6.1145716,-9.124992,-16.707893,8.398581,-12.905042,6.287439,-4.6337957,-0.9324926,5.967066,-7.6770663,14.28944,-47.233868,64.93264,-10.394169,1.9415002,-1.3173558,-7.364996,-10.707602,46.099205,61.44078,13.331497,7.6793504,-8.254462
8,-0.015194163657724857,-2.2320432662963867,77.74884033203125,-0.013112242944012252,-0.4537669274151821,92.076777111558,2.1014457,3.0243673,0.4397237,8.527347,-10.335657,-4.608812,6.110506,-9.157331,-16.738798,8.38639,-12.898424,6.3159018,-4.5912232,-0.9471882,5.9572515,-7.627119,14.310013,-46.896725,64.885345,-10.476071,1.8941635,-1.2772651,-7.358761,-10.743868,46.098293,61.454712,13.342132,7.6874857,-8.24732
9,-0.03147733584046364,-2.2360455989837646,77.74921417236328,-0.001053626062867732,-0.4396260729131297,92.10562420402492,2.080509,2.9890683,0.41778326,8.515884,-10.318172,-4.5906043,6.1015444,-9.1893635,-16.763006,8.382694,-12.894786,6.342895,-4.55462,-0.95467013,5.9508476,-7.570211,14.332528,-46.539337,64.83148,-10.574864,1.8338288,-1.2343603,-7.361461,-10.782397,46.103374,61.475983,13.323562,7.70018,-8.229236
