Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7096691727638245,2.093554735183716,74.6315689086914,-6.209981523894234,3.30656566365869,-87.15340751830529,21.336132,-1.6565787,-14.876808,49.576527,2.7577097,-15.000033,-41.89341,-1.1916457,-14.568596,48.103462,-12.961466,1.3296012,-17.75783,2.1789172,18.554148,-33.125366,24.098845,-16.392355,-17.17107,-0.47983474,-3.4256117,-3.5065076,31.108088,-30.125322,15.01338,-15.821538,-3.8529065,-4.388863,-7.5234275
1,0.696556806564331,-0.42240092158317566,74.6646957397461,-6.167699572830667,2.6750163397383133,-88.03674579653025,20.192371,-3.188476,-14.031067,55.347828,1.5023535,-15.000033,-39.070877,0.10042645,-13.943516,44.470146,-11.425029,2.203006,-17.360874,2.2114298,19.15179,-29.521688,23.805103,-15.820117,-11.061501,-0.86819273,-3.1121175,-5.35008,27.178003,-29.770983,16.752504,-14.8496685,-3.6901932,-4.692215,-7.6112185
2,0.7015561461448669,-2.926074743270874,74.62127685546875,-5.837221142024619,1.9942315954622674,-88.92282405999784,19.115515,-5.0020847,-12.98198,61.186226,0.2822125,-15.000033,-36.267265,1.119669,-13.038137,40.875523,-9.821512,3.222894,-16.856058,1.9140605,19.673092,-25.972044,23.333563,-15.477187,-4.740064,-1.2578942,-2.8352623,-7.3022676,23.343357,-29.095972,18.369593,-13.808606,-3.5696213,-5.022104,-7.7092185
3,0.7140302658081055,-5.415143013000488,74.49777221679688,-5.592378013727468,1.3542899958033308,-89.82393453268557,17.747463,-6.3306637,-11.599145,67.26946,-1.1613017,-15.000033,-33.524113,2.1484551,-12.097806,37.67619,-8.613839,4.011423,-16.10851,1.7419585,20.148394,-22.679184,22.729084,-15.282816,1.6091872,-1.506325,-2.4756072,-9.117437,19.629545,-28.158157,19.755814,-12.843869,-3.4985964,-5.3150725,-7.793715
4,0.7236692309379578,-7.914500713348389,74.29661560058594,-5.605631020151374,0.8162939254735758,-90.77366219282632,15.823497,-6.6321454,-9.810039,73.58612,-2.9663033,-15.000033,-30.966757,3.3193367,-11.168747,35.418407,-8.335955,4.2167363,-15.046899,1.9276453,20.548367,-19.764044,22.046984,-15.043482,7.7601266,-1.4600035,-1.9216168,-10.569788,15.892052,-27.02722,20.961737,-11.973856,-3.485712,-5.504351,-7.879229
5,0.7013147473335266,-10.408853530883789,74.02589416503906,-5.9567580757696765,0.4138711005341413,-91.77901353916954,13.325399,-5.650888,-7.6070304,80.26084,-5.299449,-15.000033,-28.616978,4.7549424,-10.227753,34.276337,-9.253975,3.499534,-13.718447,2.557411,20.82197,-17.30012,21.297802,-14.566976,14.033108,-1.3128681,-1.0797628,-11.603433,12.034402,-25.765524,22.076967,-11.130111,-3.5280411,-5.595345,-7.9648666
6,0.6219732761383057,-12.875956535339355,73.69715881347656,-6.597883922906587,0.08495598055046169,-92.84920948318155,10.590486,-3.6930225,-5.3400025,87.194725,-8.08664,-15.000033,-26.382181,6.501744,-9.250564,33.866665,-10.95699,2.0844383,-12.186929,3.5445466,21.00183,-15.113687,20.498001,-13.900625,20.388725,-1.0773687,-0.031484183,-12.338932,8.0970545,-24.413944,23.073166,-10.334762,-3.602797,-5.6139717,-8.0579195
7,0.4928327202796936,-15.369216918945312,73.31590270996094,-7.499605358240467,-0.25593083019771845,-94.01910121284298,7.852966,-1.1189984,-3.4642954,94.01453,-11.078905,-15.000033,-24.216534,8.560874,-8.27343,33.89328,-12.972569,0.48935282,-10.4353285,4.854178,21.175169,-12.960975,19.738403,-13.18601,26.016539,-0.36330378,1.059214,-12.808874,4.09813,-23.007923,23.872837,-9.717053,-3.6939502,-5.5254874,-8.182292
8,0.36647123098373413,-17.79574966430664,72.89059448242188,-8.168812461563544,-0.6433686440328409,-95.23976709708505,5.0741496,1.7045045,-1.6858165,100.254585,-13.78283,-13.827819,-22.395046,10.28044,-7.1769953,34.776188,-15.253707,-0.6176481,-8.540344,6.003683,21.328344,-10.593311,19.154915,-12.557295,30.070818,1.1933963,2.0246127,-13.047781,0.0116753075,-21.578772,24.44692,-9.368262,-3.7833457,-5.2980304,-8.358898
9,0.3285636305809021,-20.187986373901367,72.3757553100586,-9.076448861982533,-1.1046966402407863,-96.56595760075616,2.2223647,5.240882,-0.15626241,106.14721,-16.368254,-11.178531,-20.813684,12.135089,-6.312559,36.24057,-17.62079,-1.1208552,-6.4769483,7.491714,21.603256,-7.941138,18.84702,-11.978758,32.150677,4.275031,2.9744732,-12.9443,-4.2716064,-20.156485,24.88504,-9.37511,-3.7997618,-4.819771,-8.672001
10,0.2871106266975403,-22.553316116333008,71.86530303955078,-10.208032545228379,-1.6116122322611903,-97.9750935268042,-0.73358583,9.170032,0.80754066,111.82404,-18.985195,-8.386005,-19.43624,14.110756,-5.5930414,38.334778,-20.249687,-1.3102949,-4.312784,9.265513,21.916935,-5.0576606,18.813023,-11.329527,32.697056,8.437947,3.9797072,-12.581631,-8.780944,-18.761162,25.261549,-9.670153,-3.757622,-4.147779,-9.083961
11,0.16540786623954773,-24.88397979736328,71.5024185180664,-11.2917700870293,-2.1295178288123537,-99.38539592459941,-3.7802708,12.95914,1.2610527,116.924934,-21.454622,-5.8131385,-17.985987,15.909657,-4.7783794,40.458843,-22.887896,-1.326333,-2.1883903,10.980462,22.153103,-1.895791,19.012901,-10.609873,32.150105,12.362,4.780662,-12.237677,-13.404767,-17.396093,25.552639,-10.097952,-3.78084,-3.4995124,-9.427299
12,-0.009340476244688034,-27.229082107543945,71.22550201416016,-12.057236345198245,-2.613003198282465,-100.72414850408013,-6.951,16.141304,1.3521762,121.088455,-23.547388,-3.7491598,-16.185171,17.285084,-3.6465626,41.957268,-25.252134,-1.3154775,-0.20830569,12.287116,22.244053,1.5734468,19.39442,-9.834716,30.962059,14.739071,5.070467,-12.115141,-18.00476,-16.041481,25.716047,-10.502566,-3.995335,-3.0893567,-9.533273
13,-0.17715150117874146,-29.585037231445312,71.0040512084961,-12.472646768685372,-3.046113340751258,-102.10175121386402,-10.436434,18.82332,1.1949055,124.2756,-25.0955,-2.17868,-13.977516,18.291489,-2.069887,42.673386,-27.339762,-1.3276607,1.681216,13.15974,22.256176,5.5286145,19.932371,-8.860376,28.918272,15.3054085,4.467698,-12.460068,-22.661175,-14.647335,25.782003,-10.794614,-4.4714885,-3.0196698,-9.307271
14,-0.25522705912590027,-31.91683006286621,70.8138427734375,-12.679562847000819,-3.4430924065340234,-103.52183331085288,-14.321053,21.202543,0.72405875,126.668365,-26.131891,-0.94763714,-11.505607,19.02802,-0.22232412,42.935062,-29.27243,-1.2989959,3.5151267,13.78148,22.258402,9.930819,20.608124,-7.6793513,25.870338,14.732405,3.2242825,-13.090909,-27.419224,-13.164497,25.789717,-11.035978,-5.1196423,-3.1676183,-8.865512
15,-0.29776298999786377,-34.25813293457031,70.65196228027344,-12.667712800883743,-3.800314600386107,-104.75711633643554,-18.457802,23.006712,-0.017694186,128.23114,-26.70497,-0.02400037,-8.786594,19.351685,1.6458858,42.783146,-30.94287,-1.2132895,5.178973,14.110498,22.215742,14.451578,21.386168,-6.539336,22.408588,13.147544,1.9749626,-13.543811,-32.089485,-11.583727,25.68072,-11.278905,-5.843806,-3.4061112,-8.346466
