Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.258638858795166,3.988935708999634,10.451703071594238,-4.508587161889652,-22.047635881923238,-89.66153547656437,-69.02421,36.894814,74.90224,144.78728,14.039809,-15.000033,-57.59993,-22.20829,-81.114105,151.41902,-29.41815,15.000033,0.16102383,5.3246317,29.793802,-41.794,23.430696,37.1415,43.466164,-59.509346,-15.602504,20.69364,-42.80565,-26.954416,-43.445953,57.430824,58.86105,-20.13476,-3.3853102
1,0.2588041126728058,3.9890761375427246,10.452058792114258,-4.514606052843765,-22.051301275675474,-89.65787170323041,-69.035286,36.891262,74.88704,144.78798,14.03369,-15.000033,-57.59554,-22.206982,-81.11373,151.42165,-29.419563,15.000033,0.16883399,5.3374405,29.793802,-41.81358,23.436338,37.112152,43.501076,-59.70481,-15.728742,20.64699,-42.82846,-27.003967,-43.413723,57.49042,59.15782,-20.230236,-3.280434
2,0.25873610377311707,3.987161874771118,10.456987380981445,-4.520032847422783,-22.054780380305154,-89.65275466869193,-69.0487,36.886307,74.86951,144.78836,14.027592,-15.000033,-57.591736,-22.206673,-81.11281,151.42484,-29.420065,15.000033,0.17179227,5.3440776,29.793802,-41.81989,23.437485,37.09099,43.517548,-59.904655,-15.85951,20.597067,-42.828014,-27.020226,-43.388374,57.508156,59.46326,-20.32979,-3.1735125
3,0.25885090231895447,3.9853975772857666,10.457493782043457,-4.521800028948223,-22.057546563807456,-89.6504772702833,-69.057556,36.882786,74.85798,144.789,14.019337,-15.000033,-57.588585,-22.206232,-81.11265,151.4263,-29.421844,15.000033,0.17548686,5.35036,29.793802,-41.82569,23.439077,37.063736,43.535023,-60.091427,-15.980344,20.5566,-42.834164,-27.041872,-43.354683,57.532578,59.739475,-20.421658,-3.0799065
4,0.25947466492652893,3.9885611534118652,10.455368995666504,-4.517683822632559,-22.056432416383107,-89.65443672226759,-69.06249,36.876728,74.85629,144.79189,13.9958515,-15.000033,-57.589146,-22.205791,-81.11539,151.42395,-29.426857,15.000033,0.1826865,5.354062,29.793802,-41.83531,23.442183,37.04213,43.55567,-60.233612,-16.061974,20.532717,-42.854443,-27.076582,-43.327248,57.570255,59.92663,-20.482204,-3.012476
5,0.26009601354599,3.9874494075775146,10.452584266662598,-4.4996905064060675,-22.047269123436326,-89.67071974950173,-69.06079,36.870144,74.87399,144.79762,13.947238,-15.000033,-57.597767,-22.205912,-81.12296,151.41508,-29.439856,15.000033,0.1949391,5.344911,29.793802,-41.84016,23.443525,37.03842,43.56364,-60.308327,-16.085072,20.534433,-42.869884,-27.090685,-43.322945,57.577896,59.97267,-20.494305,-2.9871168
6,0.2601526975631714,3.9864134788513184,10.449441909790039,-4.471078509739079,-22.033151244335446,-89.69603457685025,-69.0553,36.86256,74.90388,144.80573,13.881454,-15.000033,-57.611507,-22.205494,-81.13386,151.40173,-29.458368,15.000033,0.21203381,5.3309746,29.793802,-41.84268,23.446432,37.035667,43.56845,-60.346916,-16.070581,20.555902,-42.890488,-27.105604,-43.323116,57.58255,59.929005,-20.47591,-2.9912167
7,0.26021525263786316,3.9908289909362793,10.442855834960938,-4.444902182187952,-22.019324353170727,-89.71940762442394,-69.04604,36.85558,74.93612,144.81396,13.818288,-15.000033,-57.62386,-22.204279,-81.14438,151.38979,-29.475368,15.000033,0.22711587,5.3159194,29.793802,-41.844746,23.44846,37.036076,43.572372,-60.357456,-16.042534,20.582233,-42.906036,-27.113192,-43.326782,57.580227,59.85599,-20.44901,-3.005408
8,0.2591171860694885,3.9894824028015137,10.441971778869629,-4.430596207779799,-22.010542009952715,-89.73261991130448,-69.04044,36.849228,74.95474,144.81937,13.777483,-15.000033,-57.628094,-22.204042,-81.15301,151.38286,-29.48238,15.000033,0.23372681,5.3080235,29.793802,-41.843746,23.4513,37.03635,43.57391,-60.35872,-16.022919,20.602259,-42.92182,-27.121935,-43.33235,57.582966,59.805378,-20.43391,-3.0165167
9,0.25854361057281494,3.988185167312622,10.444643020629883,-4.432549469734474,-22.008995447740652,-89.72992720309772,-69.03618,36.845745,74.957466,144.81923,13.770891,-15.000033,-57.619198,-22.20381,-81.158516,151.38463,-29.474478,15.000033,0.23123233,5.3097115,29.793802,-41.843975,23.454643,37.03213,43.579582,-60.3473,-16.016983,20.61235,-42.932793,-27.131813,-43.338223,57.596516,59.801395,-20.436813,-3.013233
10,0.2587495744228363,3.991896629333496,10.4456787109375,-4.445846361089794,-22.012278531628805,-89.71739327799848,-69.032715,36.842724,74.949936,144.81738,13.784548,-15.000033,-57.6013,-22.203608,-81.16207,151.3914,-29.456484,15.000033,0.22258636,5.31914,29.793802,-41.844322,23.45752,37.02339,43.58836,-60.317616,-16.016102,20.62065,-42.941086,-27.139956,-43.34713,57.61575,59.80714,-20.449585,-3.0065732
