Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.218278706073761,2.2945058345794678,77.08719635009766,4.326842511947627,-2.7094829903565207,-98.37448544956719,4.161537,-7.242932,16.51361,7.1297655,-10.608499,4.9994273,-17.059809,-20.847366,-22.426071,26.772429,-4.7711396,4.3557796,-1.758868,-3.545496,7.1873336,-4.041116,12.081672,-49.82537,67.801575,2.9547105,0.05876509,-6.01794,-14.09318,-11.974201,60.880642,71.08756,5.7283235,4.152428,-0.7319935
1,-0.21728207170963287,2.293220043182373,77.08780670166016,4.317399222433147,-2.696988078850552,-98.38406290011791,4.152509,-7.234262,16.53207,7.1239586,-10.615142,5.005366,-17.056143,-20.82591,-22.42989,26.727585,-4.749347,4.3578534,-1.749328,-3.5359018,7.152826,-4.018379,12.086068,-49.815502,67.81812,2.9229038,0.052464962,-6.026226,-14.101697,-11.959942,60.893837,71.0954,5.7774844,4.1486406,-0.74221665
2,-0.2128000110387802,2.2986948490142822,77.08934783935547,4.3084817289631,-2.686345642839144,-98.39105296019338,4.1404214,-7.226679,16.549221,7.127415,-10.626463,5.0127773,-17.05218,-20.80873,-22.434586,26.688114,-4.7301817,4.361075,-1.7345867,-3.5269947,7.1269636,-4.006407,12.086601,-49.81207,67.83796,2.8892019,0.048402183,-6.0324955,-14.106983,-11.958241,60.895763,71.08939,5.8239512,4.1449113,-0.75268644
3,-0.2081909030675888,2.2979211807250977,77.08967590332031,4.29823469188615,-2.671851522580989,-98.40295435133497,4.1282244,-7.2149377,16.569527,7.12478,-10.634932,5.0171256,-17.048317,-20.782784,-22.438107,26.637392,-4.7055116,4.362019,-1.7343687,-3.514285,7.083933,-3.9725504,12.091436,-49.790726,67.8523,2.8608687,0.03952167,-6.042532,-14.115276,-11.943384,60.927895,71.09721,5.880456,4.142202,-0.7624943
4,-0.20134055614471436,2.297379732131958,77.09036254882812,4.28657467372,-2.6578552138446874,-98.4172935665198,4.1173143,-7.2027345,16.589205,7.1230807,-10.644608,5.015908,-17.045055,-20.75638,-22.438326,26.589355,-4.6850004,4.361139,-1.7352765,-3.5036588,7.041385,-3.942933,12.09835,-49.773937,67.86862,2.8432114,0.02758102,-6.057754,-14.126851,-11.924579,60.95838,71.107765,5.912901,4.141489,-0.76744133
5,-0.19790273904800415,2.294631242752075,77.0924072265625,4.2741384810769825,-2.6408869430521147,-98.43735484668115,4.107659,-7.187482,16.610613,7.11588,-10.652804,5.0045743,-17.042347,-20.722965,-22.435549,26.53382,-4.6643705,4.3552556,-1.7216079,-3.4927528,6.996431,-3.927962,12.099794,-49.774452,67.90107,2.841118,0.007133498,-6.0835805,-14.129186,-11.921502,60.965775,71.09913,5.9068055,4.1461754,-0.76489526
6,-0.19593197107315063,2.2922472953796387,77.0938491821289,4.261372992682751,-2.6228138036497004,-98.45974906924671,4.094075,-7.169346,16.632404,7.11795,-10.667255,4.986196,-17.041271,-20.687773,-22.430681,26.479458,-4.647244,4.3464093,-1.7092099,-3.48155,6.9507546,-3.9156845,12.101376,-49.777534,67.9353,2.8503191,-0.017041376,-6.114598,-14.132265,-11.918832,60.973213,71.08788,5.882143,4.153043,-0.7589302
7,-0.19453471899032593,2.2877609729766846,77.0971450805664,4.245986962274328,-2.6019854338374446,-98.48843041788332,4.0814734,-7.1479087,16.657728,7.1144657,-10.678567,4.9672513,-17.039627,-20.643948,-22.421993,26.41468,-4.6245427,4.337088,-1.7007573,-3.4678996,6.8750615,-3.8773253,12.109531,-49.791946,67.969574,2.850055,-0.04840537,-6.1484256,-14.122014,-11.905734,61.012432,71.08647,5.866246,4.161962,-0.75090677
8,-0.19411925971508026,2.278332233428955,77.10050964355469,4.233802886602027,-2.590633621026139,-98.51206220102718,4.0785117,-7.1332974,16.675968,7.111971,-10.688795,4.956773,-17.033442,-20.611546,-22.411535,26.367386,-4.609969,4.334746,-1.6924894,-3.4591227,6.8227363,-3.8511717,12.117181,-49.80026,67.9939,2.8482125,-0.062170446,-6.1705666,-14.121911,-11.894044,61.03887,71.08537,5.854695,4.163843,-0.7433082
9,-0.1912226527929306,2.2703864574432373,77.10125732421875,4.2279387722578425,-2.5858737580503965,-98.53295665620841,4.0831017,-7.125367,16.68821,7.109592,-10.696331,4.9592094,-17.023567,-20.587646,-22.396296,26.330936,-4.598675,4.342573,-1.6866695,-3.4532464,6.7766566,-3.8191547,12.128514,-49.808037,68.00275,2.829241,-0.058580734,-6.17928,-14.126755,-11.8762245,61.07374,71.094284,5.868931,4.158061,-0.73622835
