Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.08285435289144516,2.30265474319458,77.8927230834961,-1.0902033433334515,0.039460093081107935,-92.91609473174118,3.9081402,10.951571,11.292332,8.35419,-11.355348,-11.243944,4.342845,-5.1161213,-7.4352984,7.054993,-10.966717,7.652265,-1.5642717,1.1506003,5.406042,-2.704958,14.358843,-45.866547,64.73,-15.163036,0.6655232,21.491135,-5.058403,-13.901891,44.530914,66.2106,6.386586,-1.4522644,-4.4047685
1,-0.07414431124925613,2.31449294090271,77.89283752441406,-1.1084885604869086,0.04567029452731505,-92.99519460135222,3.8018157,11.001128,11.337166,8.598037,-11.471673,-11.231531,4.301552,-5.0890174,-7.3555856,7.0561123,-10.942238,7.6402016,-1.5609173,1.1840678,5.4299703,-2.678286,14.36871,-45.877182,64.696014,-15.169828,0.68803155,21.486048,-5.1032634,-13.909002,44.519173,66.19351,6.3559885,-1.4628417,-4.3945146
2,-0.06772954761981964,2.3259623050689697,77.89313507080078,-1.12706770654991,0.052213840721852665,-93.07396365680697,3.6965604,11.050358,11.382052,8.838463,-11.586332,-11.2188015,4.2604656,-5.061649,-7.276655,7.0560493,-10.916715,7.6270533,-1.5526845,1.21754,5.453154,-2.6564445,14.377951,-45.890854,64.667,-15.178442,0.7119554,21.479464,-5.1471996,-13.917886,44.501904,66.17818,6.32343,-1.4743139,-4.3822923
3,-0.05997275561094284,2.338778257369995,77.8907699584961,-1.146643833983803,0.058178585797671024,-93.15337390798972,3.5891724,11.100916,11.426437,9.085004,-11.703516,-11.207185,4.221112,-5.0337343,-7.1966977,7.05319,-10.890356,7.6159263,-1.5479842,1.2515613,5.475723,-2.636193,14.383191,-45.907,64.64557,-15.185639,0.73033917,21.474743,-5.191886,-13.924631,44.488888,66.163445,6.294157,-1.4857389,-4.372616
4,-0.05049813911318779,2.3521926403045654,77.88951110839844,-1.1664611289445133,0.06291747644273132,-93.2344621875655,3.474136,11.154716,11.46915,9.350573,-11.828906,-11.198184,4.178267,-5.0062447,-7.1134515,7.0573754,-10.868277,7.6100154,-1.5368743,1.2852993,5.5002384,-2.6230018,14.393549,-45.952587,64.63159,-15.200201,0.73491114,21.47405,-5.224599,-13.941616,44.468277,66.13,6.272342,-1.4975313,-4.366711
5,-0.041261445730924606,2.3669707775115967,77.8865737915039,-1.185562357955894,0.0647031500622641,-93.31729146092806,3.3531544,11.2120285,11.511365,9.635175,-11.962678,-11.193229,4.139028,-4.978448,-7.026017,7.0572,-10.845123,7.61148,-1.5378084,1.3203661,5.525824,-2.6124856,14.400796,-46.012634,64.636955,-15.215301,0.7161421,21.48129,-5.263906,-13.95711,44.463806,66.09965,6.263637,-1.5110939,-4.365195
6,-0.03257928416132927,2.3802547454833984,77.88182830810547,-1.207079724964569,0.06426941540474708,-93.40126668116635,3.2286243,11.27188,11.553258,9.932231,-12.101803,-11.191275,4.100906,-4.950667,-6.935432,7.056993,-10.822633,7.6181755,-1.5518289,1.3560829,5.5537314,-2.603028,14.40447,-46.071823,64.65642,-15.223744,0.68110436,21.492947,-5.313544,-13.966628,44.471985,66.07692,6.261995,-1.5259029,-4.366546
7,-0.023822147399187088,2.391671657562256,77.87779998779297,-1.229304345805212,0.06503269466981586,-93.48668281321595,3.0976183,11.333644,11.592355,10.240915,-12.245055,-11.189557,4.0605645,-4.9227033,-6.844268,7.0575724,-10.8008585,7.626863,-1.5503463,1.391346,5.574839,-2.6011546,14.410018,-46.170204,64.68266,-15.250709,0.6434423,21.505077,-5.3414474,-13.984546,44.46959,66.036156,6.2708344,-1.5408071,-4.37409
8,-0.009404999203979969,2.4040331840515137,77.87358856201172,-1.2512113904666446,0.06980017919940343,-93.57312654693177,2.9612343,11.395865,11.626673,10.552855,-12.386594,-11.1854,4.0191436,-4.894195,-6.7555037,7.053647,-10.77745,7.6341696,-1.5513375,1.4261649,5.5923667,-2.5997124,14.415014,-46.256435,64.70633,-15.27306,0.6174527,21.505405,-5.361986,-14.004147,44.461727,65.989494,6.282187,-1.5553919,-4.3869896
9,0.004864019807428122,2.4160168170928955,77.87080383300781,-1.2756815162555932,0.07905714652375902,-93.66049205666286,2.8141286,11.461055,11.655571,10.878851,-12.532353,-11.176713,3.972822,-4.8638296,-6.6708484,7.0527506,-10.757159,7.6394415,-1.5519115,1.4632955,5.6039157,-2.5971959,14.419874,-46.33491,64.72394,-15.290629,0.6079126,21.490282,-5.37142,-14.026266,44.45451,65.93444,6.305596,-1.574766,-4.4147053
