Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.017884928733110428,-2.351562738418579,78.3000717163086,-0.4568406748002357,-2.3643887834297157,89.87946605127136,7.732489,7.799687,16.702364,6.763436,-8.580478,-11.754291,7.53038,-6.177029,-17.50515,7.255886,-11.617602,4.999092,-1.2448457,0.17951147,7.2920256,1.4344573,14.190841,-31.815353,64.75656,12.078366,-6.3011436,11.621146,-1.4479213,-13.697466,39.92033,62.403126,-15.524504,-2.8502722,-8.931451
1,-0.017130345106124878,-2.359337329864502,78.30318450927734,-0.46316365228662415,-2.391471689677323,89.89289337957956,7.7506914,7.808746,16.687387,6.7637057,-8.575536,-11.768412,7.5599,-6.169997,-17.518236,7.2536006,-11.6186285,5.001363,-1.2551597,0.168055,7.3359823,1.4558324,14.203495,-31.753841,64.71513,12.120226,-6.299158,11.655098,-1.4223266,-13.7035,39.890438,62.361885,-15.548068,-2.8591733,-8.912804
2,-0.016104452311992645,-2.3673880100250244,78.3027114868164,-0.4692708208533255,-2.42030470716577,89.90728290061382,7.770815,7.818794,16.67116,6.7626247,-8.569711,-11.784772,7.5930114,-6.161731,-17.532852,7.2488766,-11.619893,5.0038843,-1.2691782,0.15550292,7.3812065,1.4746748,14.213805,-31.683115,64.68025,12.168902,-6.297956,11.692667,-1.4019837,-13.706204,39.861095,62.328888,-15.57094,-2.8696666,-8.895308
3,-0.0184018574655056,-2.3783233165740967,78.29861450195312,-0.47528987719600785,-2.4457663491442974,89.9197516573404,7.787368,7.8271656,16.657393,6.763639,-8.565458,-11.796592,7.6194096,-6.1555023,-17.5444,7.2484994,-11.620629,5.005913,-1.2894868,0.14444734,7.4244246,1.4982133,14.226403,-31.6047,64.63965,12.216214,-6.2976727,11.720702,-1.3908128,-13.706951,39.840763,62.30229,-15.597341,-2.8795493,-8.874905
4,-0.017185039818286896,-2.3829524517059326,78.29740905761719,-0.4779890012174037,-2.4621073501436497,89.92687222696584,7.796464,7.8319707,16.650345,6.763488,-8.561059,-11.797393,7.633523,-6.151629,-17.54863,7.2478848,-11.614615,5.0065746,-1.2922449,0.14309588,7.4397364,1.5047576,14.231726,-31.578514,64.62785,12.22254,-6.294236,11.736537,-1.3771204,-13.706444,39.834564,62.29595,-15.61484,-2.8862271,-8.85488
5,-0.01841609552502632,-2.3918445110321045,78.2983627319336,-0.4780124167361693,-2.4647160765525884,89.92615412326577,7.794444,7.8299656,16.653975,6.76324,-8.558479,-11.778349,7.624146,-6.153908,-17.540632,7.255714,-11.600438,5.0056977,-1.2859545,0.15286201,7.432297,1.4987938,14.234203,-31.579845,64.63078,12.198533,-6.2861395,11.726346,-1.372953,-13.706337,39.84022,62.31071,-15.639981,-2.8895717,-8.825991
6,-0.017920341342687607,-2.3966307640075684,78.30432891845703,-0.4756157672093014,-2.4555261965645703,89.91946081618501,7.781528,7.8235645,16.66534,6.7650228,-8.55823,-11.745096,7.595007,-6.1605396,-17.523535,7.272809,-11.582628,5.0034957,-1.2697295,0.16811876,7.391495,1.489516,14.246589,-31.633152,64.64565,12.120423,-6.272274,11.697144,-1.3653758,-13.706712,39.874928,62.34328,-15.651175,-2.8906507,-8.793424
7,-0.019547194242477417,-2.405935764312744,78.3103256225586,-0.4733687938870643,-2.4464312310073097,89.9117763578684,7.7686954,7.8173814,16.677319,6.7664824,-8.557256,-11.7133875,7.566308,-6.166972,-17.505848,7.287273,-11.5639515,5.0006704,-1.2471998,0.1866318,7.3530774,1.4745786,14.255233,-31.691078,64.664314,12.044577,-6.262775,11.664001,-1.3589981,-13.70772,39.903507,62.37469,-15.665591,-2.8905823,-8.76387
8,-0.022759389132261276,-2.41690993309021,78.3129653930664,-0.47248218491097477,-2.4464978304482634,89.90745827741036,7.7643647,7.815208,16.683292,6.7658353,-8.553492,-11.698178,7.552777,-6.1692896,-17.495564,7.2954664,-11.552897,4.997584,-1.2265505,0.20113198,7.3313317,1.4625072,14.2623825,-31.73329,64.675186,11.992403,-6.261689,11.637887,-1.354173,-13.70888,39.924484,62.39682,-15.677092,-2.8916636,-8.74585
9,-0.02093852497637272,-2.421260118484497,78.31263732910156,-0.4744056554063025,-2.4617494159331272,89.90903562406227,7.772586,7.8205805,16.679409,6.7661242,-8.547999,-11.709278,7.5620484,-6.1656766,-17.49671,7.298022,-11.556488,4.993552,-1.2086877,0.20918074,7.334017,1.4591141,14.2715225,-31.757933,64.669136,11.969326,-6.2786856,11.622244,-1.3496747,-13.710142,39.941574,62.405495,-15.68058,-2.894893,-8.744695
10,-0.01464387308806181,-2.430448055267334,78.30947875976562,-0.4776935881358267,-2.4859333926092706,89.91350611972851,7.7889605,7.8297696,16.670193,6.765393,-8.540475,-11.736319,7.5861106,-6.1584406,-17.504356,7.2942123,-11.567954,4.988669,-1.1951777,0.21458775,7.3538237,1.4589406,14.279008,-31.76269,64.654015,11.96931,-6.3086734,11.60873,-1.349535,-13.710726,39.956448,62.406624,-15.682817,-2.899324,-8.753064
11,-0.01231882069259882,-2.4432272911071777,78.3047103881836,-0.48188868034252136,-2.510141673655483,89.91796419417163,7.8046627,7.839642,16.660091,6.7644114,-8.531873,-11.76582,7.6100454,-6.1504245,-17.51286,7.2898965,-11.579092,4.9843445,-1.1952958,0.21629764,7.3780527,1.4795065,14.298837,-31.747492,64.614136,11.977282,-6.3338575,11.594393,-1.3574687,-13.711216,39.983265,62.404053,-15.677908,-2.902867,-8.766765
12,-0.013206628151237965,-2.4509663581848145,78.30230712890625,-0.48551573625385797,-2.5255345231236856,89.91897335360602,7.8113685,7.845993,16.653889,6.763449,-8.522461,-11.783495,7.620462,-6.144587,-17.516325,7.28726,-11.579334,4.982141,-1.1901987,0.22031197,7.392683,1.4886091,14.3095045,-31.736889,64.59663,11.98317,-6.342459,11.581241,-1.3620805,-13.710857,39.99132,62.399014,-15.681109,-2.9051623,-8.7775545
13,-0.01643778569996357,-2.4665329456329346,78.29988861083984,-0.48831944065675675,-2.525623697825545,89.91356695557529,7.801867,7.8477845,16.654148,6.762614,-8.510551,-11.784671,7.6087184,-6.141052,-17.511587,7.28603,-11.56159,4.9838586,-1.1838086,0.22648399,7.389622,1.4948231,14.317191,-31.728355,64.59179,11.979095,-6.3220644,11.565188,-1.3643453,-13.710151,39.987465,62.391403,-15.687443,-2.9056487,-8.785108
14,-0.018557624891400337,-2.4897000789642334,78.30337524414062,-0.4913417788427916,-2.518921697620171,89.90510259148272,7.785085,7.846491,16.657072,6.761851,-8.497086,-11.7769785,7.586816,-6.1390367,-17.503214,7.2849445,-11.533129,4.988535,-1.1789112,0.23379326,7.3786173,1.4994254,14.319103,-31.723936,64.59852,11.968677,-6.2869616,11.551777,-1.3668778,-13.709868,39.981724,62.381786,-15.690122,-2.9045954,-8.793808
15,-0.02126544527709484,-2.5020856857299805,78.30903625488281,-0.49380409956770793,-2.5078696580958644,89.8958291722859,7.7630143,7.845174,16.661531,6.7627354,-8.485099,-11.765841,7.556608,-6.1381865,-17.49263,7.289601,-11.5060425,4.992154,-1.170388,0.23932363,7.367127,1.5076823,14.327167,-31.709753,64.596,11.96991,-6.240669,11.534659,-1.366766,-13.708455,39.953987,62.365334,-15.706899,-2.9027984,-8.800548
