Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.09135676920413971,1.6979526281356812,78.23339080810547,-1.10458739131035,3.226718848705511,-86.83906043578203,2.4310603,12.405365,17.281961,6.9380403,-8.637849,-9.861003,-0.41520897,-4.6363287,-12.075418,6.928459,-9.786686,6.2709436,-4.836511,-0.078283004,-0.9078801,60.591034,89.81804,42.44869,68.2045,-16.275583,1.4891297,0.91182554,13.584474,-93.553856,-21.543709,79.803444,1.1802348,-3.5211818,-1.2180252
1,0.09048596024513245,1.697837233543396,78.23462677001953,-1.107326541896393,3.222167523949677,-86.83392943572203,2.4342391,12.408592,17.276531,6.937696,-8.64155,-9.864852,-0.40821427,-4.634027,-12.087118,6.9283056,-9.774322,6.2869015,-4.8630605,-0.08312113,-0.9751435,60.44488,89.81177,42.415962,68.13679,-16.383837,1.3734618,1.3390046,13.436508,-93.46991,-21.527916,79.65956,1.2940475,-3.5063934,-1.4088292
2,0.09200973808765411,1.6990106105804443,78.23460388183594,-1.1099813660233875,3.218062800779269,-86.82761040889565,2.4361222,12.411738,17.269938,6.9374237,-8.644986,-9.868689,-0.40118018,-4.6316457,-12.1006,6.928144,-9.7610855,6.3045435,-4.888093,-0.090700686,-1.0044419,60.28276,89.80802,42.39488,68.08218,-16.4838,1.2501501,1.7660005,13.259868,-93.3954,-21.519764,79.529884,1.3821245,-3.4837081,-1.6016492
3,0.09083522111177444,1.7005279064178467,78.2342300415039,-1.1123501864363032,3.2128812239973534,-86.82153488334244,2.4395661,12.414114,17.26346,6.936992,-8.648123,-9.872071,-0.39319646,-4.6298127,-12.112628,6.9279795,-9.750223,6.3188057,-4.9105697,-0.09608142,-1.0442973,60.093525,89.80633,42.385204,68.01665,-16.589003,1.1292868,2.233274,13.049624,-93.3289,-21.519266,79.39932,1.4932495,-3.4604428,-1.7851497
4,0.09063466638326645,1.7018303871154785,78.23286437988281,-1.1137062036625047,3.207363334703086,-86.81637526805348,2.4430773,12.415398,17.257675,6.937175,-8.649551,-9.874327,-0.3860603,-4.6291695,-12.12072,6.928326,-9.745229,6.324523,-4.927017,-0.100610286,-1.1157444,59.833477,89.80593,42.389915,67.91835,-16.715418,1.0182543,2.8153384,12.767638,-93.26877,-21.530527,79.25692,1.6809198,-3.4359145,-1.9549612
5,0.09153496474027634,1.7029441595077515,78.23130798339844,-1.1131433623626992,3.2013736163891573,-86.81241967624418,2.4471695,12.414539,17.25292,6.938199,-8.648749,-9.875304,-0.38006723,-4.6306176,-12.122922,6.9297786,-9.749895,6.3173137,-4.9373484,-0.105743766,-1.2138295,59.47163,89.80602,42.41044,67.785164,-16.872482,0.9220076,3.5669718,12.39842,-93.21368,-21.554743,79.108315,1.96545,-3.4176333,-2.0948336
6,0.09153233468532562,1.7037467956542969,78.2328872680664,-1.1111806145799208,3.1950045916608225,-86.80946657693816,2.4519026,12.411604,17.249231,6.939771,-8.646486,-9.875204,-0.3747625,-4.633967,-12.120787,6.9316587,-9.761289,6.301015,-4.9421473,-0.11378964,-1.3207736,59.01769,89.80591,42.44337,67.630516,-17.043,0.8356368,4.446146,11.952363,-93.162636,-21.590048,78.96188,2.3183863,-3.4054828,-2.2122245
7,0.09237410128116608,1.7052974700927734,78.23348999023438,-1.1094358252358836,3.1887019918993817,-86.80715326424851,2.4559188,12.409154,17.245579,6.9423313,-8.644347,-9.874311,-0.37034658,-4.6369185,-12.11726,6.9342604,-9.773497,6.2823234,-4.939854,-0.120913975,-1.437951,58.487602,89.80487,42.483814,67.45214,-17.202463,0.7567755,5.3759637,11.42472,-93.114395,-21.636461,78.809555,2.7132742,-3.3849707,-2.3391974
8,0.09319676458835602,1.7065094709396362,78.23223876953125,-1.1096701455959146,3.183351486496613,-86.80531863990481,2.4587257,12.409117,17.241884,6.9439516,-8.642679,-9.87273,-0.3671271,-4.6376376,-12.115116,6.9370947,-9.780296,6.2679644,-4.9308915,-0.12374418,-1.5658709,57.89707,89.80212,42.526524,67.253,-17.327187,0.6825887,6.2762184,10.8058815,-93.06767,-21.694462,78.64051,3.1199803,-3.3389063,-2.5104692
9,0.09271018207073212,1.708250641822815,78.23303985595703,-1.1140879241269406,3.179276150791057,-86.8030111176284,2.459248,12.413736,17.236286,6.9461155,-8.642088,-9.870997,-0.36486945,-4.6335907,-12.115984,6.9400997,-9.777303,6.258249,-4.919661,-0.11912642,-1.7173543,57.23692,89.797035,42.570324,67.04336,-17.431374,0.6097519,7.137723,10.065146,-93.02132,-21.767437,78.441185,3.5452983,-3.2370827,-2.7558658
